split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_drug_target,test_drug_target,train_non_target,test_non_target,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,1042,2,True,2791,82.23,603,17.77,2.23,False,164,42,2622,560,0,0,5.89,6.98,0.9,False,0,127,203,162,110,13.1,18.9,20.4,20.0,6.3,5.9,8.0,8.2
2,43,1,True,2746,80.91,648,19.09,0.91,False,168,38,2573,609,0,0,6.13,5.87,0.21,False,0,180,197,160,110,18.6,18.3,20.2,20.0,7.2,6.6,2.5,7.3
3,44,1,True,2694,79.38,700,20.62,0.62,False,157,49,2532,650,0,0,5.84,7.01,0.93,False,0,243,203,143,110,25.1,18.9,18.0,20.0,11.1,3.9,5.6,5.5
4,3045,4,True,2662,78.43,732,21.57,1.57,False,159,47,2498,684,0,0,5.98,6.43,0.35,False,0,257,219,145,110,26.5,20.4,18.3,20.0,0.0,12.8,6.9,8.2
5,46,1,True,2690,79.26,704,20.74,0.74,False,159,47,2526,656,0,0,5.92,6.69,0.61,False,0,212,224,157,110,21.9,20.8,19.8,20.0,12.7,2.7,4.5,6.4
6,47,1,True,2766,81.5,628,18.5,1.5,False,174,32,2587,595,0,0,6.3,5.1,0.98,False,0,146,218,153,110,15.1,20.3,19.3,20.0,4.8,4.1,5.9,6.4
7,48,1,True,2798,82.44,596,17.56,2.44,False,175,31,2618,564,0,0,6.27,5.21,0.87,False,0,125,213,147,110,12.9,19.8,18.5,20.0,1.6,6.1,5.4,7.3
8,49,1,True,2792,82.26,602,17.74,2.26,False,176,30,2611,571,0,0,6.32,4.99,1.09,False,0,134,209,148,110,13.8,19.4,18.7,20.0,2.2,6.7,4.1,6.4
9,50,1,True,2766,81.5,628,18.5,1.5,False,171,35,2590,592,0,0,6.19,5.58,0.5,False,0,162,192,163,110,16.7,17.9,20.6,20.0,1.2,10.4,3.7,6.4
10,51,1,True,2764,81.44,630,18.56,1.44,False,175,31,2584,598,0,0,6.34,4.93,1.15,False,0,177,197,145,110,18.2,18.3,18.3,20.0,1.1,6.6,4.1,9.1
11,52,1,True,2813,82.88,581,17.12,2.88,False,168,38,2640,542,0,0,5.98,6.55,0.47,False,0,126,185,159,110,13.0,17.2,20.1,20.0,10.3,5.9,3.8,7.3
12,2053,3,True,2726,80.32,668,19.68,0.32,False,173,33,2548,634,0,0,6.36,4.95,1.13,False,0,210,188,159,110,21.6,17.5,20.1,20.0,3.8,3.2,6.3,8.2
13,2054,3,True,2699,79.52,695,20.48,0.48,False,161,45,2533,649,0,0,5.98,6.48,0.4,False,0,198,214,172,110,20.4,19.9,21.7,20.0,13.6,6.1,0.0,4.5
14,1055,2,True,2764,81.44,630,18.56,1.44,False,173,33,2586,596,0,0,6.27,5.25,0.83,False,0,158,204,157,110,16.3,19.0,19.8,20.0,0.0,6.4,5.1,10.9
15,56,1,True,2764,81.44,630,18.56,1.44,False,174,32,2585,597,0,0,6.31,5.09,0.99,False,0,164,199,156,110,16.9,18.5,19.7,20.0,6.7,5.0,1.9,7.3
16,2057,3,True,2766,81.5,628,18.5,1.5,False,174,32,2587,595,0,0,6.3,5.1,0.98,False,0,183,189,145,110,18.9,17.6,18.3,20.0,0.0,7.4,4.1,10.9
17,2058,3,True,2703,79.64,691,20.36,0.36,False,171,35,2527,655,0,0,6.34,5.07,1.01,False,0,162,238,180,110,16.7,22.1,22.7,20.0,6.8,2.9,6.1,5.5
18,59,1,True,2767,81.53,627,18.47,1.53,False,172,34,2590,592,0,0,6.23,5.43,0.65,False,0,153,204,159,110,15.8,19.0,20.1,20.0,1.3,8.8,3.8,7.3
19,60,1,True,2721,80.17,673,19.83,0.17,False,174,32,2542,640,0,0,6.41,4.76,1.32,False,0,175,232,155,110,18.0,21.6,19.5,20.0,0.0,3.9,5.8,12.7
20,61,1,True,2710,79.85,684,20.15,0.15,False,174,32,2531,651,0,0,6.43,4.69,1.39,False,0,199,219,155,110,20.5,20.4,19.5,20.0,0.0,9.1,1.3,9.1
21,2062,3,True,2757,81.23,637,18.77,1.23,False,172,34,2580,602,0,0,6.25,5.35,0.73,False,0,153,226,147,110,15.8,21.0,18.5,20.0,2.0,6.6,4.8,8.2
22,63,1,True,2743,80.82,651,19.18,0.82,False,171,35,2567,615,0,0,6.25,5.38,0.7,False,0,158,219,163,110,16.3,20.4,20.6,20.0,0.0,9.1,4.3,7.3
23,64,1,True,2765,81.47,629,18.53,1.47,False,176,30,2584,598,0,0,6.38,4.78,1.3,False,0,139,224,155,110,14.3,20.8,19.5,20.0,5.8,4.0,4.5,5.5
24,1065,2,True,2753,81.11,641,18.89,1.11,False,173,33,2575,607,0,0,6.3,5.16,0.92,False,0,186,186,158,110,19.2,17.3,19.9,20.0,1.6,7.0,5.1,8.2
25,66,1,True,2808,82.73,586,17.27,2.73,False,164,42,2639,543,0,0,5.85,7.18,1.1,False,0,119,190,166,110,12.3,17.7,20.9,20.0,10.9,4.2,7.2,8.2
26,67,1,True,2774,81.73,620,18.27,1.73,False,166,40,2603,579,0,0,5.99,6.46,0.38,False,0,165,192,152,110,17.0,17.9,19.2,20.0,3.0,11.5,4.6,5.5
27,68,1,True,2799,82.47,595,17.53,2.47,False,162,44,2632,550,0,0,5.8,7.41,1.33,False,0,119,205,160,110,12.3,19.1,20.2,20.0,10.9,8.8,4.4,5.5
28,69,1,True,2781,81.94,613,18.06,1.94,False,175,31,2601,581,0,0,6.3,5.07,1.01,False,0,156,192,154,110,16.1,17.9,19.4,20.0,0.0,6.8,5.2,9.1
29,70,1,True,2693,79.35,701,20.65,0.65,False,160,46,2528,654,0,0,5.95,6.57,0.49,False,0,177,248,165,110,18.2,23.1,20.8,20.0,7.3,7.3,3.6,8.2
30,71,1,True,2745,80.88,649,19.12,0.88,False,173,33,2567,615,0,0,6.31,5.09,0.99,False,0,166,210,162,110,17.1,19.5,20.4,20.0,6.0,4.8,4.3,5.5
31,72,1,True,2747,80.94,647,19.06,0.94,False,173,33,2569,613,0,0,6.31,5.11,0.97,False,0,160,213,163,110,16.5,19.8,20.6,20.0,6.9,4.7,3.1,6.4
32,6073,7,True,2794,82.32,600,17.68,2.32,False,176,30,2613,569,0,0,6.31,5.01,1.07,False,0,121,213,155,110,12.5,19.8,19.5,20.0,0.0,9.4,3.9,3.6
33,1074,2,True,2804,82.62,590,17.38,2.62,False,173,33,2626,556,0,0,6.18,5.6,0.48,False,0,124,198,157,110,12.8,18.4,19.8,20.0,2.4,7.6,2.5,10.0
34,75,1,True,2751,81.05,643,18.95,1.05,False,174,32,2572,610,0,0,6.34,4.98,1.1,False,0,148,232,152,110,15.3,21.6,19.2,20.0,8.8,3.4,3.9,4.5
35,76,1,True,2651,78.11,743,21.89,1.89,False,154,52,2492,690,0,0,5.82,7.01,0.93,False,0,276,198,158,110,28.5,18.4,19.9,20.0,9.8,3.0,5.1,10.0
36,77,1,True,2679,78.93,715,21.07,1.07,False,169,37,2505,677,0,0,6.32,5.18,0.9,False,0,225,224,155,110,23.2,20.8,19.5,20.0,1.3,8.5,3.9,8.2
37,78,1,True,2791,82.23,603,17.77,2.23,False,176,30,2610,572,0,0,6.32,4.98,1.1,False,0,125,214,153,110,12.9,19.9,19.3,20.0,0.0,6.1,5.9,7.3
38,1079,2,True,2774,81.73,620,18.27,1.73,False,175,31,2594,588,0,0,6.32,5.01,1.07,False,0,138,204,167,110,14.2,19.0,21.1,20.0,1.4,5.4,3.6,10.9
39,1080,2,True,2751,81.05,643,18.95,1.05,False,166,40,2580,602,0,0,6.05,6.23,0.15,False,0,158,222,152,110,16.3,20.7,19.2,20.0,0.0,8.6,6.6,10.0
40,81,1,True,2767,81.53,627,18.47,1.53,False,173,33,2589,593,0,0,6.26,5.27,0.81,False,0,136,227,153,110,14.0,21.1,19.3,20.0,1.5,5.3,6.5,8.2
