split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_drug_target,test_drug_target,train_non_target,test_non_target,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,42,1,True,2669,78.64,725,21.36,1.36,False,168,38,2496,686,0,0,6.31,5.25,0.83,False,0,209,251,160,104,21.5,23.3,20.2,18.9,6.2,6.0,3.1,4.8
2,1043,2,True,2787,82.12,607,17.88,2.12,False,169,37,2613,569,0,0,6.07,6.11,0.03,False,0,137,187,168,114,14.1,17.4,21.2,20.7,8.0,6.4,5.4,4.4
3,3044,4,True,2622,77.25,772,22.75,2.75,False,158,48,2459,723,0,0,6.04,6.23,0.15,False,0,268,214,186,103,27.6,19.9,23.5,18.7,6.7,7.9,3.2,6.8
4,45,1,True,2820,83.09,574,16.91,3.09,False,166,40,2649,533,0,0,5.9,6.98,0.9,False,0,96,211,152,114,9.9,19.6,19.2,20.7,13.5,5.2,4.6,7.9
5,46,1,True,2787,82.12,607,17.88,2.12,False,167,39,2615,567,0,0,6.0,6.44,0.36,False,0,170,163,151,122,17.5,15.2,19.0,22.2,1.8,11.0,6.0,7.4
6,1047,2,True,2659,78.34,735,21.66,1.66,False,170,36,2484,698,0,0,6.41,4.9,1.18,False,0,289,166,173,106,29.8,15.4,21.8,19.3,0.7,10.8,4.0,8.5
7,48,1,True,2816,82.97,578,17.03,2.97,False,175,31,2636,546,0,0,6.23,5.37,0.71,False,0,55,209,217,96,5.7,19.4,27.4,17.5,3.6,5.7,5.1,6.2
8,1049,2,True,2755,81.17,639,18.83,1.17,False,174,32,2576,606,0,0,6.33,5.02,1.06,False,0,181,186,157,114,18.7,17.3,19.8,20.7,2.8,7.0,5.1,5.3
9,50,1,True,2836,83.56,558,16.44,3.56,False,168,38,2663,519,0,0,5.93,6.82,0.74,False,0,89,191,166,111,9.2,17.8,20.9,20.2,0.0,7.3,6.0,12.6
10,2051,3,True,2830,83.38,564,16.62,3.38,False,177,29,2648,534,0,0,6.27,5.15,0.93,False,0,89,185,186,103,9.2,17.2,23.5,18.7,0.0,3.8,5.4,11.7
11,52,1,True,2878,84.8,516,15.2,4.8,False,169,37,2704,478,0,0,5.88,7.18,1.1,False,0,25,194,189,107,2.6,18.0,23.8,19.5,0.0,11.3,3.7,7.5
12,1053,2,True,2663,78.46,731,21.54,1.54,False,167,39,2491,691,0,0,6.28,5.34,0.74,False,0,268,200,157,105,27.6,18.6,19.8,19.1,7.8,4.0,1.3,7.6
13,3054,4,True,2790,82.2,604,17.8,2.2,False,176,30,2609,573,0,0,6.32,4.98,1.1,False,0,126,208,163,106,13.0,19.3,20.6,19.3,2.4,3.8,3.7,12.3
14,1055,2,True,2712,79.91,682,20.09,0.09,False,168,38,2539,643,0,0,6.21,5.58,0.5,False,0,213,214,139,115,22.0,19.9,17.5,20.9,7.0,6.5,2.2,5.2
15,1056,2,True,2728,80.38,666,19.62,0.38,False,169,37,2554,628,0,0,6.21,5.56,0.52,False,0,197,188,174,106,20.3,17.5,21.9,19.3,6.6,7.4,2.3,5.7
16,1057,2,True,2741,80.76,653,19.24,0.76,False,174,32,2562,620,0,0,6.36,4.91,1.17,False,0,89,283,183,97,9.2,26.3,23.1,17.6,0.0,8.1,2.7,4.1
