group_size,n_proteins,n_essential,ess_rate_pct
1.0,541,100,18.48
2.0,268,61,22.76
3.0,212,34,16.04
4.0,177,35,19.77
5.0,127,18,14.17
6.0,126,30,23.81
7.0,118,23,19.49
8.0,103,25,24.27
9.0,81,21,25.93
10.0,38,12,31.58
11.0,31,9,29.03
12.0,70,18,25.71
13.0,38,15,39.47
14.0,108,26,24.07
15.0,59,4,6.78
16.0,61,4,6.56
17.0,100,22,22.0
18.0,72,11,15.28
19.0,38,4,10.53
21.0,21,0,0.0
22.0,22,9,40.91
23.0,21,4,19.05
25.0,42,9,21.43
29.0,29,22,75.86
32.0,32,28,87.5
33.0,33,24,72.73
34.0,66,10,15.15
39.0,76,38,50.0
40.0,40,0,0.0
45.0,90,29,32.22
46.0,45,29,64.44
47.0,46,0,0.0
48.0,48,14,29.17
51.0,51,21,41.18
89.0,89,29,32.58
90.0,88,9,10.23
113.0,93,0,0.0
