group_size,n_groups,n_proteins,n_drug_target,target_rate_pct
1,940,940,107,11.38
2,196,392,34,8.67
3,76,228,20,8.77
4,38,152,16,10.53
5,40,200,25,12.5
6,27,162,16,9.88
7,20,140,12,8.57
8,13,104,16,15.38
9,11,99,20,20.2
10,9,90,4,4.44
11,7,77,6,7.79
12,8,96,9,9.38
13,8,104,15,14.42
14,7,98,13,13.27
15,2,30,6,20.0
16,8,128,10,7.81
17,3,51,5,9.8
18,4,72,10,13.89
19,4,76,12,15.79
20,2,40,1,2.5
21,4,84,2,2.38
22,3,66,3,4.55
23,1,23,0,0.0
24,3,72,4,5.56
25,4,100,13,13.0
28,1,28,3,10.71
30,2,60,1,1.67
31,1,31,10,32.26
34,1,34,2,5.88
36,1,36,1,2.78
41,3,123,19,15.45
44,1,44,17,38.64
48,1,48,0,0.0
49,1,49,11,22.45
51,1,51,7,13.73
52,1,52,0,0.0
53,1,53,12,22.64
56,1,56,0,0.0
59,1,59,0,0.0
71,1,71,6,8.45
74,1,74,2,2.7
82,1,82,0,0.0
91,1,91,37,40.66
117,1,117,39,33.33
119,1,119,57,47.9
220,1,220,14,6.36
