group_size,n_groups,n_proteins,n_positive,pos_rate_pct
1,1432,1432,191,13.34
2,285,570,89,15.61
3,138,414,56,13.53
4,68,272,37,13.6
5,48,240,25,10.42
6,20,120,32,26.67
7,19,133,18,13.53
8,20,160,31,19.38
9,9,81,4,4.94
10,8,80,11,13.75
11,8,88,13,14.77
12,8,96,36,37.5
13,2,26,10,38.46
14,5,70,17,24.29
15,1,15,12,80.0
16,4,64,8,12.5
17,5,85,30,35.29
18,3,54,16,29.63
19,1,19,4,21.05
20,1,20,0,0.0
21,1,21,0,0.0
23,2,46,21,45.65
24,1,24,19,79.17
25,2,50,26,52.0
26,2,52,0,0.0
28,1,28,0,0.0
32,1,32,6,18.75
37,1,37,1,2.7
40,2,80,25,31.25
42,1,42,15,35.71
48,1,48,4,8.33
54,1,54,0,0.0
61,1,61,18,29.51
80,1,80,7,8.75
81,1,81,4,4.94
82,1,82,75,91.46
90,1,90,0,0.0
107,1,107,15,14.02
