group_size,n_groups,n_proteins,n_positive,pos_rate_pct
1,1451,1451,115,7.93
2,286,572,58,10.14
3,138,414,45,10.87
4,67,268,32,11.94
5,49,245,41,16.73
6,21,126,4,3.17
7,19,133,12,9.02
8,21,168,15,8.93
9,9,81,9,11.11
10,8,80,12,15.0
11,6,66,8,12.12
12,8,96,1,1.04
13,4,52,6,11.54
14,4,56,10,17.86
15,1,15,0,0.0
16,5,80,7,8.75
17,2,34,1,2.94
18,5,90,17,18.89
19,2,38,2,5.26
21,1,21,8,38.1
23,2,46,1,2.17
24,1,24,0,0.0
25,1,25,0,0.0
26,1,26,4,15.38
27,3,81,2,2.47
28,1,28,19,67.86
33,1,33,1,3.03
37,1,37,17,45.95
40,2,80,6,7.5
42,1,42,1,2.38
48,1,48,1,2.08
55,1,55,15,27.27
61,1,61,4,6.56
81,1,81,0,0.0
85,1,85,2,2.35
86,1,86,28,32.56
90,1,90,53,58.89
108,1,108,35,32.41
