split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_drug_target,test_drug_target,train_non_target,test_non_target,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,42,1,True,4051,78.94,1081,21.06,1.06,False,482,135,3561,944,0,0,11.92,12.51,0.46,False,0,421,273,197,188,22.8,20.0,20.3,20.0,14.7,10.6,12.7,10.1
2,43,1,True,4159,81.04,973,18.96,1.04,False,505,112,3646,859,0,0,12.17,11.53,0.52,False,0,285,309,189,188,15.5,22.6,19.4,20.0,17.9,10.7,5.8,9.0
3,2044,4,True,4104,79.97,1028,20.03,0.03,False,476,141,3620,885,0,0,11.62,13.74,1.69,True,0,369,272,197,188,20.0,19.9,20.3,20.0,18.4,14.3,8.1,9.6
4,45,2,True,4139,80.65,993,19.35,0.65,False,466,151,3665,840,0,0,11.28,15.24,3.19,True,0,331,287,185,188,18.0,21.0,19.0,20.0,20.5,10.5,13.0,15.4
5,46,1,True,4077,79.44,1055,20.56,0.56,False,491,126,3578,927,0,0,12.07,11.97,0.08,False,0,366,305,194,188,19.9,22.3,20.0,20.0,21.3,5.2,9.8,6.9
6,2047,3,True,4132,80.51,1000,19.49,0.51,False,486,131,3638,867,0,0,11.78,13.13,1.08,False,0,331,292,187,188,18.0,21.4,19.2,20.0,17.5,6.8,16.0,12.2
7,2048,4,True,4129,80.46,1003,19.54,0.46,False,527,90,3594,911,0,0,12.79,8.99,3.06,True,0,345,271,197,188,18.7,19.8,20.3,20.0,3.2,12.9,7.6,15.4
8,49,1,True,3987,77.69,1145,22.31,2.31,False,465,152,3514,991,0,0,11.69,13.3,1.25,False,0,455,301,199,188,24.7,22.0,20.5,20.0,17.8,11.3,8.5,10.6
9,50,2,True,4110,80.09,1022,19.91,0.09,False,536,81,3566,939,0,0,13.07,7.94,4.11,True,0,366,282,184,188,19.9,20.6,18.9,20.0,6.0,6.4,8.7,13.3
10,51,1,True,4081,79.52,1051,20.48,0.48,False,476,141,3597,908,0,0,11.69,13.44,1.39,False,0,367,300,194,188,19.9,21.9,20.0,20.0,18.8,9.0,9.3,14.4
11,52,2,True,4099,79.87,1033,20.13,0.13,False,545,72,3546,959,0,0,13.32,6.98,5.07,True,0,363,286,194,188,19.7,20.9,20.0,20.0,6.1,4.2,7.7,12.2
12,1053,2,True,4149,80.85,983,19.15,0.85,False,489,128,3652,853,0,0,11.81,13.05,1.0,False,0,321,272,200,188,17.4,19.9,20.6,20.0,17.4,8.5,11.0,14.4
13,54,5,True,4102,79.93,1030,20.07,0.07,False,473,144,3621,884,0,0,11.55,14.01,1.96,True,0,359,291,190,188,19.5,21.3,19.5,20.0,16.7,11.0,12.1,15.4
14,2055,3,True,4025,78.43,1107,21.57,1.57,False,480,137,3537,968,0,0,11.95,12.4,0.35,False,0,450,268,199,188,24.4,19.6,20.5,20.0,13.1,12.3,9.5,13.8
15,1056,2,True,4146,80.79,986,19.21,0.79,False,506,111,3632,873,0,0,12.23,11.28,0.77,False,0,318,282,196,188,17.3,20.6,20.2,20.0,11.9,12.8,6.1,13.3
