split_index,seed_accepted,attempts,accepted,validation_ok,validation_problems,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,42,1,True,True,,4171,81.27,961,18.73,1.27,False,510,107,3653,852,0,0,12.25,11.16,0.89,False,0,139,218,312,290,13.2,19.6,20.8,20.0,15.8,8.7,9.6,12.4
2,2043,3,True,True,,4157,81.0,975,19.0,1.0,False,500,117,3649,856,0,0,12.05,12.02,0.03,False,0,138,235,310,290,13.1,21.1,20.7,20.0,21.7,11.1,11.6,8.6
3,1044,2,True,True,,4095,79.79,1037,20.21,0.21,False,481,136,3606,899,0,0,11.77,13.14,1.09,False,0,212,241,292,290,20.1,21.6,19.5,20.0,33.5,10.4,5.5,8.3
4,6045,7,True,True,,4078,79.46,1054,20.54,0.54,False,475,142,3595,910,0,0,11.67,13.5,1.45,False,0,228,223,311,290,21.6,20.0,20.7,20.0,32.0,5.4,10.9,7.9
5,3046,4,True,True,,4054,78.99,1078,21.01,1.01,False,487,130,3559,946,0,0,12.04,12.08,0.03,False,0,262,211,313,290,24.8,18.9,20.9,20.0,26.7,6.2,8.0,7.6
6,4047,5,True,True,,4140,80.67,992,19.33,0.67,False,506,111,3626,879,0,0,12.25,11.21,0.84,False,0,180,228,292,290,17.0,20.4,19.5,20.0,11.7,11.0,12.0,10.3
7,2048,3,True,True,,3998,77.9,1134,22.1,2.1,False,483,134,3507,998,0,0,12.11,11.84,0.21,False,0,325,216,301,290,30.7,19.4,20.1,20.0,19.1,7.9,9.3,9.3
8,1049,2,True,True,,4105,79.99,1027,20.01,0.01,False,493,124,3604,901,0,0,12.03,12.1,0.05,False,0,228,205,302,290,21.6,18.4,20.1,20.0,22.4,6.3,10.6,9.7
9,2050,3,True,True,,4075,79.4,1057,20.6,0.6,False,482,135,3585,920,0,0,11.85,12.8,0.75,False,0,258,218,289,290,24.4,19.6,19.3,20.0,23.3,11.9,9.3,7.6
10,3051,4,True,True,,4054,78.99,1078,21.01,1.01,False,485,132,3561,944,0,0,11.99,12.27,0.22,False,0,289,199,298,290,27.3,17.8,19.9,20.0,19.4,4.0,12.1,11.0
11,1052,2,True,True,,4072,79.35,1060,20.65,0.65,False,495,122,3569,936,0,0,12.18,11.53,0.52,False,0,263,215,290,290,24.9,19.3,19.3,20.0,14.1,14.0,10.7,8.3
12,3053,4,True,True,,3978,77.51,1154,22.49,2.49,False,474,143,3496,1009,0,0,11.94,12.41,0.36,False,0,312,231,319,290,29.5,20.7,21.3,20.0,22.8,6.1,10.0,9.0
13,6054,7,True,True,,4049,78.9,1083,21.1,1.1,False,491,126,3550,955,0,0,12.15,11.66,0.39,False,0,224,255,312,290,21.2,22.9,20.8,20.0,16.5,11.4,11.9,7.9
14,55,1,True,True,,4114,80.16,1018,19.84,0.16,False,503,114,3603,902,0,0,12.25,11.22,0.83,False,0,227,208,291,290,21.5,18.7,19.4,20.0,12.8,11.5,11.3,9.7
15,56,1,True,True,,4073,79.36,1059,20.64,0.64,False,485,132,3580,925,0,0,11.93,12.49,0.44,False,0,221,245,301,290,20.9,22.0,20.1,20.0,25.8,7.3,10.3,9.0
16,4057,5,True,True,,4160,81.06,972,18.94,1.06,False,510,107,3642,863,0,0,12.28,11.03,1.02,False,0,168,215,297,290,15.9,19.3,19.8,20.0,12.5,10.7,9.4,12.1
17,1058,2,True,True,,4087,79.64,1045,20.36,0.36,False,507,110,3572,933,0,0,12.43,10.55,1.5,False,0,220,238,295,290,20.8,21.3,19.7,20.0,9.5,5.9,14.6,11.0
18,59,1,True,True,,4094,79.77,1038,20.23,0.23,False,499,118,3587,918,0,0,12.21,11.39,0.66,False,0,214,229,303,290,20.2,20.5,20.2,20.0,17.8,4.4,12.5,11.0
