split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_essential,test_essential,train_noness,test_noness,train_unknown,test_unknown,train_ess_rate_pct,test_ess_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_ess_pct,medium_test_ess_pct,small_test_ess_pct,singleton_test_ess_pct
1,42,1,True,4051,78.94,1081,21.06,1.06,False,694,182,3292,886,59,11,17.41,17.04,0.29,False,0,421,273,197,188,22.8,20.0,20.3,20.0,15.1,23.7,13.8,15.1
2,43,1,True,4159,81.04,973,18.96,1.04,False,694,182,3414,764,45,25,16.89,19.24,1.91,False,0,285,309,189,188,15.5,22.6,19.4,20.0,29.5,14.3,13.8,17.5
3,44,1,True,4099,79.87,1033,20.13,0.13,False,675,201,3356,822,62,8,16.75,19.65,2.32,False,0,377,262,204,188,20.5,19.2,21.0,20.0,24.8,17.2,17.8,14.6
4,45,1,True,4139,80.65,993,19.35,0.65,False,721,155,3354,824,58,12,17.69,15.83,1.5,False,0,331,287,185,188,18.0,21.0,19.0,20.0,10.8,24.6,14.6,12.4
5,46,4,True,4077,79.44,1055,20.56,0.56,False,740,136,3284,894,47,23,18.39,13.2,4.13,True,0,366,305,194,188,19.9,22.3,20.0,20.0,5.0,21.5,16.6,12.0
6,47,1,True,4172,81.29,960,18.71,1.29,False,703,173,3407,771,56,14,17.1,18.33,1.0,False,0,246,318,206,188,13.3,23.3,21.2,20.0,27.3,15.1,18.5,11.5
7,48,1,True,4226,82.35,906,17.65,2.35,False,712,164,3458,720,50,20,17.07,18.55,1.22,False,0,284,253,179,188,15.4,18.5,18.4,20.0,22.5,21.1,11.2,16.3
8,49,1,True,3987,77.69,1145,22.31,2.31,False,664,212,3267,911,50,20,16.89,18.88,1.55,False,0,455,301,199,188,24.7,22.0,20.5,20.0,24.3,15.2,17.7,13.0
9,50,3,True,4110,80.09,1022,19.91,0.09,False,609,267,3438,740,57,13,15.05,26.51,9.18,True,0,366,282,184,188,19.9,20.6,18.9,20.0,39.7,24.3,19.0,11.4
10,51,1,True,4081,79.52,1051,20.48,0.48,False,689,187,3327,851,59,11,17.16,18.02,0.69,False,0,367,300,194,188,19.9,21.9,20.0,20.0,14.8,24.8,10.8,21.1
11,52,2,True,4099,79.87,1033,20.13,0.13,False,635,241,3409,769,49,21,15.7,23.86,6.53,True,0,363,286,194,188,19.7,20.9,20.0,20.0,31.8,23.9,18.7,14.1
12,53,1,True,3905,76.09,1227,23.91,3.91,False,697,179,3146,1032,56,14,18.14,14.78,2.55,False,0,545,291,201,188,29.6,21.3,20.7,20.0,16.0,17.1,12.0,10.8
13,54,1,True,4102,79.93,1030,20.07,0.07,False,717,159,3315,863,64,6,17.78,15.56,1.77,False,0,359,291,190,188,19.5,21.3,19.5,20.0,19.3,13.8,13.2,13.5
14,1055,2,True,4236,82.54,896,17.46,2.54,False,744,132,3424,754,62,8,17.85,14.9,2.43,False,0,232,271,203,188,12.6,19.8,20.9,20.0,15.5,11.2,17.5,16.8
15,4056,5,True,4083,79.56,1049,20.44,0.44,False,710,166,3309,869,58,12,17.67,16.04,1.29,False,0,368,299,192,188,20.0,21.9,19.8,20.0,9.9,25.1,19.8,9.7
