split_index,seed_accepted,attempts,accepted,validation_ok,validation_problems,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,42,1,True,True,,4171,81.27,961,18.73,1.27,False,730,146,3378,800,57,13,17.77,15.43,1.9,False,0,139,218,312,290,13.2,19.6,20.8,20.0,19.8,18.5,13.5,13.2
2,43,1,True,True,,4144,80.75,988,19.25,0.75,False,721,155,3367,811,50,20,17.64,16.05,1.28,False,0,172,200,324,290,16.3,17.9,21.6,20.0,13.0,20.8,20.0,10.1
3,44,1,True,True,,3930,76.58,1202,23.42,3.42,False,701,175,3174,1004,49,21,18.09,14.84,2.49,False,0,392,221,297,290,37.1,19.8,19.8,20.0,6.8,34.4,10.1,15.8
4,45,1,True,True,,4135,80.57,997,19.43,0.57,False,672,204,3398,780,59,11,16.51,20.73,3.4,False,0,174,234,297,290,16.5,21.0,19.8,20.0,35.8,25.7,15.3,13.3
5,46,1,True,True,,4116,80.2,1016,19.8,0.2,False,695,181,3361,817,54,16,17.14,18.14,0.81,False,0,200,219,305,290,18.9,19.6,20.3,20.0,10.9,29.2,17.4,15.2
6,47,1,True,True,,4117,80.22,1015,19.78,0.22,False,711,165,3341,837,59,11,17.55,16.47,0.86,False,0,186,237,300,290,17.6,21.3,20.0,20.0,18.4,19.1,13.8,15.8
7,48,1,True,True,,4151,80.88,981,19.12,0.88,False,711,165,3380,798,54,16,17.38,17.13,0.2,False,0,134,251,304,290,12.7,22.5,20.3,20.0,20.5,29.2,9.9,12.9
8,49,1,True,True,,4142,80.71,990,19.29,0.71,False,724,152,3366,812,46,24,17.7,15.77,1.56,False,0,164,224,310,290,15.5,20.1,20.7,20.0,18.1,29.9,9.8,9.9
9,50,1,True,True,,4037,78.66,1095,21.34,1.34,False,720,156,3254,924,57,13,18.12,14.44,2.89,False,0,272,229,302,290,25.7,20.5,20.1,20.0,17.1,20.6,10.7,11.1
10,51,1,True,True,,3958,77.12,1174,22.88,2.88,False,718,158,3179,999,55,15,18.42,13.66,3.67,False,0,358,225,299,290,33.9,20.2,19.9,20.0,7.4,31.2,9.8,11.5
11,52,1,True,True,,4073,79.36,1059,20.64,0.64,False,696,180,3309,869,62,8,17.38,17.16,0.17,False,0,234,212,321,290,22.1,19.0,21.4,20.0,25.3,23.2,12.6,11.1
12,1053,2,True,True,,4164,81.14,968,18.86,1.14,False,716,160,3383,795,59,11,17.47,16.75,0.58,False,0,169,228,279,290,16.0,20.4,18.6,20.0,35.7,14.0,9.0,15.3
13,54,1,True,True,,4119,80.26,1013,19.74,0.26,False,715,161,3346,832,52,18,17.61,16.21,1.12,False,0,199,213,309,290,18.8,19.1,20.6,20.0,13.6,25.2,13.3,14.4
14,55,1,True,True,,4114,80.16,1018,19.84,0.16,False,657,219,3390,788,61,9,16.23,21.75,4.42,False,0,227,208,291,290,21.5,18.7,19.4,20.0,44.6,18.3,15.5,12.9
15,56,1,True,True,,4073,79.36,1059,20.64,0.64,False,681,195,3334,844,52,18,16.96,18.77,1.44,False,0,221,245,301,290,20.9,22.0,20.1,20.0,15.3,33.3,14.0,14.1
16,57,1,True,True,,3955,77.07,1177,22.93,2.93,False,673,203,3218,960,58,12,17.3,17.45,0.12,False,0,344,221,320,290,32.5,19.8,21.3,20.0,26.0,10.4,15.1,15.4
17,58,1,True,True,,4123,80.34,1009,19.66,0.34,False,698,178,3363,815,56,14,17.19,17.93,0.6,False,0,203,220,294,290,19.2,19.7,19.6,20.0,21.9,18.3,18.4,14.4
18,59,1,True,True,,4094,79.77,1038,20.23,0.23,False,679,197,3354,824,55,15,16.84,19.29,1.96,False,0,214,229,303,290,20.2,20.5,20.2,20.0,30.1,20.0,16.6,13.7
