split_index,seed_accepted,attempts,accepted,validation_ok,validation_problems,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,42,1,True,True,,4059,79.09,1073,20.91,0.91,False,672,204,3323,855,58,12,16.82,19.26,1.93,False,0,390,305,188,188,21.2,22.3,19.3,20.0,21.1,22.9,11.2,17.5
2,1043,2,True,True,,4212,82.07,920,17.93,2.07,False,715,161,3434,744,57,13,17.23,17.79,0.46,False,0,272,261,197,188,14.8,19.1,20.3,20.0,24.6,14.0,17.9,13.3
3,1044,2,True,True,,4238,82.58,894,17.42,2.58,False,721,155,3458,720,53,17,17.25,17.71,0.38,False,0,231,286,187,188,12.5,20.9,19.2,20.0,14.7,22.6,18.8,12.6
4,2045,3,True,True,,4183,81.51,949,18.49,1.51,False,681,195,3438,740,58,12,16.53,20.86,3.53,False,0,266,297,196,188,14.4,21.7,20.2,20.0,29.9,18.6,16.5,16.1
5,46,1,True,True,,4157,81.0,975,19.0,1.0,False,681,195,3419,759,51,19,16.61,20.44,3.11,False,0,300,310,175,188,16.3,22.7,18.0,20.0,27.9,17.9,16.1,16.9
6,1047,2,True,True,,4172,81.29,960,18.71,1.29,False,736,140,3375,803,55,15,17.9,14.85,2.48,False,0,302,273,195,188,16.4,20.0,20.1,20.0,8.1,19.5,17.4,16.1
7,48,1,True,True,,4183,81.51,949,18.49,1.51,False,680,196,3447,731,50,20,16.48,21.14,3.81,False,0,250,308,201,188,13.6,22.5,20.7,20.0,31.0,21.2,12.4,17.6
8,49,1,True,True,,4137,80.61,995,19.39,0.61,False,714,162,3355,823,62,8,17.55,16.45,0.88,False,0,345,263,197,188,18.7,19.2,20.3,20.0,11.1,29.3,11.2,13.9
9,50,1,True,True,,4133,80.53,999,19.47,0.53,False,731,145,3347,831,49,21,17.93,14.86,2.47,False,0,325,287,197,188,17.6,21.0,20.3,20.0,19.9,7.4,20.9,11.1
10,51,1,True,True,,3947,76.91,1185,23.09,3.09,False,704,172,3182,996,55,15,18.12,14.73,2.6,False,0,490,304,201,188,26.6,22.2,20.7,20.0,14.2,20.9,9.5,12.0
11,52,1,True,True,,3917,76.33,1215,23.67,3.67,False,708,168,3146,1032,57,13,18.37,14.0,3.33,False,0,550,279,196,188,29.8,20.4,20.2,20.0,13.0,20.0,12.4,9.8
12,53,1,True,True,,4204,81.92,928,18.08,1.92,False,753,123,3385,793,60,10,18.2,13.43,3.9,False,0,309,237,192,188,16.8,17.3,19.8,20.0,13.3,14.1,12.2,14.1
13,1054,2,True,True,,4095,79.79,1037,20.21,0.21,False,707,169,3329,849,53,17,17.52,16.6,0.73,False,0,365,280,202,188,19.8,20.5,20.8,20.0,29.7,8.0,13.9,7.0
14,55,1,True,True,,4132,80.51,1000,19.49,0.51,False,711,165,3361,817,54,16,17.46,16.8,0.53,False,0,323,288,199,188,17.5,21.1,20.5,20.0,25.9,8.1,18.6,12.5
15,56,1,True,True,,4095,79.79,1037,20.21,0.21,False,742,134,3291,887,56,14,18.4,13.12,4.21,False,0,359,297,191,188,19.5,21.7,19.7,20.0,5.9,19.5,16.9,13.1
16,57,1,True,True,,3901,76.01,1231,23.99,3.99,False,644,232,3187,991,64,6,16.81,18.97,1.64,False,0,589,254,198,188,32.0,18.6,20.4,20.0,20.5,19.3,16.7,16.0
17,2058,3,True,True,,3971,77.38,1161,22.62,2.62,False,638,238,3267,911,60,10,16.34,20.71,3.38,False,0,505,258,208,188,27.4,18.9,21.4,20.0,21.0,23.3,19.9,17.3
18,59,1,True,True,,4199,81.82,933,18.18,1.82,False,753,123,3387,791,53,17,18.19,13.46,3.87,False,0,297,248,198,188,16.1,18.1,20.4,20.0,13.9,9.8,20.7,9.7
19,60,1,True,True,,4104,79.97,1028,20.03,0.03,False,743,133,3304,874,51,19,18.36,13.21,4.12,False,0,382,255,201,188,20.7,18.7,20.7,20.0,9.1,18.7,15.5,11.5
20,61,1,True,True,,4000,77.94,1132,22.06,2.06,False,703,173,3238,940,53,17,17.84,15.54,1.79,False,0,474,279,189,188,25.7,20.4,19.4,20.0,21.1,10.1,11.7,13.6
21,62,1,True,True,,4146,80.79,986,19.21,0.79,False,683,193,3404,774,53,17,16.71,19.96,2.63,False,0,311,278,207,188,16.9,20.3,21.3,20.0,25.7,17.7,19.4,14.5
22,2063,3,True,True,,4188,81.61,944,18.39,1.61,False,676,200,3456,722,50,20,16.36,21.69,4.36,False,0,289,291,174,188,15.7,21.3,17.9,20.0,34.8,19.5,17.3,9.3
23,64,1,True,True,,3977,77.49,1155,22.51,2.51,False,723,153,3197,981,51,19,18.44,13.49,3.84,False,0,483,283,199,188,26.2,20.7,20.5,20.0,9.0,15.9,19.2,15.1
24,65,1,True,True,,4071,79.33,1061,20.67,0.67,False,716,160,3292,886,57,13,17.86,15.3,2.03,False,0,362,311,198,188,19.6,22.8,20.4,20.0,18.2,13.8,15.2,12.4
25,66,1,True,True,,3976,77.47,1156,22.53,2.53,False,676,200,3232,946,62,8,17.3,17.45,0.12,False,0,491,289,186,188,26.6,21.1,19.1,20.0,19.5,18.1,15.1,13.4
26,67,1,True,True,,4229,82.4,903,17.6,2.4,False,719,157,3446,732,58,12,17.26,17.66,0.33,False,0,229,290,194,188,12.4,21.2,20.0,20.0,26.1,12.8,18.7,14.0
27,1068,2,True,True,,4189,81.63,943,18.37,1.63,False,701,175,3422,756,60,10,17.0,18.8,1.47,False,0,292,263,198,188,15.8,19.2,20.4,20.0,26.5,16.9,15.8,12.5
28,69,1,True,True,,3988,77.71,1144,22.29,2.29,False,706,170,3220,958,56,14,17.98,15.07,2.26,False,0,461,291,202,188,25.0,21.3,20.8,20.0,15.1,17.4,13.1,13.5
29,70,1,True,True,,3990,77.75,1142,22.25,2.25,False,665,211,3259,919,60,10,16.95,18.67,1.34,False,0,494,274,184,188,26.8,20.0,18.9,20.0,24.8,17.9,8.2,14.0
30,1071,2,True,True,,4149,80.85,983,19.15,0.85,False,738,138,3342,836,63,7,18.09,14.17,3.16,False,0,315,277,201,188,17.1,20.3,20.7,20.0,13.1,15.7,15.4,12.4
31,72,1,True,True,,4082,79.54,1050,20.46,0.46,False,718,158,3308,870,50,20,17.83,15.37,1.96,False,0,383,289,188,188,20.8,21.1,19.3,20.0,20.8,11.8,16.0,9.3
32,73,1,True,True,,4103,79.95,1029,20.05,0.05,False,737,139,3300,878,60,10,18.26,13.67,3.66,False,0,382,275,182,188,20.7,20.1,18.7,20.0,9.7,16.7,18.2,12.9
33,74,1,True,True,,4122,80.32,1010,19.68,0.32,False,724,152,3337,841,55,15,17.83,15.31,2.02,False,0,348,292,180,188,18.9,21.4,18.5,20.0,14.9,17.5,13.4,14.6
34,75,1,True,True,,4085,79.6,1047,20.4,0.4,False,737,139,3290,888,52,18,18.3,13.53,3.8,False,0,411,259,187,188,22.3,18.9,19.2,20.0,6.2,20.2,17.2,16.5
35,76,1,True,True,,4206,81.96,926,18.04,1.96,False,703,173,3440,738,57,13,16.97,18.99,1.66,False,0,262,283,191,188,14.2,20.7,19.7,20.0,26.1,18.7,13.7,15.1
36,77,1,True,True,,4080,79.5,1052,20.5,0.5,False,682,194,3338,840,54,16,16.97,18.76,1.43,False,0,377,286,199,188,20.5,20.9,20.5,20.0,18.8,24.8,13.1,15.6
37,78,1,True,True,,4272,83.24,860,16.76,3.24,False,759,117,3455,723,52,18,18.01,13.93,3.4,False,0,224,255,191,188,12.2,18.7,19.7,20.0,17.5,12.4,13.8,12.0
38,79,1,True,True,,4067,79.25,1065,20.75,0.75,False,709,167,3294,884,58,12,17.71,15.89,1.44,False,0,413,283,179,188,22.4,20.7,18.4,20.0,19.5,13.8,12.4,14.5
39,80,1,True,True,,4149,80.85,983,19.15,0.85,False,709,167,3370,808,64,6,17.38,17.13,0.2,False,0,316,283,194,188,17.1,20.7,20.0,20.0,23.9,16.3,12.4,11.8
40,81,1,True,True,,4162,81.1,970,18.9,1.1,False,719,157,3390,788,47,23,17.5,16.61,0.72,False,0,299,283,198,188,16.2,20.7,20.4,20.0,15.1,17.2,20.2,14.4
41,82,1,True,True,,3911,76.21,1221,23.79,3.79,False,669,207,3176,1002,60,10,17.4,17.12,0.21,False,0,570,258,203,188,30.9,18.9,20.9,20.0,17.2,16.5,19.2,15.5
42,83,1,True,True,,4093,79.75,1039,20.25,0.25,False,683,193,3346,832,58,12,16.95,18.83,1.5,False,0,396,269,184,188,21.5,19.7,18.9,20.0,26.5,12.1,18.8,12.4
43,84,1,True,True,,4094,79.77,1038,20.23,0.23,False,671,205,3364,814,53,17,16.63,20.12,2.79,False,0,365,277,206,188,19.8,20.3,21.2,20.0,30.4,13.9,15.1,15.1
44,85,1,True,True,,4133,80.53,999,19.47,0.53,False,722,154,3343,835,62,8,17.76,15.57,1.76,False,0,336,287,186,188,18.2,21.0,19.1,20.0,21.1,13.2,10.8,13.9
45,86,1,True,True,,4042,78.76,1090,21.24,1.24,False,694,182,3281,897,61,9,17.46,16.87,0.46,False,0,444,258,198,188,24.1,18.9,20.4,20.0,22.7,9.8,14.2,15.5
46,87,1,True,True,,4164,81.14,968,18.86,1.14,False,704,172,3393,785,61,9,17.18,17.97,0.64,False,0,311,261,206,188,16.9,19.1,21.2,20.0,20.3,17.2,16.5,16.8
47,88,1,True,True,,4108,80.05,1024,19.95,0.05,False,716,160,3329,849,57,13,17.7,15.86,1.47,False,0,364,276,194,188,19.8,20.2,20.0,20.0,21.4,10.7,14.6,14.0
48,89,1,True,True,,4159,81.04,973,18.96,1.04,False,743,133,3354,824,56,14,18.14,13.9,3.43,False,0,296,286,201,188,16.1,20.9,20.7,20.0,9.1,19.7,10.5,16.5
49,90,1,True,True,,4049,78.9,1083,21.1,1.1,False,702,174,3282,896,59,11,17.62,16.26,1.07,False,0,431,284,178,188,23.4,20.8,18.3,20.0,17.1,15.7,18.0,13.7
50,91,1,True,True,,3900,75.99,1232,24.01,4.01,False,638,238,3197,981,59,11,16.64,19.52,2.19,False,0,588,243,211,188,31.9,17.8,21.7,20.0,22.8,22.1,12.9,13.4
