group_size,n_groups,n_proteins,n_positive,pos_rate_pct
1,545,545,103,18.9
2,134,268,61,22.76
3,72,216,38,17.59
4,45,180,33,18.33
5,26,130,20,15.38
6,24,144,29,20.14
7,14,98,23,23.47
8,13,104,28,26.92
9,10,90,22,24.44
10,4,40,14,35.0
11,2,22,9,40.91
12,6,72,26,36.11
13,6,78,22,28.21
14,6,84,11,13.1
15,3,45,4,8.89
16,5,80,1,1.25
17,4,68,22,32.35
18,5,90,11,12.22
19,2,38,5,13.16
21,2,42,6,14.29
22,1,22,10,45.45
24,1,24,9,37.5
29,1,29,23,79.31
32,2,64,31,48.44
33,1,33,24,72.73
34,1,34,7,20.59
37,1,37,33,89.19
39,1,39,7,17.95
40,1,40,0,0.0
45,3,135,67,49.63
46,1,46,0,0.0
48,1,48,14,29.17
51,1,51,21,41.18
88,1,88,9,10.23
89,1,89,29,32.58
93,1,93,1,1.08
