split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_essential,test_essential,train_noness,test_noness,train_unknown,test_unknown,train_ess_rate_pct,test_ess_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,large_test_pct,large_test_ess_pct,medium_test_n,medium_test_pct,medium_test_ess_pct,small_test_n,small_test_pct,small_test_ess_pct,singleton_test_n,singleton_test_pct,singleton_test_ess_pct
1,2042,3,True,2686,79.14,708,20.86,0.86,False,636,137,1976,557,70,13,24.35,19.74,3.64,False,0,203,20.9,26.2,236,22.0,17.5,156,19.7,13.5,112,20.4,21.1
2,43,1,True,2749,81.0,645,19.0,1.0,False,615,158,2064,469,66,17,22.96,25.2,1.82,False,0,131,13.5,48.1,242,22.5,15.7,160,20.2,22.3,111,20.2,22.0
3,44,1,True,2871,84.59,523,15.41,4.59,False,653,120,2145,388,69,14,23.34,23.62,0.24,False,0,21,2.2,4.8,220,20.5,33.6,174,21.9,18.0,107,19.5,16.3
4,1045,2,True,2634,77.61,760,22.39,2.39,False,606,167,1980,553,44,39,23.43,23.19,0.19,False,0,278,28.7,26.1,198,18.4,21.9,178,22.4,22.6,105,19.1,19.4
5,46,1,True,2846,83.85,548,16.15,3.85,False,650,123,2115,418,77,6,23.51,22.74,0.64,False,0,96,9.9,46.3,196,18.2,21.1,133,16.8,16.7,122,22.2,13.3
6,47,1,True,2632,77.55,762,22.45,2.45,False,611,162,1957,576,60,23,23.79,21.95,1.43,False,0,279,28.8,22.7,203,18.9,25.1,174,21.9,17.4,105,19.1,21.6
7,1048,2,True,2744,80.85,650,19.15,0.85,False,624,149,2062,471,54,29,23.23,24.03,0.65,False,0,238,24.5,30.4,148,13.8,22.9,144,18.2,22.2,119,21.6,16.0
8,49,1,True,2753,81.11,641,18.89,1.11,False,611,162,2061,472,77,6,22.87,25.55,2.17,False,0,137,14.1,45.6,243,22.6,16.6,152,19.2,25.2,108,19.6,20.8
9,1050,2,True,2654,78.2,740,21.8,1.8,False,619,154,1963,570,68,15,23.97,21.27,2.11,False,0,242,24.9,24.7,230,21.4,19.6,157,19.8,21.7,110,20.0,16.8
10,51,1,True,2706,79.73,688,20.27,0.27,False,630,143,2011,522,61,22,23.85,21.5,1.88,False,0,167,17.2,32.7,256,23.8,20.5,158,19.9,15.5,106,19.3,16.2
11,1052,2,True,2756,81.2,638,18.8,1.2,False,639,134,2044,489,69,14,23.82,21.51,1.87,False,0,163,16.8,25.0,202,18.8,21.0,161,20.3,21.4,111,20.2,17.4
12,1053,2,True,2613,76.99,781,23.01,3.01,False,586,187,1955,578,68,15,23.06,24.44,1.06,False,0,273,28.1,39.4,236,22.0,13.2,166,20.9,17.0,105,19.1,22.3
13,5054,6,True,2818,83.03,576,16.97,3.03,False,619,154,2120,413,75,8,22.6,27.16,3.78,False,0,176,18.1,48.9,116,10.8,16.7,166,20.9,18.4,117,21.3,17.2
14,55,1,True,2828,83.32,566,16.68,3.32,False,634,139,2124,409,66,17,22.99,25.36,1.98,False,0,132,13.6,32.6,172,16.0,34.2,150,18.9,15.4,111,20.2,17.4
15,56,1,True,2707,79.76,687,20.24,0.24,False,602,171,2031,502,70,13,22.86,25.41,2.03,False,0,247,25.5,34.4,177,16.5,22.4,141,17.8,15.7,121,22.0,22.7
16,57,1,True,2713,79.94,681,20.06,0.06,False,613,160,2021,512,75,8,23.27,23.81,0.43,False,0,197,20.3,45.9,222,20.7,12.3,148,18.7,19.9,113,20.5,13.4
17,58,1,True,2694,79.38,700,20.62,0.62,False,646,127,1993,540,51,32,24.48,19.04,4.34,False,0,312,32.2,24.8,135,12.6,15.0,124,15.6,13.7,128,23.3,15.3
18,59,1,True,2749,81.0,645,19.0,1.0,False,644,129,2020,513,81,2,24.17,20.09,3.29,False,0,123,12.7,29.3,258,24.0,20.6,153,19.3,18.4,110,20.0,10.9
19,60,1,True,2744,80.85,650,19.15,0.85,False,651,122,2020,513,69,14,24.37,19.21,4.17,False,0,181,18.7,15.7,212,19.7,21.7,145,18.3,17.5,111,20.2,22.4
20,2061,3,True,2845,83.82,549,16.18,3.82,False,671,102,2104,429,66,17,24.18,19.21,4.17,False,0,85,8.8,10.3,199,18.5,21.2,149,18.8,22.6,115,20.9,17.5
21,62,1,True,2779,81.88,615,18.12,1.88,False,630,143,2076,457,69,14,23.28,23.83,0.45,False,0,33,3.4,72.7,318,29.6,26.5,158,19.9,15.8,105,19.1,12.6
22,63,1,True,2750,81.03,644,18.97,1.03,False,612,161,2067,466,67,16,22.84,25.68,2.3,False,0,168,17.3,56.9,213,19.8,15.0,152,19.2,16.6,110,20.0,10.1
23,64,1,True,2728,80.38,666,19.62,0.38,False,619,154,2047,486,58,25,23.22,24.06,0.68,False,0,143,14.7,43.7,259,24.1,19.2,154,19.4,20.7,109,19.8,15.2
24,65,1,True,2658,78.31,736,21.69,1.69,False,597,176,2014,519,43,40,22.86,25.32,1.94,False,0,274,28.2,29.1,220,20.5,25.6,121,15.3,21.8,120,21.8,20.3
25,66,1,True,2776,81.79,618,18.21,1.79,False,610,163,2089,444,73,10,22.6,26.85,3.47,False,0,157,16.2,43.8,180,16.7,21.9,175,22.1,22.4,105,19.1,17.6
26,67,1,True,2599,76.58,795,23.42,3.42,False,624,149,1925,608,46,37,24.48,19.68,3.7,False,0,299,30.8,25.7,241,22.4,17.9,142,17.9,17.7,112,20.4,10.8
27,6068,7,True,2623,77.28,771,22.72,2.72,False,624,149,1939,594,56,27,24.35,20.05,3.33,False,0,343,35.4,22.4,158,14.7,22.4,158,19.9,15.9,111,20.2,15.6
28,69,1,True,2716,80.02,678,19.98,0.02,False,645,128,2016,517,51,32,24.24,19.84,3.54,False,0,181,18.7,17.0,211,19.6,23.5,179,22.6,18.6,106,19.3,19.0
29,1070,2,True,2766,81.5,628,18.5,1.5,False,632,141,2059,474,71,12,23.49,22.93,0.45,False,0,181,18.7,30.9,192,17.9,14.7,135,17.0,25.2,119,21.6,21.2
30,71,1,True,2771,81.64,623,18.36,1.64,False,615,158,2092,441,60,23,22.72,26.38,3.0,False,0,193,19.9,36.8,174,16.2,23.9,145,18.3,21.5,110,20.0,18.7
31,72,1,True,2724,80.26,670,19.74,0.26,False,601,172,2046,487,73,10,22.7,26.1,2.72,False,0,239,24.6,29.5,170,15.8,27.6,147,18.5,23.1,113,20.5,20.5
