split_index,seed_accepted,attempts,accepted,validation_ok,validation_problems,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,42,1,True,True,,2709,79.82,685,20.18,0.18,False,638,135,2018,515,49,34,24.02,20.77,2.61,False,0,213,201,160,110,22.0,18.7,20.2,20.0,13.6,24.1,23.8,23.1
2,43,1,True,True,,2771,81.64,623,18.36,1.64,False,620,153,2074,459,73,10,23.01,25.0,1.62,False,0,149,217,146,110,15.4,20.2,18.4,20.0,38.8,23.6,15.9,21.3
3,44,1,True,True,,2691,79.29,703,20.71,0.71,False,606,167,2008,525,73,10,23.18,24.13,0.75,False,0,233,196,163,110,24.0,18.2,20.6,20.0,37.7,16.4,17.9,18.2
4,45,1,True,True,,2811,82.82,583,17.18,2.82,False,657,116,2086,447,64,19,23.95,20.6,2.78,False,0,129,183,160,110,13.3,17.0,20.2,20.0,10.1,25.7,21.4,22.6
5,46,1,True,True,,2604,76.72,790,23.28,3.28,False,616,157,1932,601,52,31,24.18,20.71,2.67,False,0,298,216,165,110,30.7,20.1,20.8,20.0,25.9,18.3,15.9,19.4
6,1047,2,True,True,,2714,79.96,680,20.04,0.04,False,641,132,1999,534,70,13,24.28,19.82,3.56,False,0,169,231,169,110,17.4,21.5,21.3,20.0,21.9,21.1,18.1,16.7
7,1048,2,True,True,,2757,81.23,637,18.77,1.23,False,614,159,2066,467,73,10,22.91,25.4,2.02,False,0,156,209,161,110,16.1,19.4,20.3,20.0,35.9,28.2,18.1,15.7
8,49,1,True,True,,2726,80.32,668,19.68,0.32,False,648,125,2019,514,55,28,24.3,19.56,3.82,False,0,209,195,153,110,21.5,18.1,19.3,20.0,15.6,25.4,21.9,12.8
9,1050,2,True,True,,2721,80.17,673,19.83,0.17,False,615,158,2036,497,66,17,23.2,24.12,0.74,False,0,157,241,164,110,16.2,22.4,20.7,20.0,34.0,19.1,23.9,21.2
10,51,1,True,True,,2717,80.05,677,19.95,0.05,False,604,169,2032,501,77,6,22.91,25.22,1.84,False,0,178,241,147,110,18.4,22.4,18.5,20.0,43.5,20.3,14.3,21.1
11,2052,3,True,True,,2749,81.0,645,19.0,1.0,False,605,168,2063,470,77,6,22.68,26.33,2.95,False,0,175,207,152,110,18.0,19.3,19.2,20.0,37.0,25.2,21.1,18.7
12,53,1,True,True,,2738,80.67,656,19.33,0.67,False,610,163,2058,475,66,17,22.86,25.55,2.17,False,0,200,189,156,110,20.6,17.6,19.7,20.0,42.0,21.5,18.8,13.6
13,54,1,True,True,,2675,78.82,719,21.18,1.18,False,630,143,1990,543,51,32,24.05,20.85,2.53,False,0,240,216,152,110,24.7,20.1,19.2,20.0,20.6,26.0,17.3,16.4
14,55,1,True,True,,2718,80.08,676,19.92,0.08,False,634,139,2015,518,65,18,23.93,21.16,2.22,False,0,218,189,158,110,22.5,17.6,19.9,20.0,29.6,14.4,19.9,17.6
15,56,1,True,True,,2770,81.61,624,18.39,1.61,False,647,126,2047,486,72,11,24.02,20.59,2.79,False,0,153,202,158,110,15.8,18.8,19.9,20.0,20.7,26.0,10.9,24.5
16,57,1,True,True,,2715,79.99,679,20.01,0.01,False,636,137,2003,530,72,11,24.1,20.54,2.84,False,0,197,212,159,110,20.3,19.7,20.1,20.0,24.1,21.1,16.7,18.7
17,1058,2,True,True,,2707,79.76,687,20.24,0.24,False,630,143,2025,508,48,35,23.73,21.97,1.41,False,0,216,197,163,110,22.3,18.3,20.6,20.0,25.9,22.6,16.0,22.9
18,59,1,True,True,,2698,79.49,696,20.51,0.51,False,629,144,2009,524,56,27,23.84,21.56,1.82,False,0,199,220,166,110,20.5,20.5,20.9,20.0,30.1,25.0,12.7,14.5
19,60,1,True,True,,2705,79.7,689,20.3,0.3,False,635,138,1990,543,76,7,24.19,20.26,3.12,False,0,193,227,158,110,19.9,21.1,19.9,20.0,20.2,25.3,17.7,13.6
20,61,1,True,True,,2642,77.84,752,22.16,2.16,False,614,159,1953,580,71,12,23.92,21.52,1.86,False,0,255,224,162,110,26.3,20.8,20.4,20.0,24.2,22.0,20.5,15.7
21,62,1,True,True,,2763,81.41,631,18.59,1.41,False,616,157,2070,463,73,10,22.93,25.32,1.94,False,0,147,217,156,110,15.2,20.2,19.7,20.0,34.0,19.3,26.6,23.6
22,63,1,True,True,,2706,79.73,688,20.27,0.27,False,625,148,2008,525,69,14,23.74,21.99,1.39,False,0,191,235,151,110,19.7,21.9,19.0,20.0,17.6,32.5,16.4,14.8
23,1064,2,True,True,,2814,82.91,580,17.09,2.91,False,620,153,2120,413,70,13,22.63,27.03,3.65,False,0,101,209,159,110,10.4,19.4,20.1,20.0,43.9,27.7,21.0,19.3
