split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,n_leaking_groups,n_groups_present,leaking_group_pct
1,42,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,224,958,23.4
2,43,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,229,958,23.9
3,44,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,224,958,23.4
4,45,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,232,958,24.2
5,46,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,227,958,23.7
6,47,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,233,958,24.3
7,48,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,224,958,23.4
8,49,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,219,958,22.9
9,50,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,222,958,23.2
10,51,1,True,2714,79.96,680,20.04,0.04,False,618,155,2028,505,23.36,23.48,0.1,False,241,958,25.2
11,52,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,226,958,23.6
12,53,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,226,958,23.6
13,54,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,249,958,26.0
14,55,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,223,958,23.3
15,56,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,219,958,22.9
16,57,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,228,958,23.8
17,58,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,237,958,24.7
18,59,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,214,958,22.3
19,60,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,229,958,23.9
20,61,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,223,958,23.3
21,62,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,245,958,25.6
22,63,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,233,958,24.3
23,64,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,220,958,23.0
24,65,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,237,958,24.7
25,66,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,232,958,24.2
26,67,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,230,958,24.0
27,68,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,227,958,23.7
28,69,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,237,958,24.7
29,70,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,229,958,23.9
30,71,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,248,958,25.9
31,72,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,235,958,24.5
32,73,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,236,958,24.6
33,74,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,252,958,26.3
34,75,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,240,958,25.1
35,76,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,249,958,26.0
36,77,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,234,958,24.4
37,78,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,252,958,26.3
38,79,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,239,958,24.9
39,80,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,241,958,25.2
40,81,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,217,958,22.7
41,82,1,True,2714,79.96,680,20.04,0.04,False,618,155,2028,505,23.36,23.48,0.1,False,242,958,25.3
42,83,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,241,958,25.2
43,84,1,True,2714,79.96,680,20.04,0.04,False,618,155,2027,506,23.36,23.45,0.07,False,228,958,23.8
44,85,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,230,958,24.0
45,86,1,True,2714,79.96,680,20.04,0.04,False,618,155,2025,508,23.38,23.38,0.0,False,216,958,22.5
46,87,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,229,958,23.9
47,88,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,240,958,25.1
48,89,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,232,958,24.2
49,90,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,213,958,22.2
50,91,1,True,2714,79.96,680,20.04,0.04,False,618,155,2026,507,23.37,23.41,0.03,False,233,958,24.3
