split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_drug_target,test_drug_target,train_non_target,test_non_target,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,3042,4,True,2740,80.73,654,19.27,0.73,False,221,51,2514,602,0,0,8.08,7.81,0.22,False,0,140,238,165,110,14.4,22.1,20.8,20.0,2.1,13.0,4.2,9.1
2,1043,2,True,2797,82.41,597,17.59,2.41,False,221,51,2571,545,0,0,7.92,8.56,0.53,False,0,102,216,168,110,10.5,20.1,21.2,20.0,2.0,14.8,6.0,6.4
3,44,1,True,2694,79.38,700,20.62,0.62,False,221,51,2468,648,0,0,8.22,7.3,0.73,False,0,243,203,143,110,25.1,18.9,18.0,20.0,13.2,3.4,3.5,6.4
4,45,1,True,2791,82.23,603,17.77,2.23,False,221,51,2565,551,0,0,7.93,8.47,0.44,False,0,120,216,156,110,12.4,20.1,19.7,20.0,7.5,8.8,9.0,8.2
5,1046,2,True,2732,80.49,662,19.51,0.49,False,222,50,2505,611,0,0,8.14,7.56,0.47,False,0,201,200,150,110,20.7,18.6,18.9,20.0,4.0,9.5,10.0,7.3
6,47,1,True,2766,81.5,628,18.5,1.5,False,226,46,2535,581,0,0,8.19,7.34,0.69,False,0,146,218,153,110,15.1,20.3,19.3,20.0,3.4,7.3,10.5,8.2
7,2048,3,True,2702,79.61,692,20.39,0.39,False,213,59,2484,632,0,0,7.9,8.54,0.51,False,0,164,247,170,110,16.9,23.0,21.4,20.0,6.7,12.6,5.9,6.4
8,49,1,True,2792,82.26,602,17.74,2.26,False,227,45,2560,556,0,0,8.14,7.49,0.54,False,0,134,209,148,110,13.8,19.4,18.7,20.0,7.5,8.6,7.4,5.5
9,2050,3,True,2744,80.85,650,19.15,0.85,False,227,45,2512,604,0,0,8.29,6.93,1.1,False,0,175,216,148,110,18.0,20.1,18.7,20.0,0.6,10.6,8.1,8.2
10,1051,2,True,2677,78.87,717,21.13,1.13,False,206,66,2466,650,0,0,7.71,9.22,1.19,False,0,227,225,154,110,23.4,20.9,19.4,20.0,17.6,3.6,6.5,7.3
11,1052,2,True,2705,79.7,689,20.3,0.3,False,214,58,2486,630,0,0,7.93,8.43,0.4,False,0,200,226,152,110,20.6,21.0,19.2,20.0,3.5,15.5,2.0,11.8
12,2053,3,True,2726,80.32,668,19.68,0.32,False,221,51,2500,616,0,0,8.12,7.65,0.38,False,0,210,188,159,110,21.6,17.5,20.1,20.0,10.0,2.7,9.4,9.1
13,5054,6,True,2821,83.12,573,16.88,3.12,False,230,42,2586,530,0,0,8.17,7.34,0.69,False,0,116,192,154,110,12.0,17.9,19.4,20.0,7.8,6.8,6.5,9.1
14,55,1,True,2693,79.35,701,20.65,0.65,False,220,52,2468,648,0,0,8.18,7.43,0.6,False,0,216,225,149,110,22.3,20.9,18.8,20.0,4.2,12.0,2.7,10.9
15,56,1,True,2764,81.44,630,18.56,1.44,False,222,50,2537,579,0,0,8.05,7.95,0.08,False,0,164,199,156,110,16.9,18.5,19.7,20.0,12.8,6.0,3.8,10.0
16,57,1,True,2640,77.78,754,22.22,2.22,False,202,70,2433,683,0,0,7.67,9.3,1.27,False,0,272,209,162,110,28.0,19.4,20.4,20.0,12.9,8.1,6.2,7.3
17,2058,3,True,2703,79.64,691,20.36,0.36,False,221,51,2477,639,0,0,8.19,7.39,0.64,False,0,162,238,180,110,16.7,22.1,22.7,20.0,14.2,2.5,8.3,6.4
18,59,1,True,2767,81.53,627,18.47,1.53,False,230,42,2532,584,0,0,8.33,6.71,1.32,False,0,153,204,159,110,15.8,19.0,20.1,20.0,1.3,12.3,5.7,5.5
19,1060,2,True,2785,82.06,609,17.94,2.06,False,224,48,2556,560,0,0,8.06,7.89,0.14,False,0,132,206,160,110,13.6,19.2,20.2,20.0,15.9,2.4,7.5,9.1
20,1061,2,True,2682,79.02,712,20.98,0.98,False,222,50,2455,661,0,0,8.29,7.03,1.0,False,0,222,218,161,110,22.9,20.3,20.3,20.0,4.1,6.0,8.1,13.6
21,1062,2,True,2743,80.82,651,19.18,0.82,False,229,43,2509,607,0,0,8.36,6.62,1.41,False,0,133,237,170,110,13.7,22.0,21.4,20.0,7.5,8.4,2.4,8.2
22,2063,3,True,2707,79.76,687,20.24,0.24,False,208,64,2494,622,0,0,7.7,9.33,1.3,False,0,200,214,162,110,20.6,19.9,20.4,20.0,15.5,4.2,6.8,11.8
23,64,1,True,2765,81.47,629,18.53,1.47,False,222,50,2538,578,0,0,8.04,7.96,0.07,False,0,139,224,155,110,14.3,20.8,19.5,20.0,18.7,3.1,5.8,7.3
24,2065,3,True,2778,81.85,616,18.15,1.85,False,231,41,2542,574,0,0,8.33,6.67,1.36,False,0,155,191,159,110,16.0,17.8,20.1,20.0,11.6,4.2,5.0,6.4
25,66,1,True,2808,82.73,586,17.27,2.73,False,225,47,2578,538,0,0,8.03,8.03,0.0,False,0,119,190,166,110,12.3,17.7,20.9,20.0,5.9,7.4,8.4,10.9
26,67,1,True,2774,81.73,620,18.27,1.73,False,227,45,2542,574,0,0,8.2,7.27,0.76,False,0,165,192,152,110,17.0,17.9,19.2,20.0,2.4,11.5,7.2,7.3
27,1068,2,True,2720,80.14,674,19.86,0.14,False,215,57,2500,616,0,0,7.92,8.47,0.44,False,0,176,221,166,110,18.1,20.6,20.9,20.0,11.9,8.1,4.8,9.1
28,2069,3,True,2788,82.14,606,17.86,2.14,False,226,46,2557,559,0,0,8.12,7.6,0.43,False,0,145,187,163,110,14.9,17.4,20.6,20.0,10.3,5.9,5.5,10.0
29,70,1,True,2693,79.35,701,20.65,0.65,False,216,56,2472,644,0,0,8.04,8.0,0.03,False,0,177,248,165,110,18.2,23.1,20.8,20.0,4.0,13.7,3.6,8.2
30,71,1,True,2745,80.88,649,19.12,0.88,False,213,59,2527,589,0,0,7.77,9.1,1.07,False,0,166,210,162,110,17.1,19.5,20.4,20.0,13.3,9.0,6.8,6.4
31,72,1,True,2747,80.94,647,19.06,0.94,False,214,58,2528,588,0,0,7.8,8.98,0.95,False,0,160,213,163,110,16.5,19.8,20.6,20.0,21.9,2.8,3.7,10.0
32,4073,5,True,2753,81.11,641,18.89,1.11,False,218,54,2530,586,0,0,7.93,8.44,0.41,False,0,178,193,159,110,18.4,18.0,20.1,20.0,0.6,11.9,10.7,11.8
33,1074,2,True,2804,82.62,590,17.38,2.62,False,233,39,2566,550,0,0,8.32,6.62,1.41,False,0,124,198,157,110,12.8,18.4,19.8,20.0,8.1,6.1,3.8,10.0
34,75,1,True,2751,81.05,643,18.95,1.05,False,225,47,2521,595,0,0,8.19,7.32,0.71,False,0,148,232,152,110,15.3,21.6,19.2,20.0,15.5,3.9,5.3,6.4
35,76,1,True,2651,78.11,743,21.89,1.89,False,213,59,2433,683,0,0,8.05,7.95,0.08,False,0,276,198,158,110,28.5,18.4,19.9,20.0,11.2,4.0,7.0,8.2
36,77,1,True,2679,78.93,715,21.07,1.07,False,224,48,2450,666,0,0,8.38,6.72,1.31,False,0,225,224,155,110,23.2,20.8,19.5,20.0,0.4,11.6,7.7,8.2
37,1078,2,True,2805,82.65,589,17.35,2.65,False,231,41,2569,547,0,0,8.25,6.97,1.06,False,0,127,199,152,110,13.1,18.5,19.2,20.0,1.6,6.0,9.9,10.9
38,2079,3,True,2766,81.5,628,18.5,1.5,False,216,56,2545,571,0,0,7.82,8.93,0.9,False,0,139,218,160,110,14.3,20.3,20.2,20.0,15.1,3.7,10.6,9.1
39,1080,2,True,2751,81.05,643,18.95,1.05,False,225,47,2521,595,0,0,8.19,7.32,0.71,False,0,158,222,152,110,16.3,20.7,19.2,20.0,4.4,8.1,5.9,11.8
40,4081,5,True,2802,82.56,592,17.44,2.56,False,218,54,2579,537,0,0,7.79,9.14,1.11,False,0,133,195,153,110,13.7,18.1,19.3,20.0,3.0,11.8,9.2,11.8
41,4082,5,True,2740,80.73,654,19.27,0.73,False,216,56,2519,597,0,0,7.9,8.58,0.55,False,0,169,218,156,110,17.4,20.3,19.7,20.0,6.5,10.1,8.3,9.1
42,83,1,True,2667,78.58,727,21.42,1.42,False,223,49,2439,677,0,0,8.38,6.75,1.28,False,0,234,223,159,110,24.1,20.7,20.1,20.0,4.3,6.7,8.8,9.1
43,1084,2,True,2776,81.79,618,18.21,1.79,False,229,43,2542,574,0,0,8.26,6.97,1.06,False,0,142,209,156,110,14.6,19.4,19.7,20.0,2.1,11.5,3.8,9.1
44,2085,3,True,2710,79.85,684,20.15,0.15,False,219,53,2486,630,0,0,8.1,7.76,0.27,False,0,183,234,156,110,18.9,21.8,19.7,20.0,5.5,8.5,7.7,10.0
45,1086,2,True,2793,82.29,601,17.71,2.29,False,232,40,2556,560,0,0,8.32,6.67,1.36,False,0,107,214,169,110,11.0,19.9,21.3,20.0,2.8,7.5,4.7,11.8
46,1087,2,True,2743,80.82,651,19.18,0.82,False,219,53,2519,597,0,0,8.0,8.15,0.12,False,0,153,219,168,110,15.8,20.4,21.2,20.0,2.0,11.0,9.5,9.1
47,88,1,True,2781,81.94,613,18.06,1.94,False,222,50,2554,562,0,0,8.0,8.17,0.14,False,0,154,196,152,110,15.9,18.2,19.2,20.0,14.9,4.1,7.9,6.4
48,2089,3,True,2812,82.85,582,17.15,2.85,False,231,41,2576,540,0,0,8.23,7.06,0.97,False,0,111,200,160,110,11.4,18.6,20.2,20.0,1.8,10.0,6.2,8.2
49,4090,5,True,2756,81.2,638,18.8,1.2,False,216,56,2535,581,0,0,7.85,8.79,0.76,False,0,148,228,151,110,15.3,21.2,19.0,20.0,18.2,9.2,1.3,5.5
50,91,1,True,2650,78.08,744,21.92,1.92,False,208,64,2437,679,0,0,7.86,8.61,0.58,False,0,252,217,164,110,26.0,20.2,20.7,20.0,12.3,5.1,7.3,9.1
