split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_drug_target,test_drug_target,train_non_target,test_non_target,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,42,1,True,2669,78.64,725,21.36,1.36,False,214,58,2450,666,0,0,8.03,8.01,0.02,False,0,209,251,160,104,21.5,23.3,20.2,18.9,11.0,8.0,4.4,7.7
2,5043,6,True,2731,80.47,663,19.53,0.47,False,215,57,2511,605,0,0,7.89,8.61,0.58,False,0,193,211,152,106,19.9,19.6,19.2,19.3,4.1,13.3,7.2,9.4
3,1044,2,True,2731,80.47,663,19.53,0.47,False,209,63,2517,599,0,0,7.67,9.52,1.49,False,0,142,199,228,93,14.6,18.5,28.8,16.9,4.9,13.1,9.6,8.6
4,2045,3,True,2710,79.85,684,20.15,0.15,False,227,45,2478,638,0,0,8.39,6.59,1.44,False,0,208,206,163,106,21.4,19.2,20.6,19.3,2.4,6.3,9.8,10.4
5,46,1,True,2787,82.12,607,17.88,2.12,False,220,52,2562,554,0,0,7.91,8.58,0.55,False,0,170,163,151,122,17.5,15.2,19.0,22.2,0.6,11.7,11.9,11.5
6,47,1,True,2628,77.43,766,22.57,2.57,False,213,59,2410,706,0,0,8.12,7.71,0.32,False,0,294,195,171,105,30.3,18.1,21.6,19.1,2.4,10.8,12.9,8.6
7,48,1,True,2816,82.97,578,17.03,2.97,False,233,39,2578,538,0,0,8.29,6.76,1.27,False,0,55,209,217,96,5.7,19.4,27.4,17.5,3.6,9.1,4.6,8.3
8,1049,2,True,2755,81.17,639,18.83,1.17,False,230,42,2520,596,0,0,8.36,6.58,1.45,False,0,181,186,157,114,18.7,17.3,19.8,20.7,7.2,7.5,5.1,6.1
9,50,1,True,2836,83.56,558,16.44,3.56,False,228,44,2603,513,0,0,8.05,7.9,0.13,False,0,89,191,166,111,9.2,17.8,20.9,20.2,0.0,11.5,4.8,12.6
10,51,1,True,2687,79.17,707,20.83,0.83,False,217,55,2465,651,0,0,8.09,7.79,0.24,False,0,199,240,161,106,20.5,22.3,20.3,19.3,7.5,3.8,13.0,9.4
11,1052,2,True,2808,82.73,586,17.27,2.73,False,230,42,2573,543,0,0,8.21,7.18,0.85,False,0,133,188,153,111,13.7,17.5,19.3,20.2,7.5,5.3,9.2,7.2
12,1053,2,True,2663,78.46,731,21.54,1.54,False,215,57,2443,673,0,0,8.09,7.81,0.22,False,0,268,200,157,105,27.6,18.6,19.8,19.1,10.4,4.0,7.0,9.5
13,2054,3,True,2707,79.76,687,20.24,0.24,False,211,61,2491,625,0,0,7.81,8.89,0.86,False,0,225,182,170,109,23.2,16.9,21.4,19.8,3.1,20.9,3.5,9.2
14,3055,4,True,2813,82.88,581,17.12,2.88,False,231,41,2577,539,0,0,8.23,7.07,0.96,False,0,95,200,176,109,9.8,18.6,22.2,19.8,4.2,9.0,6.2,7.3
15,1056,2,True,2728,80.38,666,19.62,0.38,False,227,45,2496,620,0,0,8.34,6.77,1.26,False,0,197,188,174,106,20.3,17.5,21.9,19.3,3.6,10.1,5.2,9.4
16,2057,3,True,2799,82.47,595,17.53,2.47,False,216,56,2578,538,0,0,7.73,9.43,1.4,False,0,178,133,170,113,18.4,12.4,21.4,20.5,10.1,13.5,8.8,4.4
17,4058,5,True,2807,82.7,587,17.3,2.7,False,219,53,2583,533,0,0,7.82,9.04,1.01,False,0,136,190,142,118,14.0,17.7,17.9,21.5,6.6,14.7,4.9,7.6
18,59,1,True,2819,83.06,575,16.94,3.06,False,224,48,2590,526,0,0,7.96,8.36,0.33,False,0,69,241,154,110,7.1,22.4,19.4,20.0,4.3,8.3,8.4,10.9
19,3060,4,True,2735,80.58,659,19.42,0.58,False,222,50,2508,608,0,0,8.13,7.6,0.43,False,0,152,233,171,102,15.7,21.7,21.6,18.5,1.3,8.6,12.3,6.9
20,1061,2,True,2738,80.67,656,19.33,0.67,False,220,52,2513,603,0,0,8.05,7.94,0.09,False,0,89,292,167,107,9.2,27.2,21.1,19.5,0.0,11.0,4.8,11.2
21,62,1,True,2852,84.03,542,15.97,4.03,False,221,51,2626,490,0,0,7.76,9.43,1.4,False,0,22,261,153,105,2.3,24.3,19.3,19.1,4.5,9.2,8.5,12.4
22,4063,5,True,2846,83.85,548,16.15,3.85,False,234,38,2607,509,0,0,8.24,6.95,1.08,False,0,80,178,183,106,8.2,16.6,23.1,19.3,10.0,5.6,8.7,3.8
23,2064,3,True,2610,76.9,784,23.1,3.1,False,203,69,2402,714,0,0,7.79,8.81,0.78,False,0,324,214,129,116,33.4,19.9,16.3,21.1,11.1,9.3,0.8,10.3
24,65,1,True,2661,78.4,733,21.6,1.6,False,224,48,2432,684,0,0,8.43,6.56,1.47,False,0,253,243,116,120,26.1,22.6,14.6,21.8,1.2,13.2,3.4,7.5
25,66,1,True,2775,81.76,619,18.24,1.76,False,227,45,2543,573,0,0,8.19,7.28,0.75,False,0,166,158,189,105,17.1,14.7,23.8,19.1,1.2,7.6,11.6,8.6
26,67,1,True,2652,78.14,742,21.86,1.86,False,215,57,2432,684,0,0,8.12,7.69,0.34,False,0,230,253,146,112,23.7,23.5,18.4,20.4,0.0,15.8,6.8,6.2
27,68,1,True,2584,76.13,810,23.87,3.87,False,216,56,2363,753,0,0,8.38,6.92,1.11,False,0,339,207,152,111,34.9,19.3,19.2,20.2,5.0,12.1,5.3,5.4
28,1069,2,True,2842,83.74,552,16.26,3.74,False,224,48,2613,503,0,0,7.9,8.71,0.68,False,0,153,137,135,126,15.8,12.7,17.0,22.9,17.6,5.8,0.7,9.5
29,1070,2,True,2785,82.06,609,17.94,2.06,False,219,53,2561,555,0,0,7.88,8.72,0.69,False,0,168,178,143,119,17.3,16.6,18.0,21.6,4.2,15.2,5.6,9.2
30,71,1,True,2727,80.35,667,19.65,0.35,False,219,53,2503,613,0,0,8.05,7.96,0.07,False,0,195,214,147,110,20.1,19.9,18.5,20.0,7.7,9.3,7.5,6.4
31,72,1,True,2726,80.32,668,19.68,0.32,False,218,54,2503,613,0,0,8.01,8.1,0.07,False,0,224,174,156,113,23.1,16.2,19.7,20.5,11.2,4.6,7.7,8.0
32,4073,5,True,2733,80.52,661,19.48,0.52,False,222,50,2506,610,0,0,8.14,7.58,0.45,False,0,118,269,163,110,12.2,25.0,20.6,20.0,5.9,10.0,4.3,8.2
33,74,1,True,2760,81.32,634,18.68,1.32,False,218,54,2537,579,0,0,7.91,8.53,0.5,False,0,111,235,179,108,11.4,21.9,22.6,19.6,6.3,10.2,5.6,12.0
34,75,1,True,2881,84.89,513,15.11,4.89,False,234,38,2642,474,0,0,8.14,7.42,0.61,False,0,79,154,172,107,8.1,14.3,21.7,19.5,12.7,5.8,6.4,7.5
35,1076,2,True,2869,84.53,525,15.47,4.53,False,230,42,2634,482,0,0,8.03,8.02,0.01,False,0,104,128,177,115,10.7,11.9,22.3,20.9,10.6,1.6,9.0,11.3
36,2077,3,True,2813,82.88,581,17.12,2.88,False,227,45,2581,535,0,0,8.08,7.76,0.27,False,0,66,250,156,108,6.8,23.3,19.7,19.6,0.0,12.4,3.8,7.4
37,78,1,True,2741,80.76,653,19.24,0.76,False,215,57,2521,595,0,0,7.86,8.74,0.71,False,0,119,260,171,102,12.3,24.2,21.6,18.5,16.8,6.5,5.8,9.8
38,79,1,True,2764,81.44,630,18.56,1.44,False,229,43,2530,586,0,0,8.3,6.84,1.19,False,0,119,249,149,112,12.3,23.2,18.8,20.4,6.7,7.6,4.7,8.0
39,2080,3,True,2740,80.73,654,19.27,0.73,False,220,52,2515,601,0,0,8.04,7.96,0.07,False,0,184,207,141,121,19.0,19.3,17.8,22.0,12.5,7.2,5.0,5.8
40,1081,2,True,2592,76.37,802,23.63,3.63,False,203,69,2384,732,0,0,7.85,8.61,0.58,False,0,316,193,189,103,32.6,18.0,23.8,18.7,6.3,12.4,5.8,13.6
41,82,1,True,2703,79.64,691,20.36,0.36,False,224,48,2474,642,0,0,8.3,6.96,1.07,False,0,182,242,161,105,18.8,22.5,20.3,19.1,4.9,6.6,7.5,10.5
42,83,1,True,2619,77.17,775,22.83,2.83,False,203,69,2411,705,0,0,7.77,8.91,0.88,False,0,343,163,162,106,35.4,15.2,20.4,19.3,12.0,3.1,6.8,11.3
43,2084,3,True,2639,77.75,755,22.25,2.25,False,202,70,2432,684,0,0,7.67,9.28,1.25,False,0,276,200,166,112,28.5,18.6,20.9,20.4,12.0,9.0,4.8,9.8
44,1085,2,True,2767,81.53,627,18.47,1.53,False,228,44,2534,582,0,0,8.25,7.03,1.0,False,0,175,160,184,107,18.0,14.9,23.2,19.5,4.6,10.6,5.4,8.4
45,1086,2,True,2549,75.1,845,24.9,4.9,False,209,63,2335,781,0,0,8.22,7.46,0.57,False,0,362,218,159,105,37.3,20.3,20.1,19.1,5.2,10.6,8.2,7.6
46,2087,3,True,2750,81.03,644,18.97,1.03,False,211,61,2534,582,0,0,7.69,9.49,1.46,False,0,130,242,155,116,13.4,22.5,19.5,21.1,3.1,12.4,9.0,11.2
47,6088,7,True,2754,81.14,640,18.86,1.14,False,224,48,2525,591,0,0,8.15,7.51,0.52,False,0,106,269,152,112,10.9,25.0,19.2,20.4,7.5,6.3,7.9,9.8
48,89,1,True,2655,78.23,739,21.77,1.77,False,203,69,2447,669,0,0,7.66,9.35,1.32,False,0,195,259,186,98,20.1,24.1,23.5,17.8,5.6,14.7,6.5,8.2
49,90,1,True,2635,77.64,759,22.36,2.36,False,220,52,2410,706,0,0,8.37,6.86,1.17,False,0,289,195,170,104,29.8,18.1,21.4,18.9,0.3,13.8,9.4,7.7
50,2091,3,True,2706,79.73,688,20.27,0.27,False,221,51,2480,636,0,0,8.18,7.42,0.61,False,0,152,271,156,108,15.7,25.2,19.7,19.6,1.3,11.8,7.7,4.6
