split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,n_leaking_groups,n_groups_present,leaking_group_pct
1,42,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,230,958,24.0
2,43,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,229,958,23.9
3,44,1,True,2716,80.02,678,19.98,0.02,False,218,54,2495,621,8.04,8.0,0.03,False,245,958,25.6
4,45,1,True,2716,80.02,678,19.98,0.02,False,218,54,2492,624,8.04,7.96,0.07,False,225,958,23.5
5,46,1,True,2716,80.02,678,19.98,0.02,False,218,54,2492,624,8.04,7.96,0.07,False,225,958,23.5
6,47,1,True,2716,80.02,678,19.98,0.02,False,218,54,2495,621,8.04,8.0,0.03,False,228,958,23.8
7,48,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,230,958,24.0
8,49,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,221,958,23.1
9,50,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,232,958,24.2
10,51,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,239,958,24.9
11,52,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,242,958,25.3
12,53,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,229,958,23.9
13,54,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,241,958,25.2
14,55,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,233,958,24.3
15,56,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,218,958,22.8
16,57,1,True,2716,80.02,678,19.98,0.02,False,218,54,2492,624,8.04,7.96,0.07,False,240,958,25.1
17,58,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,235,958,24.5
18,59,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,243,958,25.4
19,60,1,True,2716,80.02,678,19.98,0.02,False,218,54,2495,621,8.04,8.0,0.03,False,226,958,23.6
20,61,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,225,958,23.5
21,62,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,212,958,22.1
22,63,1,True,2716,80.02,678,19.98,0.02,False,218,54,2495,621,8.04,8.0,0.03,False,217,958,22.7
23,64,1,True,2716,80.02,678,19.98,0.02,False,218,54,2492,624,8.04,7.96,0.07,False,230,958,24.0
24,65,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,219,958,22.9
25,66,1,True,2716,80.02,678,19.98,0.02,False,218,54,2492,624,8.04,7.96,0.07,False,232,958,24.2
26,67,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,229,958,23.9
27,68,1,True,2716,80.02,678,19.98,0.02,False,218,54,2492,624,8.04,7.96,0.07,False,231,958,24.1
28,69,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,224,958,23.4
29,70,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,243,958,25.4
30,71,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,225,958,23.5
31,72,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,238,958,24.8
32,73,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,240,958,25.1
33,74,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,220,958,23.0
34,75,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,237,958,24.7
35,76,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,229,958,23.9
36,77,1,True,2716,80.02,678,19.98,0.02,False,218,54,2492,624,8.04,7.96,0.07,False,244,958,25.5
37,78,1,True,2716,80.02,678,19.98,0.02,False,218,54,2495,621,8.04,8.0,0.03,False,230,958,24.0
38,79,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,222,958,23.2
39,80,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,223,958,23.3
40,81,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,243,958,25.4
41,82,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,247,958,25.8
42,83,1,True,2716,80.02,678,19.98,0.02,False,218,54,2492,624,8.04,7.96,0.07,False,211,958,22.0
43,84,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,236,958,24.6
44,85,1,True,2716,80.02,678,19.98,0.02,False,218,54,2494,622,8.04,7.99,0.04,False,227,958,23.7
45,86,1,True,2716,80.02,678,19.98,0.02,False,218,54,2493,623,8.04,7.98,0.05,False,237,958,24.7
