ProteinId,base_Degree,base_LocalClustCoeff,protein_NumSubgroups,protein_AvgSubgroupSize,base_ComponentSize,base_ComponentEdgeNodeRatio,base_TriangleCount,stoich_WeightedTriangles,base_UniquePartners,stoich_ProtStoichSum,stoich_ProtAvgStoich,stoich_ProtMaxStoich,stoich_MedianRatio,stoich_RangeRatio,stoich_MinComplexSize,stoich_MaxComplexSize,stoich_AvgComplexSize,stoich_MedComplexSize,stoich_RangeComplexSize,protein_MinComplexNodes,protein_MaxComplexNodes,protein_AvgComplexNodes,protein_MedComplexNodes,protein_RangeComplexNodes,base_BetweennessCentrality,base_EigenvectorCentrality,base_KatzCentrality,protein_NormUniqueSum,protein_AvgUniqueRatio,protein_MaxUniqueRatio,protein_RangeUniqueRatio,protein_MedianUniqueRatio,base_AvgNeighbourDegree,stoich_AvgNeighbourDegreeStoich
P84022,5,0.0,0,0.0,11,1.1818181818181819,1,1.3862943611198906,4,2.5,0.625,1.0,0.5833333333333333,0.6666666666666667,2,3,2.75,3.0,1,1,3,2.0,2.0,2,1.0296245305367168e-05,4.2429449860085603e-190,0.008277215063918077,2.833333333333333,0.5666666666666667,1.0,0.6666666666666667,0.5,2.875,3.5
Q13485,4,0.16666666666666666,0,0.0,11,1.1818181818181819,1,1.3862943611198906,3,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3,3,3.0,3.0,0,2,3,2.25,2.0,1,4.656061597493888e-06,3.7713982145314895e-190,0.007909734745831034,1.8333333333333333,0.4583333333333333,0.5,0.16666666666666669,0.5,3.5,3.5
Q15796,3,0.0,0,0.0,11,1.1818181818181819,1,1.3862943611198906,2,2.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666667,3,3,3.0,3.0,0,1,3,2.0,2.0,2,1.7460230990602079e-06,2.4852973135610387e-190,0.007498365842387421,1.8333333333333333,0.611111111111111,1.0,0.6666666666666667,0.5,4.25,4.25
P0DP23,18,0.23529411764705882,11,5.0,25,0.84,143,288.24707692740134,21,3.1761904761904765,0.18683473389355743,0.25,0.16666666666666666,0.10714285714285715,4,24,7.823529411764706,6.0,20,4,7,5.444444444444445,5.5,3,1.6567414839381873e-05,8.371980421785214e-84,0.01613029433890785,3.3761904761904766,0.18756613756613758,0.25,0.10714285714285715,0.18333333333333335,10.475925925925926,10.533333333333333
P0DP24,18,0.23529411764705882,11,5.0,25,0.84,143,288.24707692740134,21,3.1761904761904765,0.18683473389355743,0.25,0.16666666666666666,0.10714285714285715,4,24,7.823529411764706,6.0,20,4,7,5.444444444444445,5.5,3,1.6567414839381873e-05,8.371980421785214e-84,0.01613029433890785,3.3761904761904766,0.18756613756613758,0.25,0.10714285714285715,0.18333333333333335,10.475925925925926,10.533333333333333
P0DP25,18,0.23529411764705882,11,5.0,25,0.84,143,288.24707692740134,21,3.1761904761904765,0.18683473389355743,0.25,0.16666666666666666,0.10714285714285715,4,24,7.823529411764706,6.0,20,4,7,5.444444444444445,5.5,3,1.6567414839381873e-05,8.371980421785214e-84,0.01613029433890785,3.3761904761904766,0.18756613756613758,0.25,0.10714285714285715,0.18333333333333335,10.475925925925926,10.533333333333333
P48454,4,0.2222222222222222,3,5.0,25,0.84,32,60.419316611842916,6,0.7333333333333334,0.18333333333333335,0.2,0.18333333333333335,0.033333333333333354,5,6,5.5,5.5,1,5,6,5.5,5.5,1,1.2246503407122848e-07,1.972336683993147e-84,0.00853847968960641,0.7333333333333334,0.18333333333333335,0.2,0.033333333333333354,0.18333333333333335,14.1,14.1
P63098,6,0.26666666666666666,4,5.0,25,0.84,48,90.6289749177644,7,1.1,0.18333333333333335,0.2,0.18333333333333335,0.033333333333333354,5,6,5.5,5.5,1,5,6,5.5,5.5,1,3.586297924981034e-07,2.95850502598972e-84,0.00963990425457061,1.1,0.18333333333333335,0.2,0.033333333333333354,0.18333333333333335,13.649999999999999,13.649999999999999
P16298,4,0.2222222222222222,3,5.0,25,0.84,32,60.419316611842916,6,0.7333333333333334,0.18333333333333335,0.2,0.18333333333333335,0.033333333333333354,5,6,5.5,5.5,1,5,6,5.5,5.5,1,1.2246503407122848e-07,1.972336683993147e-84,0.00853847968960641,0.7333333333333334,0.18333333333333335,0.2,0.033333333333333354,0.18333333333333335,14.1,14.1
Q96LZ3,6,0.26666666666666666,4,5.0,25,0.84,48,90.6289749177644,7,1.1,0.18333333333333335,0.2,0.18333333333333335,0.033333333333333354,5,6,5.5,5.5,1,5,6,5.5,5.5,1,3.586297924981034e-07,2.95850502598972e-84,0.00963990425457061,1.1,0.18333333333333335,0.2,0.033333333333333354,0.18333333333333335,13.649999999999999,13.649999999999999
O75381,1,0.0,0,0.0,2,0.5,0,0.0,1,0.5,0.5,0.5,0.5,0.0,2,2,2.0,2.0,0,2,2,2.0,2.0,0,0.0,2.268503222739713e-245,0.006717091126393427,0.5,0.5,0.5,0.0,0.5,1.0,1.0
Q92968,1,0.0,0,0.0,2,0.5,0,0.0,1,0.5,0.5,0.5,0.5,0.0,2,2,2.0,2.0,0,2,2,2.0,2.0,0,0.0,2.268503222739713e-245,0.006717091126393427,0.5,0.5,0.5,0.0,0.5,1.0,1.0
Q08209,4,0.2222222222222222,3,5.0,25,0.84,32,60.41931661184292,6,0.7333333333333333,0.18333333333333332,0.2,0.18333333333333335,0.033333333333333354,5,6,5.5,5.5,1,5,6,5.5,5.5,1,1.2246503407122848e-07,1.972336683993147e-84,0.00853847968960641,0.7333333333333333,0.18333333333333332,0.2,0.033333333333333354,0.18333333333333335,14.100000000000001,14.100000000000001
O75478,3,0.5238095238095238,1,9.0,685,0.9284671532846716,108,0.0,17,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,0.00016122524663396312,6.653133926880697e-06,0.008154895093044675,0.30000000000000004,0.10000000000000002,0.1,0.0,0.1,4.037037037037037,0.0
O75528,6,0.5294590433720868,7,10.714285714285714,685,0.9284671532846716,570,0.0,32,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,20,14.5,13.5,10,0.003247780487907004,2.6747932851886703e-05,0.010752195747695049,0.4588235294117647,0.07647058823529411,0.1,0.05,0.07941176470588235,3.7432992202729043,0.0
P61964,9,0.013888888888888888,5,7.6,685,0.9284671532846716,271,363.6701209082997,37,0.819047619047619,0.1365079365079365,0.16666666666666666,0.14285714285714285,0.06666666666666665,6,10,7.666666666666667,7.0,4,8,11,9.222222222222221,9.0,3,0.013117409586222291,2.3666151012853903e-06,0.01152047429330048,0.9853535353535352,0.10948372615039283,0.125,0.03409090909090909,0.1111111111111111,3.4313492063492066,4.444444444444445
Q01658,3,0.0,1,9.0,685,0.9284671532846716,72,0.0,11,0.5,0.5,0.5,0.5,0.0,2,2,2.0,2.0,0,2,10,7.333333333333333,10.0,8,0.00016738252096046698,4.7414462334319104e-07,0.00790868816733769,0.7,0.2333333333333333,0.5,0.4,0.1,2.7777777777777772,1.0
Q8IYH5,2,0.0,1,9.0,685,0.9284671532846716,72,0.0,10,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.8270446914007168e-08,4.72430206949113e-07,0.0075237400408953835,0.2,0.1,0.1,0.0,0.1,3.7777777777777777,0.0
Q92831,3,0.35714285714285715,1,9.0,685,0.9284671532846716,243,0.0,26,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,20,13.333333333333334,10.0,10,0.0006654211708698386,1.320907833057747e-05,0.008452866131569857,0.25,0.08333333333333333,0.1,0.05,0.1,4.113060428849902,0.0
Q96ES7,4,0.4444444444444444,2,14.0,685,0.9284671532846716,414,0.0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,20,15.0,15.0,10,0.0023260567020586204,1.405912544475378e-05,0.009308854392288969,0.3,0.075,0.1,0.05,0.07500000000000001,3.6988304093567246,0.0
Q9H8E8,2,0.0,1,9.0,685,0.9284671532846716,72,0.0,10,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.8270446914007168e-08,4.72430206949113e-07,0.0075237400408953835,0.2,0.1,0.1,0.0,0.1,3.7777777777777777,0.0
Q9NS73,2,0.0,1,9.0,685,0.9284671532846716,72,0.0,10,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.8270446914007168e-08,4.72430206949113e-07,0.0075237400408953835,0.2,0.1,0.1,0.0,0.1,3.7777777777777777,0.0
Q9ULM3,2,0.0,1,9.0,685,0.9284671532846716,72,0.0,10,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.8270446914007168e-08,4.72430206949113e-07,0.0075237400408953835,0.2,0.1,0.1,0.0,0.1,3.7777777777777777,0.0
O95256,1,0.0,0,0.0,11,1.1818181818181819,1,1.3862943611198906,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3,3,3.0,3.0,0,3,3,3.0,3.0,0,0.0,3.874421727103148e-192,0.006739184215063023,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.0,2.0
Q13478,2,0.0,0,0.0,11,1.1818181818181819,2,2.772588722239781,4,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3,3,3.0,3.0,0,3,3,3.0,3.0,0,5.714257415106136e-06,2.157291965503001e-191,0.007143823239056827,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.75,1.75
Q14116,2,0.0,0,0.0,11,1.1818181818181819,1,1.3862943611198906,3,0.8333333333333333,0.41666666666666663,0.5,0.41666666666666663,0.16666666666666669,3,4,3.5,3.5,1,2,3,2.5,2.5,1,2.666653460382863e-06,4.5491511629256955e-192,0.0071218293674602815,0.8333333333333333,0.41666666666666663,0.5,0.16666666666666669,0.41666666666666663,1.25,1.25
O15273,1,0.0,0,0.0,2,0.5,0,0.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3,3,3.0,3.0,0,2,2,2.0,2.0,0,0.0,2.268503222739713e-245,0.006717091126393427,0.5,0.5,0.5,0.0,0.5,1.0,1.0
