ProteinId,pair_Degree,pair_LocalClustCoeff,pair_TriangleCount,pair_ComponentSize,pair_EigenvectorCentrality,pair_BetweennessCentrality,pair_KatzCentrality,pair_AvgNeighborDegree
A0A5B9,5,1.0,10,10,1.8211430108264089e-211,0.0,0.008810305817158845,7.8
A0AVF1,15,1.0,105,16,4.877973012559866e-131,0.0,0.01083604377645105,15.0
A0JLT2,25,1.0,300,26,2.521045720849248e-78,0.0,0.01417446547816097,25.0
A0M8Q6,9,0.0,0,15,1.2770462683517437e-201,0.0,0.009415419344942933,6.0
A1L190,6,1.0,15,7,8.565519987246091e-221,0.0,0.008940842074889564,6.0
A2RRP1,2,1.0,1,5,3.195257280973358e-294,0.0,0.008301096752186286,3.0
A4GXA9,1,0.0,0,3,0.0,0.0,0.0081515064712603,2.0
A5D8V6,5,0.7,7,9,2.495439762116247e-218,0.0,0.008795935476622543,6.8
A5D8V7,4,1.0,6,5,2.5161980026224215e-257,0.0,0.008606346037784565,4.0
A5LHX3,13,1.0,78,685,6.355855067562839e-34,0.0,0.01276274268346687,36.76923076923077
A5PLN9,10,0.9777777777777777,44,15,6.9774535859411e-154,9.0711175616836e-08,0.009785763760684262,12.6
A5X5Y0,1,0.0,0,5,6.51056490127e-313,0.0,0.008156450540565552,4.0
A5YKK6,11,0.9636363636363636,53,12,3.7426760335891307e-165,5.89622641509434e-08,0.009888760712488768,10.636363636363637
A6H8Y1,3,0.6666666666666666,2,685,1.3532426733878234e-33,0.0,0.008514150179859223,8.666666666666666
A6NGQ2,6,1.0,15,7,8.565519987246091e-221,0.0,0.008940842074889564,6.0
A6NHQ4,9,0.8888888888888888,32,685,5.46882610425786e-36,0.0,0.009814768662434806,18.22222222222222
A6NHX0,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
A7MCY6,2,1.0,1,8,3.2103204146381194e-273,0.0,0.008311399110661172,5.0
A8K0Z3,5,0.9,9,10,1.308484322436961e-204,0.0,0.008821896476909058,8.6
A8MT69,17,0.7941176470588235,108,18,8.850125799549271e-131,1.7688679245283019e-06,0.01114211303287525,13.705882352941176
A8MTZ0,7,1.0,21,8,2.6961278171948206e-206,0.0,0.009118033774501103,7.0
A8MW99,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
A8MWX3,5,0.9,9,10,1.308484322436961e-204,0.0,0.008821896476909058,8.6
A8MZ26,11,1.0,55,12,2.8415495999889934e-162,0.0,0.009903079997896323,11.0
A9QM74,1,0.0,0,9,1.7530135400940493e-286,0.0,0.008166356693153349,8.0
A9UHW6,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
B1AL88,6,1.0,15,25,1.2836992181507322e-172,0.0,0.00907535763811471,13.5
B7Z8K6,5,0.9,9,10,1.6363079568429252e-211,1.474056603773585e-07,0.008799533650215664,7.0
C4AMC7,5,0.9,9,10,1.308484322436961e-204,0.0,0.008821896476909058,8.6
C9JR72,2,1.0,1,685,9.640951072818382e-32,0.0,0.008897935643864721,105.5
D6RGH6,1,0.0,0,5,6.51056490127e-313,0.0,0.008156450540565552,4.0
E9PQX1,11,1.0,55,12,2.8415495999889934e-162,0.0,0.009903079997896323,11.0
K9M1U5,2,1.0,1,17,1.2187170591587184e-247,0.0,0.008327154486696303,8.0
L0R819,11,1.0,55,685,1.1090068010941316e-33,0.0,0.010387078446784053,21.181818181818183
O00148,15,1.0,105,24,4.4512213897382496e-125,0.0,0.01091596429260655,16.266666666666666
O00159,7,1.0,21,685,1.0211703105845612e-31,0.0,0.00927525700262738,11.142857142857142
O00168,2,1.0,1,9,1.1387648311301441e-251,0.0,0.00832679650205767,8.0
O00187,6,0.06666666666666667,1,8,1.5607428600922182e-264,0.0,0.008880755853657085,2.3333333333333335
O00189,3,1.0,3,4,1.4901897136238896e-281,0.0,0.008448311333798378,3.0
O00203,4,0.8333333333333334,5,7,5.1052219071472057e-244,0.0,0.008617283009863615,5.0
O00206,2,0.0,0,6,3.549351625637965e-305,2.358490566037736e-06,0.008293505304442898,1.5
O00217,43,1.0,903,49,3.387100420385373e-21,0.0,0.03187528343002525,43.116279069767444
O00219,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O00231,35,0.9966386554621849,593,685,2.099723787872996e-33,0.0,0.021166729146904862,37.05714285714286
O00232,35,0.9966386554621849,593,685,2.099723787872996e-33,0.0,0.021166729146904862,37.05714285714286
