split_index,seed_accepted,attempts,accepted,validation_ok,validation_problems,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,2042,3,True,True,,2768,81.56,626,18.44,1.56,False,165,41,2598,584,0,0,5.97,6.56,0.48,False,0,139,223,153,110,14.3,20.7,19.3,20.0,9.4,5.4,5.9,6.4
2,43,1,True,True,,2771,81.64,623,18.36,1.64,False,176,30,2590,592,0,0,6.36,4.82,1.26,False,0,149,217,146,110,15.4,20.2,18.4,20.0,7.4,3.2,2.1,8.2
3,1044,2,True,True,,2736,80.61,658,19.39,0.61,False,170,36,2561,621,0,0,6.22,5.48,0.6,False,0,190,200,157,110,19.6,18.6,19.8,20.0,6.8,4.5,3.8,7.3
4,45,1,True,True,,2811,82.82,583,17.18,2.82,False,178,28,2628,554,0,0,6.34,4.81,1.27,False,0,129,183,160,110,13.3,17.0,20.2,20.0,3.1,5.5,2.5,9.1
5,1046,2,True,True,,2665,78.52,729,21.48,1.48,False,163,43,2497,685,0,0,6.13,5.91,0.17,False,0,250,209,159,110,25.8,19.4,20.1,20.0,10.8,1.9,3.8,5.5
6,47,1,True,True,,2785,82.06,609,17.94,2.06,False,175,31,2605,577,0,0,6.29,5.1,0.98,False,0,117,218,163,110,12.1,20.3,20.6,20.0,0.0,5.0,6.7,8.2
7,4048,5,True,True,,2687,79.17,707,20.83,0.83,False,153,53,2529,653,0,0,5.7,7.51,1.43,False,0,234,216,146,110,24.1,20.1,18.4,20.0,12.4,4.6,3.4,8.2
8,1049,2,True,True,,2728,80.38,666,19.62,0.38,False,164,42,2559,623,0,0,6.02,6.32,0.24,False,0,193,200,162,110,19.9,18.6,20.4,20.0,8.8,5.5,4.3,6.4
9,50,1,True,True,,2818,83.03,576,16.97,3.03,False,173,33,2640,542,0,0,6.15,5.74,0.34,False,0,130,173,162,110,13.4,16.1,20.4,20.0,1.5,8.1,3.7,10.0
10,6051,7,True,True,,2755,81.17,639,18.83,1.17,False,160,46,2590,592,0,0,5.82,7.21,1.13,False,0,144,230,154,110,14.8,21.4,19.4,20.0,2.1,11.7,5.8,6.4
11,1052,2,True,True,,2597,76.52,797,23.48,3.48,False,149,57,2443,739,0,0,5.75,7.16,1.08,False,0,317,212,157,110,32.7,19.7,19.8,20.0,8.5,6.1,5.1,8.2
12,1053,2,True,True,,2780,81.91,614,18.09,1.91,False,162,44,2613,569,0,0,5.84,7.18,1.1,False,0,136,213,154,110,14.0,19.8,19.4,20.0,11.0,5.2,3.2,11.8
13,2054,3,True,True,,2763,81.41,631,18.59,1.41,False,166,40,2592,590,0,0,6.02,6.35,0.27,False,0,166,210,144,110,17.1,19.5,18.2,20.0,4.2,10.5,3.5,5.5
14,55,1,True,True,,2718,80.08,676,19.92,0.08,False,170,36,2543,639,0,0,6.27,5.33,0.75,False,0,218,189,158,110,22.5,17.6,19.9,20.0,7.3,4.8,3.8,4.5
15,2056,3,True,True,,2736,80.61,658,19.39,0.61,False,174,32,2557,625,0,0,6.37,4.87,1.21,False,0,174,216,157,110,17.9,20.1,19.8,20.0,2.9,6.0,3.8,7.3
16,57,1,True,True,,2715,79.99,679,20.01,0.01,False,174,32,2536,646,0,0,6.42,4.72,1.36,False,0,197,212,159,110,20.3,19.7,20.1,20.0,1.5,9.4,2.5,4.5
17,1058,2,True,True,,2707,79.76,687,20.24,0.24,False,159,47,2543,639,0,0,5.88,6.85,0.77,False,0,216,197,163,110,22.3,18.3,20.6,20.0,13.4,3.0,4.3,4.5
18,1059,2,True,True,,2682,79.02,712,20.98,0.98,False,173,33,2504,678,0,0,6.46,4.64,1.44,False,0,201,239,161,110,20.7,22.2,20.3,20.0,0.0,11.7,1.2,2.7
19,60,1,True,True,,2705,79.7,689,20.3,0.3,False,174,32,2526,656,0,0,6.44,4.65,1.43,False,0,193,227,158,110,19.9,21.1,19.9,20.0,2.1,4.0,4.4,10.9
20,61,1,True,True,,2642,77.84,752,22.16,2.16,False,168,38,2469,713,0,0,6.37,5.06,1.02,False,0,255,224,162,110,26.3,20.8,20.4,20.0,0.8,8.0,5.6,8.2
21,62,1,True,True,,2763,81.41,631,18.59,1.41,False,160,46,2598,584,0,0,5.8,7.3,1.22,False,0,147,217,156,110,15.2,20.2,19.7,20.0,5.4,7.4,6.4,10.9
22,63,1,True,True,,2706,79.73,688,20.27,0.27,False,161,45,2540,642,0,0,5.96,6.55,0.47,False,0,191,235,151,110,19.7,21.9,19.0,20.0,7.9,5.1,5.3,9.1
23,1064,2,True,True,,2814,82.91,580,17.09,2.91,False,172,34,2637,545,0,0,6.12,5.87,0.21,False,0,101,209,159,110,10.4,19.4,20.1,20.0,2.0,9.1,3.1,7.3
24,4065,5,True,True,,2805,82.65,589,17.35,2.65,False,168,38,2632,550,0,0,6.0,6.46,0.38,False,0,125,193,160,110,12.9,18.0,20.2,20.0,10.4,5.2,5.0,6.4
25,3066,4,True,True,,2657,78.29,737,21.71,1.71,False,161,45,2491,691,0,0,6.07,6.11,0.03,False,0,226,244,156,110,23.3,22.7,19.7,20.0,4.9,6.6,5.8,8.2
26,2067,3,True,True,,2681,78.99,713,21.01,1.01,False,172,34,2504,678,0,0,6.43,4.78,1.3,False,0,207,236,159,110,21.3,22.0,20.1,20.0,3.9,3.4,3.8,10.9
27,1068,2,True,True,,2774,81.73,620,18.27,1.73,False,172,34,2597,585,0,0,6.21,5.49,0.59,False,0,147,199,163,110,15.2,18.5,20.6,20.0,6.8,5.5,3.7,6.4
28,69,1,True,True,,2786,82.09,608,17.91,2.09,False,169,37,2612,570,0,0,6.08,6.1,0.02,False,0,132,198,167,110,13.6,18.4,21.1,20.0,1.5,8.1,4.2,10.9
29,70,1,True,True,,2657,78.29,737,21.71,1.71,False,158,48,2494,688,0,0,5.96,6.52,0.44,False,0,242,223,161,110,24.9,20.7,20.3,20.0,11.2,4.0,2.5,7.3
30,1071,2,True,True,,2733,80.52,661,19.48,0.52,False,167,39,2561,621,0,0,6.12,5.91,0.17,False,0,152,238,160,110,15.7,22.1,20.2,20.0,2.0,10.5,1.2,8.2
31,72,1,True,True,,2767,81.53,627,18.47,1.53,False,174,32,2588,594,0,0,6.3,5.11,0.97,False,0,134,225,157,110,13.8,20.9,19.8,20.0,8.2,3.1,2.5,9.1
32,3073,4,True,True,,2759,81.29,635,18.71,1.29,False,172,34,2582,600,0,0,6.25,5.36,0.72,False,0,141,225,158,110,14.5,20.9,19.9,20.0,2.8,8.0,4.4,4.5
33,1074,2,True,True,,2747,80.94,647,19.06,0.94,False,172,34,2570,612,0,0,6.27,5.26,0.82,False,0,135,242,159,110,13.9,22.5,20.1,20.0,2.2,5.8,4.4,9.1
34,75,1,True,True,,2758,81.26,636,18.74,1.26,False,165,41,2588,594,0,0,5.99,6.46,0.38,False,0,140,226,159,110,14.4,21.0,20.1,20.0,15.0,3.5,1.9,8.2
35,76,1,True,True,,2779,81.88,615,18.12,1.88,False,171,35,2603,579,0,0,6.16,5.7,0.38,False,0,145,185,174,110,14.9,17.2,21.9,20.0,11.0,3.2,2.9,7.3
36,77,1,True,True,,2742,80.79,652,19.21,0.79,False,168,38,2569,613,0,0,6.14,5.84,0.24,False,0,138,245,158,110,14.2,22.8,19.9,20.0,0.0,7.3,8.9,5.5
37,1078,2,True,True,,2798,82.44,596,17.56,2.44,False,166,40,2627,555,0,0,5.94,6.72,0.64,False,0,130,202,153,110,13.4,18.8,19.3,20.0,10.0,5.4,6.5,5.5
38,3079,4,True,True,,2794,82.32,600,17.68,2.32,False,165,41,2624,558,0,0,5.92,6.84,0.76,False,0,141,190,158,110,14.5,17.7,19.9,20.0,7.1,6.8,7.0,6.4
39,1080,2,True,True,,2707,79.76,687,20.24,0.24,False,165,41,2537,645,0,0,6.11,5.98,0.1,False,0,187,231,158,110,19.3,21.5,19.9,20.0,7.0,5.2,3.8,9.1
40,1081,2,True,True,,2687,79.17,707,20.83,0.83,False,168,38,2514,668,0,0,6.26,5.38,0.7,False,0,210,240,146,110,21.6,22.3,18.4,20.0,3.3,5.8,3.4,10.9
41,2082,3,True,True,,2732,80.49,662,19.51,0.49,False,156,50,2571,611,0,0,5.72,7.56,1.48,False,0,172,224,155,110,17.7,20.8,19.5,20.0,8.7,7.1,7.7,6.4
42,1083,2,True,True,,2794,82.32,600,17.68,2.32,False,168,38,2621,561,0,0,6.02,6.34,0.26,False,0,133,199,157,110,13.7,18.5,19.8,20.0,6.0,6.0,8.3,4.5
43,2084,3,True,True,,2798,82.44,596,17.56,2.44,False,168,38,2625,557,0,0,6.02,6.39,0.31,False,0,114,215,156,110,11.8,20.0,19.7,20.0,0.0,8.8,9.0,4.5
44,85,1,True,True,,2715,79.99,679,20.01,0.01,False,156,50,2554,628,0,0,5.76,7.37,1.29,False,0,225,181,162,110,23.2,16.8,20.4,20.0,12.0,5.0,3.1,8.2
45,1086,2,True,True,,2796,82.38,598,17.62,2.38,False,162,44,2629,553,0,0,5.8,7.37,1.29,False,0,120,214,153,110,12.4,19.9,19.3,20.0,12.5,3.3,7.2,10.0
46,87,1,True,True,,2758,81.26,636,18.74,1.26,False,172,34,2581,601,0,0,6.25,5.35,0.73,False,0,164,198,163,110,16.9,18.4,20.6,20.0,3.7,6.1,4.3,8.2
47,88,1,True,True,,2790,82.2,604,17.8,2.2,False,172,34,2613,569,0,0,6.18,5.64,0.44,False,0,134,204,155,110,13.8,19.0,19.5,20.0,6.0,3.9,3.9,10.9
48,89,1,True,True,,2783,82.0,611,18.0,2.0,False,167,39,2611,571,0,0,6.01,6.39,0.31,False,0,147,195,158,110,15.2,18.1,19.9,20.0,6.8,6.2,6.3,6.4
49,90,1,True,True,,2691,79.29,703,20.71,0.71,False,170,36,2516,666,0,0,6.33,5.13,0.95,False,0,210,221,161,110,21.6,20.6,20.3,20.0,1.0,3.2,6.2,15.5
50,1091,2,True,True,,2785,82.06,609,17.94,2.06,False,162,44,2618,564,0,0,5.83,7.24,1.16,False,0,134,200,164,110,13.8,18.6,20.7,20.0,9.7,8.0,5.5,5.5
