regime,split_index,n_test,frac_test_with_train_groupmate,frac_test_with_train_complexmate
random-protein,1,677,0.8079763663220089,0.9290989660265879
random-protein,2,677,0.8138847858197932,0.9379615952732644
random-protein,3,677,0.793205317577548,0.9335302806499262
random-protein,4,677,0.827178729689808,0.9556868537666174
random-protein,5,677,0.8197932053175776,0.9364844903988183
random-protein,6,677,0.8212703101920237,0.9379615952732644
random-protein,7,677,0.8035450516986706,0.9172821270310192
random-protein,8,677,0.8389955686853766,0.9630723781388478
random-protein,9,677,0.8330871491875923,0.9453471196454948
random-protein,10,677,0.810930576070901,0.9261447562776958
random-protein,11,677,0.8330871491875923,0.9497784342688331
random-protein,12,677,0.8242245199409158,0.9453471196454948
random-protein,13,677,0.8197932053175776,0.9320531757754801
random-protein,14,677,0.8212703101920237,0.9542097488921714
random-protein,15,677,0.810930576070901,0.9571639586410635
random-protein,16,677,0.7991137370753324,0.9320531757754801
random-protein,17,677,0.8360413589364845,0.9335302806499262
random-protein,18,677,0.8050221565731167,0.9335302806499262
random-protein,19,677,0.8079763663220089,0.9394387001477105
random-protein,20,677,0.8005908419497785,0.9172821270310192
random-protein,21,677,0.8079763663220089,0.9512555391432792
random-protein,22,677,0.8064992614475628,0.9379615952732644
random-protein,23,677,0.8227474150664698,0.9409158050221565
random-protein,24,677,0.8153618906942393,0.9098966026587888
random-protein,25,677,0.8168389955686853,0.9689807976366323
random-protein,26,677,0.8316100443131462,0.9350073855243722
random-protein,27,677,0.8197932053175776,0.9335302806499262
random-protein,28,677,0.843426883308715,0.948301329394387
random-protein,29,677,0.7917282127031019,0.9409158050221565
random-protein,30,677,0.8050221565731167,0.9394387001477105
random-protein,31,677,0.8020679468242246,0.9542097488921714
random-protein,32,677,0.7858197932053176,0.9187592319054653
random-protein,33,677,0.8124076809453471,0.9542097488921714
random-protein,34,677,0.8212703101920237,0.9527326440177253
random-protein,35,677,0.8212703101920237,0.9276218611521418
random-protein,36,677,0.8138847858197932,0.9438700147710487
random-protein,37,677,0.8301329394387001,0.9394387001477105
random-protein,38,677,0.7976366322008862,0.9276218611521418
random-protein,39,677,0.7636632200886263,0.9290989660265879
random-protein,40,677,0.8020679468242246,0.9231905465288035
random-protein,41,677,0.8035450516986706,0.946824224519941
random-protein,42,677,0.810930576070901,0.9290989660265879
random-protein,43,677,0.8183161004431314,0.914327917282127
random-protein,44,677,0.8212703101920237,0.9438700147710487
random-protein,45,677,0.8345642540620384,0.9409158050221565
random-protein,46,677,0.8197932053175776,0.9394387001477105
random-protein,47,677,0.8242245199409158,0.9409158050221565
random-protein,48,677,0.8212703101920237,0.9379615952732644
random-protein,49,677,0.8375184638109305,0.9364844903988183
random-protein,50,677,0.7872968980797637,0.9364844903988183
group-atomic (reference),1,625,0.0,0.752
group-atomic (reference),2,695,0.0,0.7784172661870503
group-atomic (reference),3,684,0.0,0.8289473684210527
group-atomic (reference),4,615,0.0,0.808130081300813
group-atomic (reference),5,789,0.0,0.7376425855513308
group-atomic (reference),6,683,0.0,0.8052708638360175
group-atomic (reference),7,606,0.0,0.7475247524752475
group-atomic (reference),8,645,0.0,0.7565891472868217
group-atomic (reference),9,575,0.0,0.8191304347826087
group-atomic (reference),10,625,0.0,0.7632
group-atomic (reference),11,648,0.0,0.8132716049382716
group-atomic (reference),12,636,0.0,0.7845911949685535
group-atomic (reference),13,718,0.0,0.7966573816155988
group-atomic (reference),14,675,0.0,0.7451851851851852
group-atomic (reference),15,657,0.0,0.7579908675799086
group-atomic (reference),16,636,0.0,0.8522012578616353
group-atomic (reference),17,686,0.0,0.760932944606414
group-atomic (reference),18,695,0.0,0.8302158273381295
group-atomic (reference),19,652,0.0,0.6978527607361963
group-atomic (reference),20,751,0.0,0.6418109187749668
group-atomic (reference),21,613,0.0,0.7797716150081566
group-atomic (reference),22,687,0.0,0.8078602620087336
group-atomic (reference),23,579,0.0,0.7841105354058722
group-atomic (reference),24,583,0.0,0.7684391080617495
group-atomic (reference),25,736,0.0,0.6331521739130435
group-atomic (reference),26,610,0.0,0.8344262295081967
group-atomic (reference),27,608,0.0,0.743421052631579
group-atomic (reference),28,607,0.0,0.8154859967051071
group-atomic (reference),29,736,0.0,0.7866847826086957
group-atomic (reference),30,751,0.0,0.7696404793608522
group-atomic (reference),31,640,0.0,0.8171875
group-atomic (reference),32,696,0.0,0.7198275862068966
group-atomic (reference),33,646,0.0,0.7832817337461301
group-atomic (reference),34,635,0.0,0.7921259842519685
group-atomic (reference),35,613,0.0,0.8107667210440457
group-atomic (reference),36,651,0.0,0.8095238095238095
group-atomic (reference),37,595,0.0,0.8117647058823529
group-atomic (reference),38,638,0.0,0.7931034482758621
group-atomic (reference),39,632,0.0,0.7753164556962026
group-atomic (reference),40,706,0.0,0.8286118980169972
group-atomic (reference),41,629,0.0,0.8139904610492846
group-atomic (reference),42,648,0.0,0.8209876543209876
group-atomic (reference),43,712,0.0,0.7485955056179775
group-atomic (reference),44,628,0.0,0.7563694267515924
group-atomic (reference),45,587,0.0,0.8500851788756388
group-atomic (reference),46,635,0.0,0.7937007874015748
group-atomic (reference),47,571,0.0,0.7600700525394045
group-atomic (reference),48,609,0.0,0.7668308702791461
group-atomic (reference),49,595,0.0,0.8184873949579832
group-atomic (reference),50,608,0.0,0.7664473684210527
