ProteinId,target
A0A5B9,0
A0AVF1,0
A0JLT2,0
A0M8Q6,0
A1L190,0
A2RRP1,0
A4GXA9,0
A5D8V6,0
A5D8V7,0
A5LHX3,0
A5PLN9,0
A5X5Y0,1
A5YKK6,0
A6H8Y1,0
A6NGQ2,0
A6NHQ4,0
A6NHX0,0
A7MCY6,0
A8K0Z3,0
A8MT69,0
A8MTZ0,0
A8MW99,0
A8MWX3,0
A8MZ26,0
A9QM74,0
A9UHW6,0
B1AL88,0
B7Z8K6,0
C4AMC7,0
C9JR72,0
D6RGH6,0
E9PQX1,0
K9M1U5,0
L0R819,0
O00148,0
O00159,0
O00168,0
O00187,0
O00189,0
O00203,0
O00206,1
O00217,0
O00219,0
O00231,0
O00232,0
O00255,0
O00257,0
O00258,0
O00267,0
O00268,0
O00273,0
O00287,0
O00300,0
O00303,0
O00305,1
O00327,0
O00329,1
O00330,0
O00339,0
O00411,0
O00422,0
O00444,0
O00459,0
O00463,0
O00471,0
O00472,0
O00483,0
O00487,0
O00499,0
O00505,0
O00522,0
O00541,0
O00560,0
O00566,0
O00567,0
O00602,0
O00623,0
O00629,0
O00716,0
O14497,0
O14521,1
O14561,0
O14579,0
O14593,0
O14617,0
O14682,0
O14686,0
O14713,0
O14727,0
O14744,0
O14746,0
O14764,1
O14777,0
O14782,0
O14802,0
O14807,0
O14818,0
O14862,0
O14863,0
O14867,0
O14893,0
O14908,0
O14910,0
O14920,1
O14925,0
O14936,0
O14949,0
O14957,0
O14964,0
O14972,0
O15047,0
O15055,0
O15066,0
O15078,0
O15091,0
O15111,0
O15131,0
O15143,0
O15144,0
O15145,0
O15151,0
O15160,0
O15169,0
O15182,0
O15212,0
O15213,0
O15230,0
O15232,0
O15234,0
O15235,0
O15239,0
O15259,0
O15265,0
O15269,0
O15270,0
O15273,0
O15287,0
O15294,0
O15315,0
O15318,0
O15342,0
O15360,0
O15371,0
O15372,0
O15392,0
O15399,1
O15409,0
O15446,0
O15457,0
O15498,0
O15503,0
O15504,0
O15511,0
O15514,0
O15516,0
O15525,0
O15533,0
O15534,0
O15550,0
O15553,0
O43148,0
O43156,0
O43159,0
O43172,0
O43181,0
O43187,0
O43189,0
O43196,0
O43237,0
O43242,0
O43257,0
O43264,0
O43290,0
O43292,0
O43299,0
O43318,0
O43324,0
