Task,Database,Model,one-hop,two-hop,all
ChEMBL Drug Target,CORUM,LightGBM,15/15 (+142.4%),15/15 (+23.1%),15/15 (+24.5%)
ChEMBL Drug Target,CORUM,RF,15/15 (+128.3%),14/15 (+22.9%),15/15 (+24.0%)
ChEMBL Drug Target,CORUM,XGBoost,15/15 (+123.6%),14/15 (+26.2%),15/15 (+24.0%)
ChEMBL Drug Target,CP,LightGBM,15/15 (+161.6%),13/15 (+26.9%),15/15 (+53.5%)
ChEMBL Drug Target,CP,RF,15/15 (+184.3%),13/15 (+53.2%),14/15 (+39.7%)
ChEMBL Drug Target,CP,XGBoost,15/15 (+196.0%),13/15 (+37.9%),14/15 (+57.2%)
Essentiality,CORUM,LightGBM,15/15 (+10.8%),14/15 (+5.4%),13/15 (+7.3%)
Essentiality,CORUM,RF,15/15 (+12.6%),15/15 (+4.9%),15/15 (+5.7%)
Essentiality,CORUM,XGBoost,15/15 (+11.7%),13/15 (+6.4%),14/15 (+7.3%)
Essentiality,CP,LightGBM,12/15 (+9.1%),8/15 (+1.0%),8/15 (+0.2%)
Essentiality,CP,RF,14/15 (+11.5%),11/15 (+4.4%),8/15 (+2.2%)
Essentiality,CP,XGBoost,12/15 (+15.9%),12/15 (+6.4%),10/15 (+4.7%)
HPA Drug Target,CORUM,LightGBM,15/15 (+192.7%),15/15 (+40.9%),15/15 (+31.8%)
HPA Drug Target,CORUM,RF,15/15 (+146.1%),15/15 (+27.2%),15/15 (+28.2%)
HPA Drug Target,CORUM,XGBoost,15/15 (+173.5%),15/15 (+35.4%),14/15 (+35.6%)
HPA Drug Target,CP,LightGBM,15/15 (+253.4%),13/15 (+38.3%),15/15 (+80.1%)
HPA Drug Target,CP,RF,15/15 (+232.9%),12/15 (+41.8%),15/15 (+49.1%)
HPA Drug Target,CP,XGBoost,15/15 (+240.6%),14/15 (+24.0%),15/15 (+74.4%)
