Feature,Coefficient,Std Error,z,p-value,Odds Ratio,OR 95% CI Lower,OR 95% CI Upper,Model
const,-2.5165243908032617,0.07221538504229671,-34.84748283664662,4.6483422616265435e-266,0.08073973943258492,0.07008377655444328,0.09301589960092431,Univariate: base_TriangleCount
base_TriangleCount,-0.5608597544483526,0.16595725449935167,-3.379543462202453,0.0007260632645542144,0.5707181753672472,0.41224807121134366,0.790104935451684,Univariate: base_TriangleCount
const,-2.4491857215319963,0.06386038878298048,-38.35218933375383,0.0,0.08636388212500681,0.07620335536593036,0.09787915636896981,Univariate: base_AvgNeighbourDegree
base_AvgNeighbourDegree,-0.15576041009889277,0.0846167762416244,-1.8407745723391389,0.06565460055417245,0.8557641982707613,0.7249836007631235,1.0101364531158223,Univariate: base_AvgNeighbourDegree
const,-2.4412971466198337,0.0632758173410362,-38.581835039159294,0.0,0.08704786435439048,0.0768949195978342,0.09854136955068467,Univariate: protein_RangeComplexNodes
protein_RangeComplexNodes,-0.04702743324403302,0.0714189270265695,-0.6584729735093573,0.5102342579916166,0.9540612242369758,0.8294387945489604,1.0974080614200492,Univariate: protein_RangeComplexNodes
const,-3.0555345043397644,0.1344599002642856,-22.72450372441156,2.5651154860108486e-114,0.04709754020173577,0.03618643094390604,0.06129862037216654,Univariate: protein_MedComplexNodes
protein_MedComplexNodes,-1.8661748438319772,0.25914881658980277,-7.201170618447691,5.969778938922987e-13,0.15471433788464517,0.09309850144792235,0.25710968463304235,Univariate: protein_MedComplexNodes
const,-2.60645807219448,0.07116574110554616,-36.62517992089526,1.1368470583761038e-293,0.07379545960804962,0.06418791270120665,0.08484104918808037,Univariate: protein_MedianUniqueRatio
protein_MedianUniqueRatio,0.6026428098033322,0.05347055469616879,11.270554667474059,1.8341081487701122e-29,1.8269406826713848,1.6451679040920173,2.0287973341188525,Univariate: protein_MedianUniqueRatio
const,-2.496979479800707,0.06571050904057921,-37.99969770830278,0.0,0.08233331285057788,0.07238402081492308,0.09365014997279046,Univariate: protein_RangeUniqueRatio
protein_RangeUniqueRatio,0.32936735390460564,0.04188965751351226,7.862736853323814,3.7583001089331196e-15,1.390088416211092,1.280518576599175,1.5090337931810578,Univariate: protein_RangeUniqueRatio
const,-2.9583335360422685,0.1203098904618721,-24.589279606898206,1.6449871117647588e-133,0.05190534352372109,0.04100191162636307,0.06570827016229222,Multivariate
base_TriangleCount,0.7440126349039651,0.18618088802097138,3.996181578101398,6.437236673747097e-05,2.1043626346673046,1.460976137688613,3.031084481085316,Multivariate
base_AvgNeighbourDegree,-0.18393993013605112,0.09123931287639533,-2.016016170411543,0.04379828491294904,0.8319857795982257,0.695749430339732,0.9948988921423455,Multivariate
protein_RangeComplexNodes,-0.2038209653752155,0.15282410479845787,-1.3336964456229696,0.18230336013530968,0.8156083802568935,0.6045017543688578,1.1004385432095343,Multivariate
protein_MedComplexNodes,-1.6622410995558006,0.3187600458393797,-5.214709689160318,1.8410533757968365e-07,0.18971333685027567,0.1015707875686474,0.35434548692990364,Multivariate
protein_MedianUniqueRatio,0.21137075140710782,0.08412492769894646,2.512581670958808,0.011985135993516412,1.2353702854386086,1.0475864747999803,1.456815049503251,Multivariate
protein_RangeUniqueRatio,0.2344833983851133,0.04724346006514602,4.963298582740853,6.930591043756642e-07,1.2642554835788917,1.1524474728559624,1.386910870478402,Multivariate
