split_index,n_train,n_test,train_ess_pct,n_isolated_test,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2582,417,24.3996901626646,191,30.69544364508393,0.37087757857115633,0.4587628865979381,0.326612328637082,0.4482758620689655,0.044265249934074324,0.0104870245289726
2,2642,458,24.26192278576836,90,24.45414847161572,0.2626569277838045,0.32323232323232326,0.2930846182958998,0.373134328358209,-0.030427690512095318,-0.04990200512588572
3,2562,449,24.74629195940671,179,25.83518930957684,0.308432962451635,0.37994722955145116,0.2672486168090153,0.28085106382978725,0.04118434564261969,0.09909616572166391
4,2601,496,23.875432525951556,93,26.209677419354836,0.3543612186145072,0.46924829157175396,0.2663111369606608,0.3132530120481928,0.08805008165384642,0.15599527952356118
5,2581,499,23.67299496319256,110,31.663326653306612,0.40743841013678006,0.5356371490280778,0.2799812763666003,0.2033898305084746,0.12745713377017975,0.3322473185196032
6,2567,517,24.503311258278146,106,25.338491295938105,0.3376119912319575,0.3942307692307692,0.263631157652758,0.37237237237237236,0.07398083357919949,0.021858396858396856
7,2583,456,24.19667053813395,151,28.50877192982456,0.29854637492852854,0.3682008368200837,0.4067861716660196,0.50920245398773,-0.10823979673749107,-0.1410016171676463
8,2585,498,24.526112185686657,107,26.706827309236946,0.3807645093512779,0.5070422535211268,0.23315155738767657,0.11888111888111888,0.14761295196360136,0.3881611346400079
9,2571,537,24.465188642551535,82,24.39478584729981,0.3360742675846369,0.42168674698795183,0.22809778479497178,0.27450980392156865,0.1079764827896651,0.14717694306638318
10,2554,501,24.393108848864525,135,26.94610778443114,0.3455311523370788,0.42788461538461536,0.3165902479008755,0.37037037037037035,0.02894090443620334,0.05751424501424501
11,2599,493,24.54790303963063,98,22.31237322515213,0.28873632754255796,0.38642297650130547,0.24043677976446032,0.3919308357348703,0.04829954777809764,-0.005507859233564838
12,2574,547,24.125874125874127,69,25.59414990859232,0.3488141896533583,0.4878048780487805,0.26520756665467954,0.4186046511627907,0.08360662299867877,0.06920022688598976
13,2631,473,24.059293044469783,86,25.581395348837212,0.3049101121846093,0.47702407002188185,0.27790941110683337,0.41297935103244837,0.027000701077775913,0.06404471898943348
14,2562,527,24.902419984387198,101,23.14990512333966,0.33980194743556946,0.46607669616519176,0.23811622828274545,0.3575418994413408,0.10168571915282401,0.10853479672385097
15,2590,470,24.74903474903475,130,25.957446808510635,0.3525753794480032,0.4773413897280967,0.30540886011158264,0.4662576687116564,0.047166519336420576,0.011083721016440284
