split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2582,608,24.3996901626646,23.355263157894736,0.42228189023883517,0.39111111111111113,0.4053553517659709,0.2391304347826087,0.016926538472864294,0.15198067632850243
2,2642,548,24.26192278576836,23.905109489051096,0.326395472469983,0.39939024390243905,0.3567356388811905,0.43309002433090027,-0.03034016641120746,-0.03369978042846122
3,2562,628,24.74629195940671,21.97452229299363,0.2751938160767542,0.37822349570200575,0.3326516969838059,0.12790697674418605,-0.05745788090705173,0.2503165189578197
4,2601,589,23.875432525951556,25.636672325976228,0.3310859951546911,0.432510885341074,0.46973310238021726,0.4855769230769231,-0.13864710722552614,-0.05306603773584906
5,2581,609,23.67299496319256,26.436781609195403,0.42438547524755166,0.46248085758039814,0.6462531482453692,0.558891454965358,-0.2218676729978175,-0.09641059738495983
6,2567,623,24.503311258278146,22.953451043338685,0.3087353043053334,0.3959537572254335,0.41253526696396026,0.46296296296296297,-0.10379996265862684,-0.06700920573752944
7,2583,607,24.19667053813395,24.217462932454694,0.2804350067677869,0.38738738738738737,0.3544193255200493,0.4522058823529412,-0.07398431875226241,-0.06481849496555381
8,2585,605,24.526112185686657,22.8099173553719,0.3783435213109741,0.40059347181008903,0.6814883279638145,0.5,-0.30314480665284044,-0.09940652818991097
9,2571,619,24.465188642551535,23.101777059773827,0.3384934213359884,0.43312101910828027,0.3819054494111874,0.4325581395348837,-0.043412028075199005,0.0005628795733965686
10,2554,636,24.393108848864525,23.427672955974842,0.3375841741694804,0.40860215053763443,0.4527146337620938,0.4686192468619247,-0.11513045959261342,-0.06001709632429025
11,2599,591,24.54790303963063,22.673434856175973,0.28826712035608393,0.37271214642262895,0.3691371340613597,0.458128078817734,-0.08087001370527575,-0.08541593239510503
12,2574,616,24.125874125874127,24.512987012987015,0.36992972863783274,0.4203102961918195,0.5193840434859309,0.5287356321839081,-0.14945431484809818,-0.10842533599208859
13,2631,559,24.059293044469783,24.86583184257603,0.3347229678618193,0.4234930448222566,0.4439763751197169,0.46464646464646464,-0.10925340725789756,-0.04115341982420806
14,2562,628,24.902419984387198,21.337579617834397,0.33289331169691005,0.4,0.392252734308982,0.42297650130548303,-0.059359422612071944,-0.02297650130548301
15,2590,600,24.74903474903475,21.833333333333332,0.3515971506233326,0.38860971524288107,0.5047639846410348,0.48095238095238096,-0.1531668340177022,-0.0923426657094999
