feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.12243289500049584,0.044275983006638396,0.12260483368231449,0.027086435610108584,0.2021768114851635,15,1
base_BetweennessCentrality,0.09498786741883955,0.029675451519906724,0.10276383030646048,0.03732356062302869,0.14654781909315157,15,2
protein_MedianUniqueRatio,0.06355964722706417,0.05891408367734241,0.0679303876983911,7.430289572710747e-05,0.21658537698325148,15,3
protein_RangeUniqueRatio,0.043062649437445644,0.026134446133458143,0.044340408920237516,-0.02315845080152082,0.07602023213932878,15,4
base_AvgNeighbourDegree,0.032369488984127476,0.015597557949633212,0.03213380973984468,0.006906215747455818,0.05478900597303201,15,5
base_EigenvectorCentrality,0.02313592158264937,0.011337376690201045,0.02260372520701625,0.008120355275765023,0.055169354341761914,15,6
base_KatzCentrality,0.018076166621765817,0.012796537083677619,0.015775133511783723,-0.001405808523905694,0.041422354012805696,15,7
protein_RangeComplexNodes,0.015585283814101418,0.009202198381216824,0.01575065217756959,-0.0019643604519477163,0.03089839354272823,15,8
base_TriangleCount,0.011540437553698258,0.012097129595410207,0.008757800641631513,-0.007156453874402785,0.03962357018881142,15,9
base_ComponentSize,0.007232896903440001,0.027298075474197245,0.006799098794791824,-0.06211236189818825,0.04924681899841824,15,10
base_Degree,0.005965099772289783,0.011017849078083734,0.0035986287430135543,-0.011981565939550581,0.023854710311904597,15,11
base_LocalClustCoeff,0.004133076551442695,0.008538967595507633,0.002697351107071888,-0.007141205625286706,0.022201419796015996,15,12
base_ComponentEdgeNodeRatio,0.002237751050330224,0.002888115994183529,0.0016934070578683569,-0.0013251212934579648,0.010182460428999196,15,13
base_UniquePartners,0.0005262968165924508,0.003583758929137839,-5.441302121872438e-05,-0.006002056252275306,0.00956432373757744,15,14
