feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.11230240363970921,0.04379707512014257,0.11242989815462834,0.04029126527063936,0.1843877637559254,15,1
base_Degree,0.08620672184196486,0.02154456670905872,0.08331213951193499,0.04869522041793879,0.12065517832628433,15,2
base_TriangleCount,0.02577435207801512,0.020449694549865637,0.02330493013899556,-0.005370981501358368,0.07766880156208357,15,3
protein_MedianUniqueRatio,0.024794431550402413,0.033176352593928746,0.019092687370520677,-0.007600422370702848,0.09556218106216542,15,4
base_AvgNeighbourDegree,0.0208211108825579,0.010021419368113333,0.024843414763824456,-0.0017719781294879056,0.032496359376557205,15,5
base_UniquePartners,0.012050580309719582,0.023870320350996316,0.01649430047743795,-0.03531894716467846,0.04771175927761715,15,6
protein_RangeComplexNodes,0.011120638066196202,0.00927504126786201,0.005992131598342515,0.00032167102938707723,0.026549919063133427,15,7
protein_RangeUniqueRatio,0.008945098068232944,0.019301990778333517,0.015234009725894527,-0.04948324376028862,0.02640360373736527,15,8
stoich_MedianRatio,0.005852350580277265,0.024932001135059438,0.004444266924347212,-0.05188770937251117,0.058005833077899895,15,9
stoich_AvgNeighbourDegreeStoich,0.002036978601351636,0.0030596833784775524,0.002772506071257963,-0.00349811906758381,0.007597300812720443,15,10
base_LocalClustCoeff,0.0007880096097579181,0.013693484532761204,-0.001224065614586184,-0.027459178020382453,0.036284980541307695,15,11
stoich_WeightedTriangles,-6.834579474295595e-06,0.00143443390649603,-0.000136100575144088,-0.0022560298725915473,0.0031254624819284206,15,12
stoich_MedComplexSize,-0.0012051806233987956,0.012285205550913628,0.000958642709008517,-0.03524744572000007,0.014104074651459807,15,13
