split_index,n_train,n_test,train_dt_pct,test_dt_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,4043,1079,11.649765025970813,11.214087117701576,0.4625401619524541,0.4567901234567901,0.47340393264175,0.4398826979472141,0.173326659361284,0.209366391184573,0.2892135025911701,0.2474237322722171,-0.010863770689295893,0.016907425509576024
2,4151,971,11.587569260419176,11.431513903192585,0.38951974751773505,0.389937106918239,0.425515809431653,0.3595505617977528,0.1787002164804827,0.22276621787025705,0.21081953103725234,0.16717088904798197,-0.035996061913917965,0.03038654512048622
3,4096,1026,11.474609375,11.890838206627679,0.5353271799547368,0.42152466367713004,0.5268186637027901,0.3920704845814978,0.15958806301644352,0.2230971128608924,0.37573911693829326,0.19842755081623764,0.008508516251946707,0.02945417909563225
4,4131,991,10.2880658436214,16.851664984863774,0.44305144077250586,0.463302752293578,0.451247884641598,0.46382978723404256,0.190403974726476,0.3050847457627119,0.25264746604602983,0.1582180065308661,-0.00819644386909213,-0.0005270349404645769
5,4069,1053,11.845662324895551,10.446343779677113,0.3845186124801924,0.36464088397790057,0.378533236794635,0.3349282296650718,0.1601000958354785,0.21608040201005024,0.22441851664471393,0.14856048196785032,0.005985375685557404,0.029712654312828768
6,4164,958,11.551392891450528,11.586638830897703,0.38249833091970437,0.36103151862464183,0.37299858950413833,0.34104046242774566,0.16586349519899982,0.2048611111111111,0.21663483572070455,0.15617040751353073,0.009499741415566032,0.019991056196896173
7,4218,904,11.830251303935514,10.287610619469026,0.3385075174473047,0.3745583038869258,0.36226630808546384,0.36231884057971014,0.16490348456172144,0.19595645412130638,0.17360403288558324,0.1786018497656194,-0.023758790638159166,0.012239463307215648
8,3979,1143,11.309374214626791,12.42344706911636,0.4734179535830036,0.4185022026431718,0.45892242906886355,0.4091954022988506,0.21517330828415196,0.23785926660059464,0.2582446452988516,0.18064293604257714,0.014495524514140046,0.009306800344321187
9,4102,1020,12.311067771818625,8.529411764705882,0.4269504682423119,0.38620689655172413,0.42139527198042537,0.34812286689419797,0.1360380121423183,0.1716171617161716,0.2909124560999936,0.21458973483555252,0.0055551962618865525,0.038084029657526164
10,4096,1026,11.71875,10.916179337231968,0.4184702681600756,0.438871473354232,0.3723082389084108,0.36363636363636365,0.12456779227160011,0.1994459833795014,0.2939024758884755,0.2394254899747306,0.04616202925166479,0.07523510971786834
11,4091,1031,12.539721339525789,7.662463627546072,0.2452474124746677,0.2826086956521739,0.24876412574177584,0.26229508196721313,0.12505793600804446,0.17170111287758347,0.12018947646662323,0.11090758277459042,-0.003516713267108146,0.020313613684960763
12,3897,1225,11.419040287400565,12.0,0.427284462185242,0.4195121951219512,0.4272301692680342,0.379746835443038,0.15369379378998244,0.19799139167862267,0.2735906683952596,0.22152080344332853,5.4292917207821034e-05,0.039765359678913204
13,4094,1028,10.967269174401563,13.910505836575876,0.45004476444462704,0.4154786150712831,0.47517652173222047,0.42950108459869846,0.1814873873013703,0.2555066079295154,0.2685573771432568,0.15997200714176768,-0.025131757287593426,-0.014022469527415371
14,4017,1105,11.799850634802091,10.678733031674208,0.4484980260846385,0.41131105398457585,0.44653369123335973,0.3981264637002342,0.1733446834116622,0.22479338842975208,0.2751533426729763,0.18651766555482377,0.0019643348512787817,0.013184590284341657
15,4138,984,11.986466892218463,9.75609756097561,0.4085488122088815,0.4074074074074074,0.39126210385360594,0.35294117647058826,0.15237096289400048,0.18203033838973162,0.256177849314881,0.22537706901767576,0.01728670835527557,0.05446623093681913
