feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.05299268404384431,0.025288583374770256,0.044979188075598635,0.01919312692943303,0.09744139466839763,15,1
protein_MedComplexNodes,0.047500822216565826,0.02428210232242036,0.038470461339617276,0.006395996151577865,0.08878053808979791,15,2
base_BetweennessCentrality,0.046428080505078365,0.019524032536943972,0.047243306507573704,0.012398967953406092,0.07910319745378187,15,3
base_TriangleCount,0.0175243264852935,0.014439180316618632,0.01546585468849156,-0.004993122380591425,0.043714697128552846,15,4
protein_RangeComplexNodes,0.011953234566224647,0.008392557660007684,0.012122347847066773,-0.0013043504953549278,0.02632581518634656,15,5
base_EigenvectorCentrality,0.008482093459074391,0.008971163799176413,0.011332179521308767,-0.016197097564105818,0.018860634350031286,15,6
base_Degree,0.007651894670147324,0.010399681202467155,0.007288049520648732,-0.010082737579091217,0.028897714344698837,15,7
protein_RangeUniqueRatio,0.006604108791294744,0.005808767090547669,0.006097916249003144,-0.0027416166497480745,0.017668875674209623,15,8
base_KatzCentrality,0.005213002059853272,0.013478562866099759,0.00249070685728614,-0.009417504325646498,0.04182925283069687,15,9
base_LocalClustCoeff,0.004267175061799203,0.0032691582250623315,0.0038298059772012725,-0.0028090348961380684,0.01106494054745637,15,10
base_AvgNeighbourDegree,0.0038989215840396344,0.018259884212261424,0.0014571143798511542,-0.03379642248250055,0.045333387377504614,15,11
stoich_MedianRatio,0.0025673974070683004,0.021337201070860165,0.0039702950578729915,-0.03520814188758374,0.037852587658057525,15,12
stoich_MedComplexSize,0.0018449357630610835,0.0132724766997667,-0.0032469491880984026,-0.021601837099012755,0.026637487883578552,15,13
base_ComponentEdgeNodeRatio,0.0005305862836281161,0.003040400696137088,0.0008100325666994923,-0.003884157159752444,0.0077416625942123675,15,14
stoich_RangeRatio,-0.0001297802624847655,0.00036091423903049624,-1.1011914501757314e-05,-0.0007976997990279177,0.0004453753753584755,15,15
stoich_WeightedTriangles,-0.0002957678266768004,0.0015660623707366786,0.00016135123853134315,-0.004265619992706532,0.0016624429605782364,15,16
stoich_RangeComplexSize,-0.0003520208062603277,0.0017478041570850615,-0.00015471102507758072,-0.0060105353761109705,0.001044719085280882,15,17
stoich_AvgNeighbourDegreeStoich,-0.00040619492792883053,0.0017641390945043799,0.0001810981790276611,-0.0035064515530767006,0.0026066993931304293,15,18
base_ComponentSize,-0.0037026406865502074,0.015250222176266605,-0.0075642927802088145,-0.030699703630756314,0.022519581954619654,15,19
base_UniquePartners,-0.007394719275292577,0.016764476969741527,-0.008853246788239195,-0.043204338167955034,0.017666713358516044,15,20
