feature,mean,std,median,min,max,n_splits,rank
base_BetweennessCentrality,0.10023409547670556,0.03513994379390086,0.1128003666390417,0.0344364072691173,0.14535832412730296,15,1
protein_MedComplexNodes,0.09506451868778457,0.04093782540096575,0.0795255829949897,0.033461456523729,0.1638484887127784,15,2
protein_MedianUniqueRatio,0.06554829081216795,0.03462666962914202,0.0617408121588216,0.02515539324812724,0.14498875056367577,15,3
base_AvgNeighbourDegree,0.03482148879242988,0.01926625991114106,0.03855557593986007,0.006457265487525077,0.07237262550640211,15,4
base_EigenvectorCentrality,0.034430463458676085,0.017573592324586395,0.03011145140244076,0.01345228017599336,0.07997474148762632,15,5
protein_RangeComplexNodes,0.018830411193181223,0.011070516605499459,0.014547197382730387,0.005663506632685988,0.04101078303730528,15,6
base_TriangleCount,0.01747109281440528,0.014546263339043311,0.014115939790478088,0.004016450550352657,0.049166166915203244,15,7
protein_RangeUniqueRatio,0.010220951231500878,0.013450688072884121,0.007099368259886563,-0.013733213612135604,0.03492660651911868,15,8
stoich_MedianRatio,0.009479785591982044,0.026799595809795306,0.007934406226447676,-0.036194390986883554,0.07148164676891422,15,9
base_KatzCentrality,0.008106398100310481,0.01099027136590534,0.006155088919363005,-0.0071164890602014915,0.028638424232133124,15,10
base_LocalClustCoeff,0.006109975008715068,0.007798456584338546,0.004510839331522171,-0.003772614143927372,0.027404149668498023,15,11
base_Degree,0.005717236550480713,0.008532663403882562,0.005847477751844821,-0.015327048467964377,0.02264110088387019,15,12
stoich_MedComplexSize,0.0017741130159327023,0.00891249012077816,0.0004768051924644301,-0.013391775125575878,0.02116075317140227,15,13
base_ComponentEdgeNodeRatio,0.000751069531728938,0.006069067205338871,0.0018949926027142072,-0.011079391417770335,0.010926546420814842,15,14
stoich_RangeRatio,0.00012435151577618798,0.0010387679094699496,4.784879816255305e-07,-0.0012582498103272499,0.002858485427393642,15,15
stoich_AvgNeighbourDegreeStoich,7.302124625214991e-05,0.0010930168436059631,0.00012823204605415527,-0.0018068586656170339,0.002050686939287777,15,16
base_UniquePartners,-5.194832782287351e-05,0.0031989141085982304,-0.00046742167186326623,-0.008178232808760039,0.0076801893492698114,15,17
stoich_WeightedTriangles,-0.00029413029192618904,0.0010062674809837718,-0.00012527349466228132,-0.0026210208148802205,0.001504561599108789,15,18
stoich_RangeComplexSize,-0.0005492886040113121,0.0010619047440227156,-1.8422299701048583e-05,-0.003683631015332689,0.00016783047626703907,15,19
base_ComponentSize,-0.0018100138118653357,0.015619418162431209,-0.0014443843602633788,-0.03830825377058217,0.024888360049105458,15,20
