feature,mean,std,median,min,max,n_splits,rank
base_EigenvectorCentrality,0.18624032350855108,0.03963271390648455,0.1808056345321302,0.12308319416662503,0.27537141295315476,15,1
base_TriangleCount,0.09815982291646902,0.03483711255013884,0.08846395975575812,0.04361157212446648,0.16055100715656878,15,2
protein_MedianUniqueRatio,0.0951030864965992,0.04997870999808932,0.08804226971738197,0.021853573703784608,0.1953115357149998,15,3
base_AvgNeighbourDegree,0.0721275160106068,0.02313231908036523,0.07660261713973063,0.03274088020045275,0.11026588922388089,15,4
base_Degree,0.006977989115623353,0.006370793750188208,0.0073981467765855844,-0.003339442609978471,0.014761942299554165,15,5
protein_RangeComplexNodes,0.006702069671388053,0.013527203450294033,0.006621439911576066,-0.013238626440862456,0.040205445607752,15,6
base_KatzCentrality,0.005158929104539172,0.009631358514775168,0.005890301165534262,-0.01156343956325515,0.02125318075481609,15,7
protein_RangeUniqueRatio,0.002557732780934036,0.003072745092933366,0.0023413968070482905,-0.004297351595544341,0.008229356878281269,15,8
base_ComponentEdgeNodeRatio,0.0016301701774775702,0.00336454664832915,0.0009634865074924836,-0.002628874745597631,0.008733240475182164,15,9
base_BetweennessCentrality,0.0012071596476688892,0.003777263336925941,0.0013784264961364868,-0.004561567875193207,0.008818975519685034,15,10
stoich_AvgNeighbourDegreeStoich,0.0008147041341766122,0.0010345127493284756,0.0004337956241050156,-0.0004898703069255772,0.0031796098550383235,15,11
base_UniquePartners,0.0007359261462590069,0.004581896773812063,0.0005848294100709806,-0.012982233439492463,0.006488200646818232,15,12
base_LocalClustCoeff,0.0002519478706177117,0.0033301238938059463,0.000676429710607096,-0.005397142804152,0.00515901848115623,15,13
stoich_WeightedTriangles,5.3027175348626656e-05,0.0005085790188496672,0.00011010745663108113,-0.0013484017672641068,0.0010600720665780439,15,14
stoich_RangeRatio,0.0,0.0,0.0,0.0,0.0,15,15
stoich_RangeComplexSize,-3.7037923929691036e-07,1.4344726255779055e-06,0.0,-5.555688589453656e-06,0.0,15,16
stoich_MedComplexSize,-0.00018336116771677417,0.0014895983754834815,8.069208301426656e-05,-0.003583823970278277,0.0012928114964426251,15,17
stoich_MedianRatio,-0.00021422192803656313,0.0006880354621618057,-0.00019565523247017103,-0.002216141457803278,0.0007048684244404968,15,18
base_ComponentSize,-0.0006509925114408699,0.0033506700454833103,-0.0014818678259693851,-0.007473276434215931,0.006660511679793768,15,19
protein_MedComplexNodes,-0.001381377570585486,0.008168537996014462,-0.0008644972723013567,-0.015813328539010796,0.017297948035601574,15,20
