split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,3986,1068,17.41093828399398,17.04119850187266,0.38502619957541706,0.4457593688362919,0.36871798888219576,0.4426877470355731,0.36471574339972035,0.427255985267035,0.02031045617569671,0.018503383569256904,0.016308210693221303,0.0030716218007187934
2,4108,946,16.893865628042843,19.23890063424947,0.6754775788190501,0.5656108597285068,0.6717958348582712,0.5558086560364465,0.6452968354816616,0.5650406504065041,0.030180743337388516,0.0005702093220026905,0.003681743960778916,0.009802203692060307
3,4031,1023,16.745224510047134,19.64809384164223,0.4782958562949716,0.4847328244274809,0.4774837651925381,0.48,0.4285325247257892,0.4767225325884544,0.049763331569182445,0.008010291839026518,0.0008120911024335209,0.004732824427480908
4,4075,979,17.693251533742334,15.832482124616956,0.6099435365447282,0.5667574931880109,0.6094335083263756,0.5660377358490566,0.5797275669487599,0.5532994923857868,0.030215969595968284,0.013458000802224146,0.000510028218352665,0.0007197573389543521
5,4024,1030,18.389662027833,13.203883495145632,0.47941364037797807,0.5040214477211796,0.4829504494428581,0.5139664804469274,0.37741167482545207,0.42857142857142855,0.102001965552526,0.07545001914975108,-0.00353680906488002,-0.00994503272574776
6,4110,944,17.104622871046228,18.326271186440678,0.518187371738425,0.4749455337690632,0.516787247280947,0.46652267818574517,0.44664637522765704,0.46153846153846156,0.07154099651076795,0.013407072230601613,0.001400124457477947,0.008422855583318012
7,4170,884,17.074340527577938,18.552036199095024,0.623952573677156,0.5315904139433552,0.6173787983135957,0.5315904139433552,0.5861360879243862,0.5183585313174947,0.037816485752769746,0.013231882625860503,0.006573775363560297,0.0
8,3931,1123,16.89137624014246,18.8780053428317,0.5720230037768165,0.5417439703153989,0.569920783570669,0.5355805243445693,0.5218708309137632,0.5239852398523985,0.05015217286305329,0.01775873046300036,0.002102220206147476,0.0061634459708296285
9,4047,1007,15.048183839881393,26.514399205561073,0.6707441214697588,0.6051437216338881,0.6725873126834068,0.6033182503770739,0.6362410179458604,0.5947521865889213,0.034503103523898404,0.010391535044966815,-0.0018431912136479545,0.001825471256814204
10,4016,1038,17.15637450199203,18.015414258188827,0.6059773487272806,0.5564516129032258,0.6214068716634708,0.5649484536082474,0.5706534961367572,0.5381526104417671,0.0353238525905234,0.018299002461458658,-0.015429522936190154,-0.008496840705021658
11,4044,1010,15.702274975272006,23.86138613861386,0.671974774424741,0.5806451612903226,0.6719008417910421,0.5822021116138764,0.6577258143708823,0.5601217656012176,0.014248960053858672,0.020523395689104995,7.393263369881442e-05,-0.0015569503235537407
12,3843,1211,18.13687223523289,14.781172584640792,0.4515707154703552,0.4652908067542214,0.49788091024378356,0.484375,0.4316077886286768,0.4459016393442623,0.019962926841678386,0.019389167409959107,-0.04631019477342835,-0.01908419324577859
13,4032,1022,17.782738095238095,15.557729941291583,0.5903681380972653,0.5286783042394015,0.5744581704302455,0.5073170731707317,0.5444110919079396,0.5362637362637362,0.04595704618932572,-0.007585432024334704,0.015909967667019798,0.021361231068669828
14,4168,886,17.85028790786948,14.89841986455982,0.5009355485338769,0.4897959183673469,0.4992841114914697,0.4793814432989691,0.4107879988197891,0.46867749419953597,0.09014754971408778,0.021118424167810956,0.0016514370424072222,0.010414475068377838
15,4019,1035,17.666086091067427,16.03864734299517,0.5012605443734088,0.4805194805194805,0.4954877514911115,0.4745762711864407,0.4219336337689899,0.45634920634920634,0.07932691060441893,0.024170274170274175,0.005772792882297317,0.005943209333039823
