feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.15657720227417943,0.042685129056030315,0.16248684112057302,0.07180808689801157,0.2412696604217322,15,1
base_UniquePartners,0.08563969723792585,0.06605032933554404,0.06720771117786832,0.006286589167259565,0.21815817713515395,15,2
protein_RangeComplexNodes,0.07914290739175177,0.040425932419478235,0.07504728591592848,-0.00580756738953267,0.15007729735442715,15,3
base_Degree,0.05501984171210858,0.019301120032808105,0.05827289512714231,0.027371772279047756,0.08483621531188819,15,4
protein_MedComplexNodes,0.02106923538485769,0.024161633932871383,0.014161286504728365,-0.01565038403875408,0.07519774668069865,15,5
protein_RangeUniqueRatio,0.02022559585390481,0.018883759239160875,0.020859838436082346,-0.01478344091724514,0.07048402745864071,15,6
stoich_MedianRatio,0.0015851111303971364,0.0032412841478411474,0.0009908467724846714,-0.0013987418100893934,0.011986509243053783,15,7
stoich_MedComplexSize,0.0008580119374805881,0.002173726606124244,0.0003517980391698372,-0.0025588366157970554,0.005911990044503568,15,8
stoich_RangeComplexSize,-3.135770732032676e-06,1.3134046256608109e-05,0.0,-3.929039028939263e-05,2.2843888232471076e-05,15,9
stoich_RangeRatio,-1.0789679083553033e-05,2.9685822523699305e-05,0.0,-0.00011411441021628166,0.0,15,10
