feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.18620835330383562,0.07211366239078368,0.18368332111356966,0.084768582320896,0.3309218195732057,15,1
protein_MedianUniqueRatio,0.09138146831579146,0.036865771426919915,0.0841692119386318,0.037294258749414035,0.1760766335411606,15,2
base_AvgNeighbourDegree,0.07878459030595421,0.02948677699536817,0.07136479539877376,0.034258571480904776,0.16246272118107918,15,3
base_Degree,0.0257792109619562,0.020736815904145004,0.020583234420838464,-0.003396067134091285,0.07216016344849432,15,4
protein_RangeComplexNodes,0.014288216405898804,0.01844576274987783,0.008140924262803434,-0.0033013493958783946,0.06979818711764582,15,5
protein_RangeUniqueRatio,0.0103249487060148,0.011455371969093612,0.009478498630854103,-0.007041534284894735,0.045905367773574894,15,6
base_UniquePartners,0.007520910127107098,0.018564736690318533,0.0030544387919256176,-0.013707630552406324,0.060478887090493816,15,7
base_LocalClustCoeff,0.006726728477732409,0.005252236811660822,0.008282199471905744,-0.0019284696576810257,0.01400903678576999,15,8
protein_MedComplexNodes,0.001891738872402959,0.007396269896736794,0.0019310600654102671,-0.010076900254118315,0.02091920811398502,15,9
stoich_AvgNeighbourDegreeStoich,0.0010219430508884729,0.0015059935078068274,0.0006230328108342009,-0.0011315478551818304,0.004633231061350063,15,10
stoich_MedianRatio,0.00048592431458851945,0.0021716755034051805,-8.307536166842766e-05,-0.0007560223763784457,0.008177131626136508,15,11
stoich_MedComplexSize,0.000355646363375433,0.0005988267814870806,0.0003679176219558766,-0.000942836938215269,0.0013511502507649376,15,12
stoich_WeightedTriangles,7.294622267255637e-05,0.0016770253886496122,0.00011371645672559882,-0.0029102367646688387,0.004147132961946298,15,13
stoich_RangeRatio,-4.960430448264218e-07,1.9211664516147514e-06,0.0,-7.4406456723963285e-06,0.0,15,14
stoich_RangeComplexSize,-6.48016599048192e-07,2.417961508060185e-06,0.0,-9.382778165201167e-06,0.0,15,15
