feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.08581891268730654,0.03781403904429234,0.08595897668608717,0.026752485789171783,0.1487693128961019,15,1
base_Degree,0.06147664682660756,0.025459861354511597,0.05555248997690574,0.034219399216205044,0.11698360756914017,15,2
protein_MedComplexNodes,0.02795309056221926,0.02716318755134541,0.021002496829608704,0.00690106713089117,0.11258718577313132,15,3
base_AvgNeighbourDegree,0.014135703030521448,0.009782007068477596,0.0168004192649429,-0.007344605849257724,0.025727700414625986,15,4
protein_RangeUniqueRatio,0.013792081972633406,0.013142173901244536,0.010296171223305983,-0.005188390072938915,0.041758151193992996,15,5
base_LocalClustCoeff,0.0134286234439523,0.013671158958951305,0.018897823129603124,-0.012929145161973183,0.029298761120318133,15,6
base_TriangleCount,0.012983163780205354,0.011658189201276143,0.010613917085518048,-0.005690438077760029,0.036130392177735955,15,7
protein_RangeComplexNodes,0.01129532225234693,0.006634974782103238,0.010354134372363415,-0.0006220528581829199,0.024591680912597114,15,8
stoich_MedComplexSize,0.009226095679161163,0.016472629415255114,0.0043680199012508135,-0.013338661425579624,0.04484977513387071,15,9
stoich_WeightedTriangles,0.0001563313760272237,0.001453550349801797,0.0001456718192930362,-0.0023473998183840216,0.0028178778370237523,15,10
base_UniquePartners,9.491337893876656e-05,0.006327812005473783,0.0004568673845640081,-0.009660335766045358,0.01818604188708326,15,11
stoich_MedianRatio,3.79873449881038e-05,0.009197596369008434,-0.0002919653208586781,-0.016106025211755814,0.013715955422863746,15,12
stoich_AvgNeighbourDegreeStoich,2.7494116494338727e-05,0.003038084898679442,0.0007764393545985293,-0.008020154522163609,0.003999705257465546,15,13
