model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
RBF-SVM,Kernel,pairwise,1,0.1736170971839201,2750,638,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,1,0.2292857080341844,2750,638,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,1,0.25647594317772043,2750,638,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,2,0.11152158539550447,2753,635,4,42,"{'clf__C': 100, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,2,0.3277247462536134,2753,635,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,2,0.2929496936243599,2753,635,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,3,0.13171415504140174,2665,723,4,42,"{'clf__C': 100, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,3,0.23391683265770677,2665,723,8,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hb_graph,3,0.25263712052162013,2665,723,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,4,0.13213344514828101,2657,731,4,42,"{'clf__C': 1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,4,0.21702193751015597,2657,731,8,42,"{'clf__C': 1000, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hb_graph,4,0.13108898148335313,2657,731,14,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,5,0.1192730014987774,2687,701,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,5,0.19886163616128658,2687,701,8,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,5,0.29038651964743933,2687,701,14,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,6,0.11813644145605778,2749,639,4,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,6,0.23468945791633394,2749,639,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,6,0.21136104254545898,2749,639,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,7,0.11047590247758918,2722,666,4,42,"{'clf__C': 1000, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,7,0.1534005000271456,2722,666,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,7,0.16627050748284242,2722,666,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,8,0.13616237013716184,2694,694,4,42,"{'clf__C': 1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,8,0.13640964283515522,2694,694,8,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,8,0.15452495609945044,2694,694,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
