model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
RBF-SVM,Kernel,pairwise,1,0.4266533025588238,2612,694,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,1,0.44039996209843313,2612,694,8,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,1,0.4414773022218926,2612,694,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,2,0.3239688829881435,2680,626,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,2,0.4058262085030793,2680,626,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,2,0.46223498049010703,2680,626,14,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,3,0.6898897178389843,2594,712,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,3,0.6651486892288481,2594,712,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,3,0.6757971265202463,2594,712,14,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,4,0.4605046692414784,2649,657,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,4,0.47044858316066906,2649,657,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,4,0.5731920306731518,2649,657,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,5,0.6391238200779747,2633,673,4,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hypergraph,5,0.6422009055647389,2633,673,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,5,0.6860844656854874,2633,673,14,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,6,0.5632023355281462,2754,552,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,6,0.6203404610316563,2754,552,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,6,0.6290762860916919,2754,552,14,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,7,0.4788468140297784,2655,651,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,7,0.5314001658930817,2655,651,8,42,"{'clf__C': 10, 'clf__gamma': 'scale'}"
