feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.11251540591444749,0.08423592250010056,0.10180062498370127,0.007953092105782999,0.2861216113106755,50,1
protein_MedComplexNodes,0.08233589204330166,0.0897607004219059,0.04091184635633119,-0.03767045164918711,0.3670674915464141,50,2
base_UniquePartners,0.08152085303723389,0.09331909011965539,0.02895648756175434,-0.009413874076482942,0.3082152950821236,50,3
stoich_MedianRatio,0.05709380999155493,0.030963182932904225,0.05792618566406488,-0.00015710488789605904,0.11814923482069657,50,4
stoich_RangeComplexSize,0.05019087614243161,0.05676940904474348,0.02751101180376072,-0.0008173158103600975,0.21169696111205952,50,5
stoich_MedComplexSize,0.040774433147826326,0.036420016960591925,0.03062312205085454,-0.0102849632265628,0.1593632442014732,50,6
base_Degree,0.03798417246475808,0.0189992104064625,0.036190323880281816,-0.003659715652783735,0.08456361966515043,50,7
stoich_AvgNeighbourDegreeStoich,0.03490953127818568,0.027290776996075967,0.032113287168682086,-0.00937660413962041,0.10905885010618399,50,8
base_AvgNeighbourDegree,0.02892959710959466,0.0319929992699805,0.018328590121389123,-0.014401180628909572,0.16174421279858003,50,9
stoich_RangeRatio,0.02090499577783399,0.029795727007679792,0.01146456193324092,-0.009882566942762072,0.15083062730730148,50,10
protein_RangeUniqueRatio,0.016011514882620294,0.016725084682745136,0.013461447457476117,-0.018503616419306822,0.07845624750867855,50,11
stoich_WeightedTriangles,0.014325824464492069,0.019052152401917846,0.008912918639257073,-0.00809798047381369,0.08704641451617737,50,12
protein_RangeComplexNodes,0.004308070042489658,0.013415009304964533,0.002514759436357759,-0.04833214302779392,0.05537739017415975,50,13
base_LocalClustCoeff,0.0025959323165714245,0.0076882403756534995,0.0036157121781413056,-0.024352756879394543,0.016120340446661486,50,14
