split_index,n_train,n_test,train_dt_pct,test_dt_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2773,615,6.599350883519654,3.7398373983739837,0.24577491000722604,0.1797752808988764,0.20699605796963796,0.15584415584415584,0.09410218212492247,0.09290953545232274,0.15167272788230357,0.08686574544655366,0.038778852037588074,0.02393112505472056
2,2741,647,6.129149945275447,5.873261205564142,0.23774114213601225,0.24561403508771928,0.20246912493468797,0.27906976744186046,0.06646104381456462,0.13135593220338984,0.17128009832144764,0.11425810288432944,0.03527201720132428,-0.03345573235414118
3,2689,699,5.838601710673113,7.0100143061516444,0.24901955830778177,0.2742857142857143,0.20186565668832784,0.2375,0.09823886315256644,0.17564870259481039,0.15078069515521533,0.09863701169090391,0.04715390161945393,0.03678571428571431
4,2714,674,6.890198968312454,2.8189910979228485,0.2132408613328787,0.2074074074074074,0.1500267069886123,0.21818181818181817,0.0988705759918235,0.10112359550561797,0.1143702853410552,0.10628381190178943,0.06321415434426639,-0.01077441077441077
5,2685,703,5.921787709497207,6.685633001422476,0.19509238902598708,0.21505376344086022,0.1874421423836502,0.24468085106382978,0.08712509485791711,0.1659919028340081,0.10796729416806997,0.04906186060685211,0.007650246642336878,-0.02962708762296956
6,2761,627,6.302064469395146,5.103668261562999,0.269107115346161,0.1937984496124031,0.2733270605975547,0.24358974358974358,0.09832404081286353,0.13394919168591224,0.17078307453329747,0.05984925792649087,-0.004219945251393686,-0.04979129397734047
7,2793,595,6.265664160401002,5.2100840336134455,0.24402624145137655,0.24561403508771928,0.29238844467895675,0.2857142857142857,0.07559052572196293,0.13402061855670103,0.16843571572941363,0.11159341653101826,-0.0483622032275802,-0.040100250626566414
8,2787,601,6.3150340868317185,4.9916805324459235,0.22683552391997508,0.24242424242424243,0.1968972714689396,0.2302158273381295,0.07542723113018744,0.1329639889196676,0.15140829278978762,0.10946025350457483,0.029938252451035485,0.012208415086112923
9,2761,627,6.193408185440058,5.582137161084529,0.3034856521191151,0.20930232558139536,0.27335852331219085,0.3087248322147651,0.07724285500992276,0.11764705882352941,0.22624279710919235,0.09165526675786595,0.030127128806924253,-0.09942250663336974
10,2759,629,6.342877854295034,4.92845786963434,0.22798936908933146,0.19047619047619047,0.2757480853507871,0.234375,0.08452697499315975,0.11180124223602485,0.1434623940961717,0.07867494824016562,-0.04775871626145564,-0.043898809523809534
11,2808,580,5.982905982905983,6.551724137931035,0.36009255228953707,0.2535211267605634,0.22407675128537605,0.2248062015503876,0.10685866762132862,0.1542056074766355,0.25323388466820845,0.09931551928392787,0.13601580100416102,0.028714925210175768
12,2721,667,6.357956633590592,4.94752623688156,0.14047364559683045,0.18461538461538463,0.15158022930460213,0.24489795918367346,0.11260154568587624,0.13895781637717122,0.027872099910954212,0.0456575682382134,-0.011106583707771678,-0.06028257456828884
13,2694,694,5.976243504083148,6.484149855907781,0.25503015853663474,0.21875,0.1921666246247018,0.20195439739413681,0.10469009014203753,0.15757575757575756,0.1503400683945972,0.061174242424242437,0.06286353391193295,0.016795602605863186
14,2688,700,6.547619047619048,4.285714285714286,0.154409751496533,0.18823529411764706,0.12725746262216242,0.189873417721519,0.06091334446692101,0.07349081364829396,0.09349640702961198,0.1147444804693531,0.027152288874370573,-0.0016381236038719438
15,2759,629,6.306632837984777,5.087440381558029,0.2643200158282922,0.25,0.20468588575208016,0.2389937106918239,0.07098283618084221,0.12365591397849462,0.19333717964744995,0.12634408602150538,0.059634130076212016,0.011006289308176098
