split_index,n_train,n_test,train_dt_pct,test_dt_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2773,615,6.599350883519654,3.7398373983739837,0.36483310218645304,0.19753086419753085,0.32517366119738167,0.20809248554913296,0.26218470461895216,0.15217391304347827,0.10264839756750088,0.04535695115405258,0.03965944098907137,-0.010561621351602102
2,2741,647,6.129149945275447,5.873261205564142,0.21017055031524295,0.23300970873786409,0.2349620790294021,0.21686746987951808,0.21482708279698198,0.17333333333333334,-0.0046565324817390286,0.059676375404530746,-0.024791528714159156,0.01614223885834601
3,2689,699,5.838601710673113,7.0100143061516444,0.2511137253841886,0.26229508196721313,0.2042157886941919,0.26356589147286824,0.16774896581149937,0.1926605504587156,0.08336475957268921,0.06963453150849752,0.04689793668999667,-0.0012708095056551127
4,2714,674,6.890198968312454,2.8189910979228485,0.28942431315430317,0.21052631578947367,0.21906370514676674,0.1794871794871795,0.18837167484569076,0.1793103448275862,0.10105263830861241,0.031215970961887468,0.07036060800753643,0.031039136302294185
5,2685,703,5.921787709497207,6.685633001422476,0.2220120497481893,0.22033898305084745,0.2103362790040174,0.2222222222222222,0.22195668220626452,0.19298245614035087,5.536754192478344e-05,0.027356526910496587,0.011675770744171893,-0.0018832391713747565
6,2761,627,6.302064469395146,5.103668261562999,0.2855392082232351,0.2898550724637681,0.30751624983486747,0.2346368715083799,0.2485526382009529,0.18181818181818182,0.03698657002228217,0.1080368906455863,-0.021977041611632386,0.055218200955388236
7,2793,595,6.265664160401002,5.2100840336134455,0.2124331245697888,0.2709677419354839,0.2906315258567713,0.23809523809523808,0.1974855461483075,0.18666666666666668,0.014947578421481311,0.08430107526881722,-0.07819840128698252,0.032872503840245815
8,2787,601,6.3150340868317185,4.9916805324459235,0.3480291608388628,0.25609756097560976,0.18209372287497977,0.2513089005235602,0.3263226018864662,0.1791044776119403,0.021706558952396593,0.07699308336366947,0.16593543796388305,0.004788660452049565
9,2761,627,6.193408185440058,5.582137161084529,0.307512736240714,0.28735632183908044,0.29957177469485563,0.23711340206185566,0.15021461560759947,0.1650485436893204,0.15729812063311455,0.12230777814976004,0.007940961545858383,0.05024291977722478
10,2759,629,6.342877854295034,4.92845786963434,0.2797287537084469,0.2644628099173554,0.2885277477374311,0.24203821656050956,0.18963674088274457,0.21487603305785125,0.09009201282570234,0.049586776859504134,-0.008798994028984208,0.022424593356845823
11,2808,580,5.982905982905983,6.551724137931035,0.34470796394350417,0.33587786259541985,0.2656867185087139,0.242152466367713,0.32909272075733076,0.24761904761904763,0.015615243186173411,0.08825881497637222,0.07902124543479028,0.09372539622770684
12,2721,667,6.357956633590592,4.94752623688156,0.1396967130791438,0.1990521327014218,0.1801121519494982,0.205607476635514,0.21146334117426616,0.21705426356589147,-0.07176662809512235,-0.018002130864469668,-0.0404154388703544,-0.0065553439340922115
13,2694,694,5.976243504083148,6.484149855907781,0.28977440698101964,0.2379421221864952,0.2780017336173282,0.21839080459770116,0.24443872325322763,0.2057877813504823,0.04533568372779201,0.032154340836012874,0.011772673363691422,0.019551317588794026
14,2688,700,6.547619047619048,4.285714285714286,0.16762985315196277,0.23728813559322035,0.14055544091998476,0.2,0.12048790164974456,0.13333333333333333,0.04714195150221821,0.10395480225988701,0.027074412231978012,0.037288135593220334
15,2759,629,6.306632837984777,5.087440381558029,0.2693757363572585,0.25157232704402516,0.2024692160737776,0.22702702702702704,0.16231677366543235,0.09836065573770492,0.10705896269182613,0.15321167130632024,0.06690652028348087,0.024545300016998117
