feature,mean,std,median,min,max,n_splits,rank
base_EigenvectorCentrality,0.17077390307833837,0.04420579512162002,0.155054723661872,0.10973881720923231,0.2752977166447692,15,1
base_TriangleCount,0.10752273747000168,0.06030476362085272,0.08409412418595695,0.016684550224643768,0.24535968340200318,15,2
protein_MedianUniqueRatio,0.0963681413810432,0.039333848488944036,0.08604339946859119,0.018355398427317888,0.14850974414791945,15,3
base_AvgNeighbourDegree,0.07896432743339385,0.026415747337601204,0.07726434700123848,0.045582106840599046,0.15463140334491451,15,4
base_Degree,0.012417478661735183,0.012610838268311672,0.011631263248656942,-0.0025066809524499412,0.043698662923142714,15,5
protein_RangeComplexNodes,0.01061372746117981,0.011273146726557961,0.0069652361816262,-0.004568683440776644,0.02770627229106597,15,6
base_KatzCentrality,0.008807488584067697,0.015404244299927277,0.0036097513070160623,-0.002529658852249983,0.0559543559099959,15,7
base_ComponentEdgeNodeRatio,0.004612367983964573,0.004177217131522369,0.00545037922504219,-0.005251102354926785,0.010839381677004434,15,8
protein_RangeUniqueRatio,0.0019590759013015896,0.004050036887417032,0.002616685762425508,-0.005642446796330819,0.0071142808720916825,15,9
base_LocalClustCoeff,0.0007512732875268343,0.007710656660192436,-0.0003262292142831802,-0.012011397430666726,0.01637651933214661,15,10
base_ComponentSize,0.00010298397722991682,0.0009812959807718135,0.0002127393140575695,-0.0020406240979957357,0.0012461378075759532,15,11
base_UniquePartners,-0.0005041139898910896,0.004536780447344938,-0.00022454385830973368,-0.012662136205235375,0.005676962698940446,15,12
base_BetweennessCentrality,-0.0008395287123285352,0.003851724626954266,-0.0004817263066481725,-0.00926850588756183,0.007540815998200135,15,13
protein_MedComplexNodes,-0.0009228610959904348,0.012245400594671272,0.00045472220650092374,-0.040271905440565234,0.015951543423533075,15,14
