feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.13423448130366875,0.026656876171431806,0.12791293912529553,0.0924559374119357,0.18532894793693483,15,1
base_BetweennessCentrality,0.07791971074473482,0.029428745898582118,0.08344149400378928,0.03210444218610841,0.1342101669547006,15,2
protein_RangeUniqueRatio,0.04717898907390706,0.021145186632653298,0.042030401204533496,0.011815784899242154,0.08836197211101791,15,3
base_AvgNeighbourDegree,0.03311243546856957,0.014358263599661364,0.02883175346218151,0.018899289055096313,0.06897004020132913,15,4
base_EigenvectorCentrality,0.029230962647663228,0.014767885162021984,0.027673464852607084,0.0016031632651421434,0.05698704826836746,15,5
protein_MedianUniqueRatio,0.029226480115996833,0.04016793814585159,0.03537990455515715,-0.02762791349264939,0.08829008679327398,15,6
base_KatzCentrality,0.028962412825821883,0.021407681659910575,0.02424542624261696,-0.01045105662764414,0.0662568695541921,15,7
protein_RangeComplexNodes,0.018255512964252107,0.010311525140287247,0.015688887446852144,0.007091080905368636,0.047300161373475993,15,8
base_TriangleCount,0.01732473823021145,0.01152500181460399,0.015500032936728119,-0.002372896116646561,0.04338819000432141,15,9
base_Degree,0.009433821349973523,0.008608037770593963,0.008992848777061847,-0.0029673831780540117,0.023101958677803625,15,10
base_LocalClustCoeff,0.004304191684091846,0.009113473255649072,0.0045763593147287954,-0.012818578057407026,0.017095351592174447,15,11
base_ComponentEdgeNodeRatio,0.00166867929315606,0.0030509781683373165,0.0013375478959177678,-0.00454506839597385,0.006618046367861607,15,12
base_ComponentSize,0.001285517588665568,0.014747249687258773,-0.0013468132885470607,-0.027687627352572703,0.029189003165437488,15,13
base_UniquePartners,8.256298785954758e-05,0.0034258041356270523,-6.419136933593084e-05,-0.00573617461388074,0.005911294075100104,15,14
