feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.11607829360094059,0.030824811281396282,0.11566600199343298,0.06420681442788793,0.17425697599132978,15,1
protein_RangeUniqueRatio,0.06541116678169508,0.02403024391914758,0.06263037070400945,0.03625695635992334,0.13074203024283013,15,2
base_BetweennessCentrality,0.04097268171669712,0.024416336326947518,0.03450760549946093,0.009128685506081424,0.0791554856082546,15,3
base_EigenvectorCentrality,0.04014089927049439,0.02129302246668284,0.03555552109902717,0.003054243746987606,0.07745661970245847,15,4
base_Degree,0.03819195409905845,0.028471251814741468,0.02845486209340965,0.008045718806232893,0.11486400241104922,15,5
base_KatzCentrality,0.03631934159931744,0.026837848431074195,0.03503693685159547,0.006265777057678096,0.09535636104093051,15,6
base_AvgNeighbourDegree,0.01986639757803923,0.01573681846384022,0.016678264895558466,-0.015521382679881197,0.04514409708282958,15,7
protein_MedComplexNodes,0.01920949529627788,0.02440645083742016,0.013297749487083671,-0.008676395991474517,0.08168647485485347,15,8
base_TriangleCount,0.00789583994376644,0.008554629981495912,0.0047935983628497715,-0.0017390924178251389,0.027006688122370216,15,9
base_LocalClustCoeff,0.006082489343432204,0.008793355552904196,0.005757630105197226,-0.007330220463587745,0.02539720484152854,15,10
protein_RangeComplexNodes,0.004634930161074238,0.005024000842737841,0.006677616266908904,-0.006753265453282286,0.01203916618035858,15,11
base_UniquePartners,0.003753302371378911,0.007022601615429347,0.0011960946177518527,-0.002622676641046756,0.02262464991569077,15,12
base_ComponentEdgeNodeRatio,0.0024389400435838415,0.004387115481101694,0.0023291399610704034,-0.004765880263185085,0.011051409861418749,15,13
base_ComponentSize,-7.729794034168648e-05,0.012590211014588982,0.0007356146286149834,-0.038274189788172375,0.013041179734277953,15,14
