split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,4166,966,11.71387421987518,10.766045548654244,0.4287605307994221,0.38605898123324395,0.3960703915715449,0.35665914221218964,0.032690139227877224,0.029399839021054308
2,4163,969,11.289935142925774,12.59029927760578,0.4872147674063877,0.359375,0.37563434262171647,0.3488843813387424,0.11158042478467123,0.010490618661257611
3,4099,1033,11.441815076848012,11.907066795740562,0.38714456364074323,0.40941176470588236,0.29299929382694345,0.3925619834710744,0.09414526981379978,0.01684978123480796
4,4143,989,11.706492879555878,10.819009100101113,0.41705666539007247,0.3951219512195122,0.316506419629404,0.3624454148471616,0.10055024576066846,0.03267653637235063
5,4180,952,11.602870813397129,11.239495798319329,0.4036899369080391,0.41642228739002934,0.2822152788978065,0.34977578475336324,0.1214746580102326,0.0666465026366661
6,4134,998,11.344944363812289,12.324649298597194,0.4995455946323407,0.4321608040201005,0.4391913074407158,0.3945578231292517,0.060354287191624945,0.03760298089084879
7,4011,1121,11.518324607329843,11.59678858162355,0.45550966703629936,0.35991820040899797,0.3280825120775275,0.3598326359832636,0.12742715495877188,8.556442573437462e-05
8,4228,904,11.258278145695364,12.831858407079647,0.46332563527861387,0.4124293785310734,0.37671360639122453,0.38578680203045684,0.08661202888738934,0.026642576500616577
9,4142,990,11.22646064703042,12.828282828282827,0.37954161376999,0.43478260869565216,0.3169615339203793,0.3991130820399113,0.06258007984961073,0.03566952665574086
10,4140,992,11.76328502415459,10.58467741935484,0.48233989303883834,0.42857142857142855,0.308010084135566,0.35344827586206895,0.17432980890327232,0.0751231527093596
11,4129,1003,11.213368854444175,12.861415752741776,0.46115918837687253,0.39035087719298245,0.32888984662376275,0.3877551020408163,0.13226934175310978,0.0025957751521661354
12,4106,1026,11.203117389186556,12.865497076023392,0.473769494052751,0.4212962962962963,0.41901025610483283,0.39065817409766457,0.05475923794791815,0.030638122198631712
13,4222,910,11.819043107531975,10.219780219780219,0.5322710080646809,0.3806818181818182,0.34512713869350947,0.3181818181818182,0.1871438693711714,0.0625
14,4118,1014,11.874696454589607,10.157790927021697,0.465925468825305,0.3775280898876405,0.37870863384450637,0.3422222222222222,0.08721683498079863,0.03530586766541827
15,4173,959,11.622334052240594,11.157455683003128,0.4385484187412444,0.3778337531486146,0.3217051412033634,0.37866666666666665,0.11684327753788099,-0.0008329135180520364
