feature,mean,std,median,min,max,n_splits,rank
base_ComponentEdgeNodeRatio,0.0849079848313988,0.03023745227200384,0.09002851674256653,0.02763598387588597,0.13256004918293035,15,1
stoich_MedianRatio,0.0844085727602764,0.03873012301874152,0.07587525727352015,0.038085218730403596,0.1644478386553922,15,2
base_BetweennessCentrality,0.06506988203144634,0.041603790044923754,0.04664605294851869,0.001179551444429172,0.13880416408197757,15,3
base_ComponentSize,0.029948517734027704,0.02521478852871184,0.027382463454766304,-0.013365986430496362,0.07829896779323767,15,4
base_EigenvectorCentrality,0.02593309436953812,0.016453861179687824,0.026546567704288638,-0.0016505461737779282,0.05304582336321706,15,5
stoich_AvgNeighbourDegreeStoich,0.024578427839098516,0.02636745822059344,0.02736317275164496,-0.033930871922641645,0.0654627580654699,15,6
stoich_RangeRatio,0.021754113155971973,0.021511531060180042,0.01410215693496506,-0.00433494799421531,0.07487773002479552,15,7
stoich_MedComplexSize,0.021569813571881726,0.017757338313182925,0.020023620991058894,-0.006103989216590638,0.05855481593158747,15,8
stoich_RangeComplexSize,0.01733459121761235,0.0285459493314094,0.009141006135740074,-0.014309595530563084,0.09372692887474243,15,9
stoich_WeightedTriangles,0.013388160486884093,0.01667896556504358,0.013012254485815,-0.012100883368360271,0.0417239989667463,15,10
protein_RangeUniqueRatio,0.011606475003562572,0.016994639312872605,0.010439895049089066,-0.022866931787872025,0.04066385539623264,15,11
protein_MedianUniqueRatio,0.01129194240919182,0.02481868474083113,0.005568954728932901,-0.01911922343839296,0.07433554316112775,15,12
base_AvgNeighbourDegree,0.00977502752076089,0.016731237349136913,0.007357804710248978,-0.01669700632765141,0.03505833710682611,15,13
base_UniquePartners,0.009143001165370195,0.010127746306277868,0.011893868328719515,-0.006619012523915657,0.03024248632970291,15,14
protein_MedComplexNodes,0.008520964178295795,0.01539396078316265,0.002000780579777117,-0.004619767905559258,0.05574072206480104,15,15
base_LocalClustCoeff,0.0013675126150740132,0.007141706171738117,0.0032688657672157507,-0.016782042226278795,0.011000826699371658,15,16
protein_RangeComplexNodes,0.00021687489748635502,0.0041334374783064485,-9.167257642667126e-06,-0.009178627566492074,0.011727824768714212,15,17
base_KatzCentrality,-2.251753671909986e-05,0.02730505811799028,-0.006415017025524897,-0.04194896266054043,0.06744824081992705,15,18
base_Degree,-0.0012236593524401315,0.011007215936644008,-0.00013081951288519965,-0.03007092121653356,0.01761919086397538,15,19
base_TriangleCount,-0.0040700391535272405,0.012588328987181669,-0.001332126693805663,-0.03472052466024279,0.020759781711812607,15,20
