feature,mean,std,median,min,max,n_splits,rank
base_BetweennessCentrality,0.07752344655071595,0.03479047128530328,0.06529345923870249,0.028955917304106144,0.13978862490663047,15,1
base_ComponentEdgeNodeRatio,0.0726603902147085,0.04207502715152382,0.06068664661141675,-0.003880925252578113,0.1813175552156891,15,2
protein_RangeUniqueRatio,0.03846938502122774,0.04737362671984474,0.03776920280432595,-0.049485440611384136,0.12019735527909561,15,3
base_ComponentSize,0.036059016452567226,0.03216727362787296,0.04040685125977291,-0.017672256540916927,0.11268527138734123,15,4
base_EigenvectorCentrality,0.035670101670621436,0.035072686980360944,0.02088105399301851,-5.563072385852408e-05,0.11505117691714672,15,5
base_AvgNeighbourDegree,0.031300819242726714,0.03390902154823149,0.0405229805242217,-0.04020100883270228,0.08156594112188642,15,6
protein_MedianUniqueRatio,0.02892862256010352,0.033529475724753684,0.030533110612141135,-0.015775427343995466,0.08393802803812048,15,7
protein_MedComplexNodes,0.017932475316406002,0.015378931022598836,0.017313031094028437,-0.009929529469457753,0.040964724045593315,15,8
base_TriangleCount,0.009815190600414159,0.014492946379304211,0.0059509180355643895,-0.008390595816635388,0.03594722864255387,15,9
base_LocalClustCoeff,0.006628175549737846,0.012404748043499166,0.006782471378079169,-0.018728897221846296,0.02916218249764364,15,10
base_UniquePartners,0.005781225916230947,0.012727767547252461,0.0032387397683697,-0.018987889380990164,0.027487905301412707,15,11
base_Degree,0.0038965730975145853,0.009136131973950544,0.0010642851398222574,-0.00860282255394947,0.02285208014967351,15,12
protein_RangeComplexNodes,0.0037445333851779923,0.007261731234764303,0.00028936005227191976,-0.00048414045229145384,0.02719983406271942,15,13
base_KatzCentrality,0.00228605150318739,0.015719485717072126,0.002338218563559208,-0.022267671019670792,0.029926494348214323,15,14
