feature,mean,std,median,min,max,n_splits,rank
base_ComponentEdgeNodeRatio,0.34951609190856264,0.06559849945503993,0.36472490067893654,0.2521073323797011,0.45943067240383845,15,1
protein_MedianUniqueRatio,0.047601995154960025,0.0556299778556762,0.03136932032056151,-0.01622812324879188,0.16440810596812672,15,2
base_ComponentSize,0.021960366186902204,0.02523348947186911,0.020967018448396702,-0.01601022347481789,0.08238223832492983,15,3
base_AvgNeighbourDegree,0.02097016347811861,0.018929322421624418,0.01552022750360944,-0.012481492915983905,0.05127432117341611,15,4
base_EigenvectorCentrality,0.016734358539491654,0.016647385227693146,0.01748844435338051,-0.00913123391615811,0.05466689111464211,15,5
base_TriangleCount,0.015935258711051403,0.016711760243461375,0.013212140304351205,-0.014807514567806402,0.04090154163781114,15,6
base_BetweennessCentrality,0.004791150030252791,0.015496451266039756,0.0019374878220634773,-0.014921421964865372,0.04349137892310684,15,7
protein_MedComplexNodes,0.0037351569360541312,0.011665315342728588,0.0034586268656684794,-0.013744330319154374,0.03194042329431006,15,8
base_LocalClustCoeff,0.0008113292496543386,0.012559945682819464,-0.00025286805368021636,-0.02824842840870594,0.02010869974457465,15,9
protein_RangeComplexNodes,0.0003075316493282876,0.0018964918503909967,0.0,-0.003187152412887673,0.0034444739915189203,15,10
base_Degree,-0.0020171877223079727,0.008446778904295684,-0.0014585642723920933,-0.014005451237850474,0.01933638778759328,15,11
base_KatzCentrality,-0.005951235382919228,0.01370701477126445,-0.0036488183985480148,-0.02588736560005004,0.016820928996004382,15,12
base_UniquePartners,-0.008180674547978597,0.00799610527575511,-0.006810144261620699,-0.025244629010291543,0.0016839967897233632,15,13
protein_RangeUniqueRatio,-0.008448410565939998,0.013016002876935126,-0.006822953087102302,-0.032847812179887484,0.01102320703582318,15,14
