feature,mean,std,median,min,max,n_splits,rank
base_ComponentEdgeNodeRatio,0.33723275361490973,0.07260122300314113,0.3405931763838045,0.22461243777198572,0.45381471852409394,15,1
stoich_MedianRatio,0.04203444938682708,0.03888078893789282,0.03901760956265839,-0.003280166198654527,0.1518892055013923,15,2
protein_MedianUniqueRatio,0.03185140892403077,0.04192650512957453,0.016512282164756253,-0.020295396770384777,0.11475250405049871,15,3
base_ComponentSize,0.02210728925952887,0.020432270496972816,0.0246342861156137,-0.01004424368025274,0.052269605807097476,15,4
stoich_MedComplexSize,0.021599218499923405,0.018780044849556417,0.026062751183248235,-0.001793721690875555,0.05697059671301363,15,5
base_AvgNeighbourDegree,0.021319923968628415,0.02047487834795572,0.021584008545236826,-0.01731292900259713,0.06268839030050331,15,6
base_TriangleCount,0.018985380883937097,0.02979274680549544,0.012243169533519315,-0.015752153589894437,0.09515020158270207,15,7
stoich_WeightedTriangles,0.015748615488047773,0.01960800549197926,0.015788230294459953,-0.021946159949684886,0.045214123287443744,15,8
base_KatzCentrality,0.01249997917588434,0.019037927191780386,0.008496920567181415,-0.015292898124044746,0.04624177298545652,15,9
base_BetweennessCentrality,0.011083801360301794,0.017343602404763875,0.009689784897431164,-0.02568782704155298,0.04327912472389734,15,10
base_EigenvectorCentrality,0.010533183643103107,0.012128826750320404,0.007885783469407609,-0.004206399026371088,0.040476251744895685,15,11
protein_MedComplexNodes,0.00936515590077163,0.01637554677627376,0.004894581503771306,-0.010940674725969568,0.05914490645336802,15,12
stoich_RangeComplexSize,0.004042802262448321,0.006200500230179294,0.0031336123895165714,-0.005380316506771843,0.015034186871413224,15,13
protein_RangeUniqueRatio,0.004026404555321736,0.008344575141825858,0.004790413698707313,-0.012296054478145923,0.014799631834695914,15,14
base_LocalClustCoeff,0.0014583418377610987,0.012964664990203456,0.006478919455647869,-0.027116143073633726,0.01490645883207723,15,15
base_Degree,0.0009817412561441065,0.006133696787591678,0.0,-0.010833924974715931,0.013496277429533498,15,16
stoich_RangeRatio,0.0006580211848893015,0.0067577124658812155,0.00034192704892170854,-0.009587668664761106,0.013041316704146561,15,17
stoich_AvgNeighbourDegreeStoich,-0.0002126823661677165,0.009980110211352512,0.002871984926426796,-0.023082952462583788,0.009740545098071273,15,18
protein_RangeComplexNodes,-0.0003746065828139637,0.0032650339800393115,0.0,-0.0095453111395155,0.004955067339919095,15,19
base_UniquePartners,-0.0030689599430301306,0.0062749984379731295,-0.0013413596088773683,-0.015991892695502295,0.0057860057332328185,15,20
