feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.1641453806293424,0.05662957124835196,0.14854986287834154,0.06290607744129412,0.25840925452901076,15,1
protein_MedianUniqueRatio,0.1013580496236706,0.04350449131373146,0.11166183725975168,0.03496697817641582,0.1793710912937066,15,2
stoich_MedianRatio,0.09460310902663213,0.04512855764332466,0.09313768080481477,0.022890034578303235,0.16112918161355338,15,3
stoich_MedComplexSize,0.09391283618873693,0.04010668486037376,0.09302279788292465,0.025408202418343094,0.13890135761487027,15,4
base_UniquePartners,0.03113467330473502,0.02987833864333282,0.029543967380898824,-0.015915543293092943,0.11622134347211392,15,5
stoich_RangeComplexSize,0.02579300197352251,0.018454044603215935,0.020235716930756896,-0.00039017125510170113,0.052926422892331515,15,6
protein_MedComplexNodes,0.025491976490690498,0.026356587392535373,0.022050424052292305,-0.005544989550906354,0.07089676041523048,15,7
protein_RangeUniqueRatio,0.018385195648868247,0.024080253207823078,0.011664029691400218,-0.012670742873520002,0.0740345221137991,15,8
stoich_RangeRatio,0.00030539363641514676,0.02242018913724029,-0.0005471977623668023,-0.05756848886316142,0.042288383420199756,15,9
protein_RangeComplexNodes,-0.0032199132976091904,0.010649485072787297,-0.00019009521734464908,-0.03061330551435899,0.01015394675915,15,10
