feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.18897911108687668,0.06574904116657387,0.21180358595399928,0.026904533419975375,0.293684332517601,15,1
stoich_MedComplexSize,0.1424686247912733,0.06517805222163728,0.13831756168672532,0.014135724920221407,0.28723784905232025,15,2
protein_MedianUniqueRatio,0.10881556467361947,0.04941404490372625,0.09934937012003632,0.03993305343099109,0.18136291827529846,15,3
stoich_MedianRatio,0.09774870934282924,0.048974182065292846,0.10731179801867019,0.009955371348437403,0.17989264950197276,15,4
protein_MedComplexNodes,0.04015498602897554,0.04118051755333115,0.026018137545733167,-0.005667179082999374,0.13516019751848826,15,5
base_UniquePartners,0.035790827767798836,0.03637787834004792,0.03538631430504061,-0.005792508115245276,0.1424376772032193,15,6
protein_RangeUniqueRatio,0.01719115717289397,0.03535097623079195,0.00668138089490918,-0.01810480723139757,0.10138010919556859,15,7
stoich_RangeComplexSize,-0.00041745119086414323,0.005933075999574664,0.0004615629838828017,-0.010922490750337155,0.012946710881673134,15,8
protein_RangeComplexNodes,-0.0031031360838366306,0.01089279689724039,0.0,-0.03310260298017385,0.013548456098839068,15,9
stoich_RangeRatio,-0.0034901027408164227,0.00883312682056788,-0.0014619654850407283,-0.022452669988791578,0.009722757019195772,15,10
