feature,mean,std,median,min,max,n_splits,rank
base_UniquePartners,0.09639366304884751,0.039588890054516046,0.09783257800706133,0.014229182362020736,0.1580821058863578,15,1
protein_MedianUniqueRatio,0.08887474654916415,0.03759950392480811,0.08887618611939173,0.025544848489770473,0.1555875146193003,15,2
protein_RangeUniqueRatio,0.028885095801841832,0.023310346882597196,0.029532608846035778,-0.005474183876663296,0.060986084443512986,15,3
stoich_MedComplexSize,0.00997039832252766,0.020429847191445017,0.008463545388809668,-0.015745307204915016,0.0534241443118645,15,4
protein_RangeComplexNodes,0.00647966884886907,0.009592550713418864,0.004374313396481766,-0.009623764083142422,0.034479645330202015,15,5
stoich_MedianRatio,0.003366521962847694,0.01009587687281246,0.0012105828692997589,-0.011601112407052838,0.021804550051466885,15,6
stoich_RangeComplexSize,0.003035949622078892,0.007660707879546706,0.0028103326691572062,-0.011115357976353036,0.017469852932949104,15,7
base_Degree,0.0012653460921806456,0.018801276749137834,0.007890402138629371,-0.033305930256752166,0.03508473463083421,15,8
protein_MedComplexNodes,0.0006773287619813923,0.010076127519793369,-0.00029294729004809004,-0.02474435164139922,0.022496805483751037,15,9
stoich_RangeRatio,-0.0001970644469204193,0.0016673487386812123,9.08196471903877e-05,-0.00346211409893763,0.00333574807757363,15,10
