feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.10909036127389203,0.04434105939580323,0.10878258161758383,0.026928080912242573,0.19444151640181362,15,1
stoich_WeightedTriangles,0.08152780894768445,0.06026776889408621,0.07233426854127045,0.012715260696662557,0.25003345504795266,15,2
base_AvgNeighbourDegree,0.05516029150873465,0.028959439571332426,0.05481482025268799,-0.014231995109162243,0.09645571478047489,15,3
base_TriangleCount,0.03549822319583355,0.04336037030350178,0.027368837743854478,-0.02441385165896539,0.12806322294896977,15,4
base_UniquePartners,0.013750503553579374,0.026351110525403388,0.008377269990018772,-0.0194057114639672,0.08788408248499557,15,5
stoich_MedianRatio,0.007364851305471937,0.023381351417627233,0.01428620542319029,-0.0344502977177656,0.046601552989077345,15,6
protein_RangeUniqueRatio,0.007239032886827633,0.011920407001892746,0.005620167199069825,-0.006035819361482353,0.039964546061947104,15,7
stoich_AvgNeighbourDegreeStoich,0.0032734861625601653,0.007588521598263497,0.0028403195236483382,-0.007615531597778913,0.017394357548333583,15,8
stoich_RangeComplexSize,0.0032037141974737364,0.004673695140447635,0.0018658731764134352,-0.0043059923135049805,0.015071939593979206,15,9
protein_RangeComplexNodes,0.0029577822570662233,0.005667277430216395,0.0002913191694175088,-0.00263172530872795,0.018701588750093145,15,10
base_Degree,0.002621401956426609,0.006162579478556245,0.002268149269182629,-0.004741164732753367,0.0158890743364818,15,11
base_LocalClustCoeff,0.0008755762977382519,0.0014472605279597557,0.0006623847287404283,-0.001594808264947295,0.004439490444610061,15,12
stoich_RangeRatio,0.00010496407030890981,0.0009940881466409257,-2.4761055811284294e-06,-0.0010848996292034396,0.003537312865666176,15,13
stoich_MedComplexSize,-0.0035859472547814966,0.011903242168445304,-0.0024924329898944886,-0.03051646329026041,0.016116378265452112,15,14
protein_MedComplexNodes,-0.0052331101720889655,0.024487582882565275,0.0004767501333286739,-0.07967556539486995,0.0199815466707971,15,15
