feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.11911344372705022,0.03763310539973211,0.11893520693258597,0.05640598430405053,0.19388183938198172,15,1
base_UniquePartners,0.09981385104024879,0.05747205148168156,0.10128030335959012,0.021563094250928005,0.16957297505097632,15,2
protein_RangeUniqueRatio,0.039115974815811264,0.030693133727884618,0.051745293246827376,-0.00022908686731528682,0.07866805751516377,15,3
stoich_MedComplexSize,0.033230867095273196,0.03747945672915587,0.03259530861295461,-0.01970555775515865,0.11111077882774664,15,4
stoich_MedianRatio,0.017972613239956668,0.016733096898046806,0.011015736225704443,-0.00010152845643249809,0.05263250818086509,15,5
base_Degree,0.013120872602425256,0.014761829274396319,0.013560580230500652,-0.017808577313109475,0.038171893211628546,15,6
protein_RangeComplexNodes,0.007634253860138773,0.010584230078066824,0.006199718441824565,-0.007418492970127593,0.03627628620605488,15,7
stoich_RangeComplexSize,0.006333513971648543,0.00639974034479733,0.005708965210027295,-0.0025737784329841473,0.02078424479379707,15,8
protein_MedComplexNodes,0.0050671238948203,0.008019251948489247,0.0017310144710335096,-0.001944963022163726,0.027877535287479143,15,9
stoich_RangeRatio,0.00045693686973252376,0.0028401204383512353,6.293569996634885e-05,-0.004938920844486628,0.0076216702321608935,15,10
