feature,mean,std,median,min,max,n_splits,rank
stoich_WeightedTriangles,0.12682290837318866,0.06911698431711699,0.12779605614668457,0.01500496086162999,0.26511756808822157,15,1
base_TriangleCount,0.08491954999892927,0.06038091133357424,0.07184617371037984,0.00182778619612034,0.18135408300811712,15,2
base_AvgNeighbourDegree,0.07621251319600261,0.023289142960046035,0.08032345589581803,0.04104114569818787,0.12331413294477944,15,3
protein_MedianUniqueRatio,0.07085609266613478,0.05888288877640012,0.045436167331983066,0.0013056890750111406,0.1762072148054338,15,4
base_UniquePartners,0.012888617433949512,0.02329300554548016,0.006205680244009271,-0.008240705422112337,0.08501419418615151,15,5
protein_RangeUniqueRatio,0.010249002725466368,0.013588451469497593,0.008954086413465423,-0.013812216850118552,0.04383739339003904,15,6
stoich_MedianRatio,0.010190787135168316,0.010816804905704979,0.00788741119464802,-0.017096502099644206,0.0269297682534807,15,7
stoich_AvgNeighbourDegreeStoich,0.007403741931084156,0.011945495769875499,0.00712140995208338,-0.016301930358348326,0.02990907166219462,15,8
base_Degree,0.003477891331987814,0.007031923232061893,0.0033919280033417264,-0.014899438158004097,0.016576934911111074,15,9
protein_RangeComplexNodes,0.0032185395973253475,0.005924072618924173,0.0010801085569744906,-0.0016795596012449733,0.019147115470977118,15,10
protein_MedComplexNodes,0.0013648675410902103,0.004117128685871733,0.0005608465608465174,-0.00707639943807783,0.011826679638245496,15,11
stoich_RangeRatio,0.0007880968616249484,0.0017298957714301925,1.6344566113712933e-06,-0.00014013954780789373,0.006722698695294504,15,12
stoich_RangeComplexSize,0.00024572064689244147,0.0007732826194659176,4.732329128157575e-05,-0.0008008684033879554,0.0025501247214857027,15,13
base_LocalClustCoeff,8.315373873048086e-05,0.006819217047496715,0.0005282330149508297,-0.02237862980646733,0.008908981383340665,15,14
stoich_MedComplexSize,-0.0007163527888551052,0.00867929209617854,0.0016816426192822753,-0.02433610642052254,0.012226984899356724,15,15
