feature,mean,std,median,min,max,n_splits,rank
base_ComponentEdgeNodeRatio,0.3487997317923719,0.10706653772966954,0.34497660950890746,0.1449890676794852,0.5441441563787366,15,1
protein_MedianUniqueRatio,0.04092342851881122,0.07164204402325525,0.02760907066070667,-0.027121167398761754,0.2680386345250032,15,2
base_ComponentSize,0.02602917126320018,0.02548297309743555,0.018375252835326837,-0.004279063191147725,0.07419812766015924,15,3
base_AvgNeighbourDegree,0.021663684997231494,0.023288047692114115,0.01857221579863986,-0.020312393431259436,0.07403237101590249,15,4
base_EigenvectorCentrality,0.020420358662624975,0.021682944132909335,0.015851514693509688,-0.000993988894037867,0.07130459213381661,15,5
protein_MedComplexNodes,0.014894594558147544,0.023533799747244476,0.012730283914564012,-0.009036047475344833,0.08635091623642036,15,6
base_TriangleCount,0.014558137834497303,0.02147632143456258,0.011896553468901217,-0.007413219423136852,0.08341820491209873,15,7
base_BetweennessCentrality,0.0031488780918145992,0.009223446299144195,0.0025349302145123652,-0.013764276762138306,0.02077179517935359,15,8
base_LocalClustCoeff,0.0021462150667748313,0.013591324322255736,-9.405880750710804e-05,-0.009834701418049818,0.04828236648243067,15,9
base_KatzCentrality,0.0004465282515335976,0.008543497703200249,0.0011692357506024487,-0.019068322599286692,0.016186720321408034,15,10
base_UniquePartners,-0.000641547659772013,0.005742867433163698,-0.000610494279236412,-0.009507107622632105,0.013092246841520373,15,11
protein_RangeComplexNodes,-0.0008725645138540676,0.0010639375847286848,-0.0006764429787405324,-0.003502573623851568,1.0157113550768316e-05,15,12
base_Degree,-0.0010750149174827343,0.003555861200561854,-0.00021927967049263365,-0.0095585930498923,0.004728808268044893,15,13
protein_RangeUniqueRatio,-0.0025671638032208487,0.015749368239983595,-2.940246196290186e-05,-0.04881251114929359,0.015723931186020813,15,14
