feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.1457747128393982,0.08862653253148044,0.15797246032784845,0.03365695766877743,0.35573292181078203,15,1
protein_MedianUniqueRatio,0.1231051215844847,0.09210781503067451,0.1335239666059305,-0.011610318515405305,0.3778506255816459,15,2
stoich_MedianRatio,0.09343710877811316,0.059462823767478426,0.09916771749156428,-0.021307411757024393,0.18804372634565292,15,3
stoich_MedComplexSize,0.07189323270238165,0.04673494992457727,0.06601483696514207,0.0029883121054992273,0.1908540306440854,15,4
stoich_WeightedTriangles,0.05866418829236064,0.04797944565639078,0.05654082067188073,-0.015375400300403536,0.14847910298825867,15,5
base_AvgNeighbourDegree,0.049411955929154254,0.04133217954905633,0.02972692712930793,0.009050887372878347,0.13983971490505476,15,6
protein_MedComplexNodes,0.03207562886947536,0.05465900390711563,0.010872114589468096,-0.0036313610078889057,0.190202799959856,15,7
base_TriangleCount,0.025386538514222692,0.0198898535612836,0.023126071691773553,-0.00674694149961069,0.0709720024148628,15,8
stoich_AvgNeighbourDegreeStoich,0.016091740934561193,0.02278666824275234,0.00291186835004007,-0.00451134724076403,0.06821046136027671,15,9
base_LocalClustCoeff,0.010631874440609635,0.018668237993107767,0.00545069507899038,-0.012966610427217268,0.05707061368211284,15,10
base_UniquePartners,0.0008635458949264329,0.012690846581666318,0.0006565048689816777,-0.033089202505516835,0.026483496135983903,15,11
protein_RangeUniqueRatio,0.0007084365881602277,0.005707207928817532,0.0013700405649897218,-0.01549430433988897,0.011174343852128977,15,12
stoich_RangeRatio,0.00035095514826029815,0.0073931332891450765,3.35289528512972e-05,-0.019392736944552524,0.015211853215011307,15,13
stoich_RangeComplexSize,0.00015824504566343858,0.00426263932810505,1.2643802089001843e-05,-0.007803257586744783,0.010509902442482033,15,14
protein_RangeComplexNodes,-0.001680983649741629,0.00556643612713692,0.0,-0.020344719341983543,0.001812312179501202,15,15
