feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.0903593908992343,0.0379382751402139,0.07980845754283261,0.03812556893487327,0.1644473141268116,15,1
base_Degree,0.06866598980211895,0.031991995955867526,0.052111378479111826,0.03715476695921917,0.1392163394044982,15,2
base_UniquePartners,0.03939328445663788,0.02350434209723835,0.03405866261907644,0.004864158201214797,0.07274802451636365,15,3
protein_MedianUniqueRatio,0.031354038058848094,0.03582912287535986,0.016251951844324847,-0.013874765182240022,0.09855164598880492,15,4
stoich_MedComplexSize,0.025828250338652874,0.015138320494460226,0.02858469834258512,-0.0019969315598547034,0.05618041808297358,15,5
stoich_RangeComplexSize,0.022851478115875016,0.031417653860822854,0.015009120281917712,-0.024020691903632246,0.11587643671097406,15,6
protein_MedComplexNodes,0.017503418390947805,0.01482770938930937,0.013213890429350722,-0.0024818358765036352,0.03898299215250085,15,7
stoich_RangeRatio,0.011666091014466822,0.023549505810527473,0.001609404645299789,-0.013621344170077187,0.06387578796333979,15,8
protein_RangeUniqueRatio,0.0039469213513772155,0.027842765183341642,0.0012593228418242702,-0.05437140164309488,0.04753642025067587,15,9
protein_NumSubgroups,0.002031545028990345,0.0047634948565653265,0.0013844845095117297,-0.002216742306914468,0.017360968238855586,15,10
protein_RangeComplexNodes,0.001197168954717218,0.006546418993389243,-0.00023278665920175857,-0.005453028219273603,0.020871997351464933,15,11
protein_AvgSubgroupSize,-0.0005893435148930095,0.0034543040916321633,-0.00013328038115498209,-0.008301021494363315,0.008002249121011534,15,12
