feature,mean,std,median,min,max,n_splits,rank
base_UniquePartners,0.11615472717331968,0.07058817745921818,0.11984415704473372,0.033704593184439406,0.31479299174238157,15,1
protein_MedianUniqueRatio,0.043277654478583845,0.06770358221516252,0.03142165256348394,-0.1418824685550866,0.14870049841324604,15,2
protein_MedComplexNodes,0.04242537636784948,0.060722003727664196,0.013797221518293606,-0.005788937374688186,0.2063858199722267,15,3
stoich_RangeComplexSize,0.024430782054861058,0.020784024868336082,0.02509806185065852,-0.003986718139585022,0.07977212652657029,15,4
protein_RangeUniqueRatio,0.0224722564103182,0.02264253305894823,0.015740370719031692,-0.003952002588618875,0.07466728166644995,15,5
stoich_MedianRatio,0.016497811015023685,0.01570183683924597,0.01116513630134155,-0.0015429666771406615,0.047382081051602964,15,6
stoich_MedComplexSize,0.014869568370897137,0.031267956250401616,0.010434177163351516,-0.034255711457,0.0904425359466446,15,7
protein_AvgSubgroupSize,0.008774510311596827,0.028238624975147796,0.005376793859453666,-0.05080403681022279,0.08413897316423882,15,8
protein_RangeComplexNodes,0.008319911895414457,0.007373942114158342,0.006120960017297816,-0.0027436976987833097,0.02652668802206317,15,9
base_Degree,0.00597361873381331,0.014239089117257638,0.003093937633400168,-0.019458618770342506,0.03848007418439102,15,10
protein_NumSubgroups,0.0035893121938358457,0.00800508491634235,0.004078046665262125,-0.01033024643630892,0.015986979505127112,15,11
stoich_RangeRatio,-0.00031268746618050975,0.0018739602632087426,-0.0002052303820518353,-0.004745155304606829,0.003324304662376221,15,12
