feature,mean,std,median,min,max,n_splits,rank
base_BetweennessCentrality,0.04139851689785648,0.02169777799909214,0.03462569448247301,0.009703376738513948,0.08487207525869216,15,1
protein_MedianUniqueRatio,0.040162916332029064,0.030786058667143196,0.03580164914721846,-0.01107915874433999,0.09300648261293823,15,2
protein_RangeUniqueRatio,0.02872196306828898,0.020113613271607378,0.019798523268247197,0.005023130673581516,0.06896157512031793,15,3
protein_MedComplexNodes,0.02693946080610275,0.03046772094860756,0.032584185289488296,-0.030002175272506777,0.084222196736769,15,4
base_Degree,0.019972753253017603,0.010874057701583888,0.01963655381334045,0.004534754208950259,0.03961633094398413,15,5
base_TriangleCount,0.010422196536042368,0.012039506709320979,0.00936852746357959,-0.00459938820564384,0.036806629830385136,15,6
protein_RangeComplexNodes,0.009992774900768305,0.010656699395278009,0.005620546199561966,-0.002876805130569998,0.03176071573770746,15,7
base_LocalClustCoeff,0.006547576440848699,0.00869193086669707,0.004044114373886543,-0.00179849933107043,0.030449286710273034,15,8
base_EigenvectorCentrality,0.0016901969226188398,0.012009779867960499,0.00018523505850432387,-0.022190828900318215,0.01941745075877277,15,9
base_KatzCentrality,-0.009198098567315766,0.02517764059081424,-0.009208961557885803,-0.06315723342400925,0.032384052833224306,15,10
base_ComponentEdgeNodeRatio,-0.010779838193734782,0.009011824300178215,-0.012293674820240047,-0.02826397965214591,0.0033164429004262754,15,11
base_AvgNeighbourDegree,-0.011435370510063832,0.023597711883728195,-0.013660148573844021,-0.056203647807224213,0.03262811059509417,15,12
base_UniquePartners,-0.016177422225713573,0.01674715127565175,-0.020968860833963203,-0.03624694283976414,0.014529774398444195,15,13
base_ComponentSize,-0.019519480510021815,0.018419715650145028,-0.02364117704396342,-0.046262983108160696,0.007827556446661638,15,14
