split_index,n_train,n_test,train_dt_pct,test_dt_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2719,669,8.606105185730048,5.680119581464873,0.4563857254256568,0.23529411764705882,0.3530988980340543,0.23272727272727273,0.3584119140466573,0.2116788321167883,0.09797381137899952,0.023615285530270508,0.1032868273916025,0.002566844919786093
2,2741,647,7.515505290040131,10.200927357032457,0.5501832275068029,0.45569620253164556,0.5333891608336051,0.424,0.45517589742556414,0.38202247191011235,0.0950073300812388,0.0736737306215332,0.016794066673197827,0.03169620253164557
3,2689,699,8.218668650055783,7.296137339055794,0.2497009505630421,0.27385892116182575,0.21123348043754095,0.25735294117647056,0.2229465964637013,0.23655913978494625,0.026754354099340794,0.037299781376879504,0.03846747012550114,0.01650597998535519
4,2786,602,7.932519741564968,8.471760797342192,0.3817495660205376,0.29955947136563876,0.3132770106036513,0.31666666666666665,0.1651551174773608,0.26556016597510373,0.2165944485431768,0.03399930539053503,0.0684725554168863,-0.01710719530102789
5,2727,661,8.14081408140814,7.564296520423601,0.4593228294897554,0.33183856502242154,0.38086252809769416,0.3318777292576419,0.30691984942375816,0.2980769230769231,0.15240298006599723,0.033761641945498466,0.07846030139206123,-3.916423522037915e-05
6,2761,627,8.185440057950018,7.336523125996811,0.22989049858164834,0.2962962962962963,0.21478587899683077,0.27615062761506276,0.1858671346840374,0.24561403508771928,0.04402336389761094,0.050682261208576995,0.015104619584817569,0.02014566868123352
7,2702,686,7.438934122871947,10.349854227405247,0.426044082822845,0.4154929577464789,0.3768315506250186,0.4,0.2831031760101703,0.3250883392226148,0.14294090681267468,0.09040461852386406,0.0492125321978264,0.015492957746478853
8,2787,601,8.144958736993182,7.487520798668886,0.6601984152582192,0.35555555555555557,0.5440053393806455,0.31906614785992216,0.528496009310491,0.3064516129032258,0.1317024059477282,0.04910394265232976,0.11619307587757366,0.03648940769563341
9,2739,649,8.287696239503468,6.933744221879815,0.3501143247922217,0.3349282296650718,0.33029238432146174,0.3438914027149321,0.2044884491988202,0.273972602739726,0.1456258755934015,0.060955626925345785,0.01982194047075997,-0.008963173049860329
10,2672,716,7.709580838323353,9.217877094972067,0.4140035709110764,0.3277591973244147,0.38779523337140853,0.3058103975535168,0.3916401605602649,0.3161290322580645,0.02236341035081152,0.011630165066350229,0.026208337539667892,0.02194879977089792
11,2700,688,7.9259259259259265,8.430232558139535,0.37182849684785635,0.3274336283185841,0.30739341911437357,0.32575757575757575,0.30928353107077083,0.2916666666666667,0.06254496577708551,0.035766961651917395,0.06443507773348278,0.0016760525610083343
12,2721,667,8.122013965453876,7.646176911544228,0.476148031788524,0.37668161434977576,0.4141506844258601,0.35684647302904565,0.352751682727781,0.3467741935483871,0.12339634906074298,0.02990742080138864,0.06199734736266388,0.01983514132073011
13,2694,694,7.609502598366741,9.654178674351584,0.4039490849018482,0.3424657534246575,0.318886636733642,0.3125,0.19856784553889442,0.2277580071174377,0.2053812393629538,0.1147077463072198,0.08506244816820624,0.029965753424657515
14,2688,700,8.18452380952381,7.428571428571429,0.38713675531412106,0.3319838056680162,0.36036689085375156,0.32727272727272727,0.2705194603062638,0.292358803986711,0.11661729500785728,0.03962500168130523,0.026769864460369497,0.004711078395288948
15,2759,629,8.04639362087713,7.94912559618442,0.4426929405257912,0.336283185840708,0.3897283589491243,0.334841628959276,0.2858201893472583,0.3179916317991632,0.15687275117853294,0.01829155404154481,0.05296458157666695,0.0014415568814319935
