split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,3946,1116,17.663456664977193,16.03942652329749,0.41086294963766307,0.4340567612687813,0.3508359416796457,0.40373831775700936,0.06002700795801735,0.03031844351177193
2,4101,961,17.361619117288466,17.065556711758585,0.4998900795499091,0.4814004376367615,0.4419449443020517,0.40847784200385356,0.05794513524785738,0.07292259563290793
3,4122,940,17.879670063076176,14.787234042553191,0.5150947894088208,0.5292479108635098,0.4588753432630895,0.4563106796116505,0.05621944614573132,0.07293723125185925
4,4094,968,17.635564240351734,15.909090909090908,0.5217177778524877,0.5185185185185185,0.4632445315937325,0.4351648351648352,0.05847324625875522,0.08335368335368332
5,4112,950,17.120622568093385,18.10526315789474,0.5056416954551916,0.5067698259187621,0.4736401757881208,0.4641509433962264,0.032001519667070766,0.04261888252253565
6,4089,973,17.461482024944974,16.649537512846866,0.43018884004317964,0.4315352697095436,0.3356955047765053,0.3702290076335878,0.09449333526667436,0.0613062620759558
7,3951,1111,17.691723614274867,15.931593159315932,0.4671546087713928,0.4897959183673469,0.43599314243932785,0.45681381957773515,0.031161466332064958,0.03298209878961178
8,4065,997,17.958179581795818,14.643931795386159,0.4761605993069512,0.4883116883116883,0.412797392397912,0.3974358974358974,0.06336320690903918,0.0908757908757909
9,4090,972,17.334963325183374,17.181069958847736,0.5425165623179314,0.5572354211663066,0.4879841721843238,0.44673539518900346,0.05453239013360767,0.11050002597730318
10,4083,979,17.266715650257165,17.466802860061286,0.5378420677662615,0.50682261208577,0.5047792130447337,0.43936731107205623,0.03306285472152781,0.06745530101371372
11,4118,944,17.217095677513356,17.690677966101696,0.5454475129521376,0.47334754797441364,0.4893084926159785,0.46017699115044247,0.056139020336159084,0.013170556823971169
12,4096,966,16.9921875,18.633540372670808,0.5875520921104744,0.5267326732673268,0.49876588594863464,0.4648648648648649,0.0887862061618398,0.061867808402461866
13,4167,895,17.42260619150468,16.75977653631285,0.49328901881440557,0.46788990825688076,0.4398194928405783,0.44556962025316454,0.05346952597382726,0.022320288003716215
14,4062,1000,17.79911373707533,15.299999999999999,0.5187979607554921,0.46473029045643155,0.3991346827476676,0.3937621832358674,0.1196632780078245,0.07096810722056413
15,4110,952,17.931873479318735,14.600840336134455,0.34422656706914967,0.4032258064516129,0.2911766481878274,0.38285714285714284,0.05304991888132227,0.020368663594470038
