split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,4166,966,11.71387421987518,10.766045548654244,0.46589744855253157,0.4557823129251701,0.3726810017206049,0.36724565756823824,0.09321644683192665,0.08853665535693184
2,4163,969,11.289935142925774,12.59029927760578,0.4824343179093037,0.42028985507246375,0.3551750235366704,0.33532934131736525,0.12725929437263328,0.0849605137550985
3,4099,1033,11.441815076848012,11.907066795740562,0.38680118779590966,0.40189125295508277,0.2786141982566581,0.37181996086105673,0.10818698953925154,0.030071292094026036
4,4143,989,11.706492879555878,10.819009100101113,0.3829686002651724,0.42424242424242425,0.29657897684276296,0.3220675944333996,0.08638962342240941,0.10217482980902465
5,4180,952,11.602870813397129,11.239495798319329,0.3546504243106691,0.3916913946587537,0.26149961437342567,0.3179916317991632,0.09315080993724345,0.07369976285959051
6,4134,998,11.344944363812289,12.324649298597194,0.49654109639725735,0.49577464788732395,0.38758865693837974,0.3946784922394678,0.10895243945887761,0.10109615564785612
7,4011,1121,11.518324607329843,11.59678858162355,0.44600089875896015,0.43137254901960786,0.34216199706777545,0.35080645161290325,0.1038389016911847,0.08056609740670462
8,4228,904,11.258278145695364,12.831858407079647,0.4150145231021068,0.40718562874251496,0.3266493840608014,0.3883495145631068,0.08836513904130538,0.01883611417940817
9,4142,990,11.22646064703042,12.828282828282827,0.4033264704848547,0.4092071611253197,0.29852025878822785,0.3595505617977528,0.10480621169662685,0.049656599327566886
10,4140,992,11.76328502415459,10.58467741935484,0.4752681242183383,0.4297994269340974,0.286609751494975,0.33542976939203356,0.18865837272336333,0.09436965754206383
11,4129,1003,11.213368854444175,12.861415752741776,0.39644140777132475,0.41148325358851673,0.3254778911256157,0.38636363636363635,0.07096351664570905,0.025119617224880375
12,4106,1026,11.203117389186556,12.865497076023392,0.4315672162666162,0.41964285714285715,0.4013191223038207,0.3686274509803922,0.030248093962795486,0.05101540616246497
13,4222,910,11.819043107531975,10.219780219780219,0.4689404819687558,0.3911671924290221,0.3108747876156544,0.3143507972665148,0.15806569435310142,0.07681639516250727
14,4118,1014,11.874696454589607,10.157790927021697,0.4148000670134802,0.37659033078880405,0.29869751406705747,0.3140495867768595,0.11610255294642274,0.06254074401194454
15,4173,959,11.622334052240594,11.157455683003128,0.4290903572311028,0.4,0.288123377018956,0.35648148148148145,0.14096698021214676,0.04351851851851857
